SITE_ID,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP
AR-SLu,-33.4648,-66.4598,505,MF
AR-Vir,-28.2395,-56.1886,105,ENF
AT-Neu,47.1167,11.3175,970,GRA
AU-Boy,-32.477093,116.938559,390,EBF
AU-Emr,-23.8587,148.4746,179,GRA
AU-Gin,-31.3764,115.7138,51,WSA
AU-GWW,-30.1913,120.6541,453,SAV
AU-Lon,-23.5232657644973,144.310415719645,207,GRA
AU-Rgf,-32.506102,116.966827,311,CRO
AU-Rig,-36.6499,145.5759,152,GRA
AU-Rob,-17.1175,145.6301,711,EBF
AU-Wac,-37.4259,145.1878,751,EBF
AU-War,-43.09502,146.65452,113,EBF
AU-Whr,-36.6732,145.0294,150,EBF
AU-Wom,-37.4222,144.0944,705,EBF
AU-Ync,-34.9893,146.2907,124,GRA
BR-CST,-7.9682,-38.3842,468,DNF
BR-Npw,-16.498,-56.412,120,WSA
BR-Sa3,-3.018,-54.9714,100,EBF
CA-Ca1,49.8673,-125.3336,303.06,ENF
CA-Ca2,49.8705,-125.2909,174.01,ENF
CA-Cbo,44.3167,-79.9333,215.72,DBF
CA-CF1,58.6658,-93.83,26,WET
CA-DB2,49.119,-122.9951,9.21,WET
CA-EM1,50.3623,-100.2024,608,WET
CA-Gro,48.2167,-82.1556,340,MF
CA-LP1,55.1119,-122.8414,751,ENF
CA-MA2,50.171,-97.8762,259,CRO
CA-MA3,50.1774,-97.8686,259,GRA
CA-Man,55.8796,-98.4808,259,ENF
CA-NS1,55.8792,-98.4839,260,ENF
CA-NS2,55.9058,-98.5247,260,ENF
CA-NS3,55.9117,-98.3822,260,ENF
CA-NS4,55.9144,-98.3806,260,ENF
CA-NS5,55.8631,-98.485,260,ENF
CA-NS6,55.9167,-98.9644,244,OSH
CA-NS7,56.6358,-99.9483,297,OSH
CA-Oas,53.6289,-106.1978,530,DBF
CA-Qc2,49.7598,-74.5711,387.3,MF
CA-Qfo,49.6925,-74.3421,382,ENF
CA-SF1,54.485,-105.8176,536,ENF
CA-SF2,54.2539,-105.8775,520,ENF
CA-SF3,54.0916,-106.0053,540,OSH
CA-TP2,42.7744,-80.4588,212,ENF
CA-TP3,42.7068,-80.3483,184,ENF
CA-TP4,42.7102,-80.3574,184,ENF
CA-TPD,42.6353,-80.5577,260,DBF
CG-Tch,-4.2892,11.6564,82,SAV
CH-Cha,47.2102,8.4104,393,GRA
CH-Fru,47.1158,8.5378,982,GRA
CL-SDF,-41.883,-73.676,31,EBF
CN-Cha,42.4025,128.0958,762,MF
CN-Cng,44.5934,123.5092,142,GRA
CN-Dan,30.4978,91.0664,4319,GRA
CN-Din,23.1733,112.5361,272,EBF
CN-Du2,42.0467,116.2836,1320,GRA
CN-Du3,42.0551,116.2809,1310,GRA
CN-Ha2,37.6086,101.3269,3201,WET
CN-HaM,37.37,101.18,4001,GRA
CN-Qia,26.7414,115.0581,109,ENF
CN-Sw2,41.7902,111.8971,1445,GRA
CZ-BK2,49.4944,18.5429,855,GRA
CZ-KrP,49.573257,15.078773,540,CRO
CZ-RAJ,49.4437236,16.6965125,648,ENF
CZ-Stn,49.035975,17.9699,564,DBF
DE-Akm,53.8662,13.6834,-1,WET
DE-Geb,51.09973,10.91463,163,CRO
DE-Har,47.933,7.5981,201,MF
DE-Hdn,53.86825,13.268543,19,CRO
DE-Hte,54.2103,12.1761,0.2,WET
DE-Lkb,49.0996,13.3047,1308,ENF
DE-Lnf,51.3282,10.3678,451,DBF
DE-Msr,47.809181,11.456168,602.07,ENF
DE-Obe,50.7867,13.7213,734,ENF
DE-Rns,51.494953,9.932118,155,CRO
DE-RuR,50.6219142,6.3041256,514.7,GRA
DE-Seh,50.8706,6.4497,103,CRO
DE-SfN,47.8064,11.3275,590,WET
DE-Spw,51.8922,14.0337,61,WET
DE-Zrk,53.8759,12.889,0,WET
DK-Eng,55.6905,12.1918,10,GRA
DK-Fou,56.4842,9.5872,51,CRO
DK-Sor,55.4858694,11.6446444,55,DBF
EE-Pts,58.563316,24.368887,16,WET
ES-Abr,38.701839,-6.785881,281,SAV
ES-Agu,36.940046,-2.033208,197,OSH
ES-Amo,36.8336,-2.2523,58,OSH
ES-LgS,37.0979,-2.9658,2267,OSH
ES-LJu,36.9266,-2.7521,1600,OSH
ES-LM1,39.94269,-5.778683,263,SAV
ES-LM2,39.934592,-5.775881,270,SAV
FI-Jok,60.8986,23.5134,109,CRO
FI-Lom,67.9972,24.2092,274,WET
FI-Qvd,60.295242,22.391607,0,CRO
FI-Sii,61.83265,24.19285,164,WET
FI-Var,67.7549,29.61,395,ENF
FR-CLt,45.0414,6.41053,2050.6,GRA
FR-EM2,49.8721083,3.02065,84,CRO
FR-Lam,43.49648,1.23785,182,CRO
FR-LBr,44.7171,-0.7693,61,ENF
FR-Lus,46.4142461,0.1206518,154,GRA
FR-Mej,48.1184,-1.79635,40,GRA
FR-Tou,43.572855,1.37474,158,GRA
GH-Ank,5.2685,-2.6942,124,EBF
IE-CaC,52.85879,-6.918136,58,CRO
IE-CaN,52.85879,-6.918136,58,CRO
IE-Cra,53.3229785,-7.641769,57,WET
IE-Gwr,52.6365,-7.011306,47,CRO
IL-Yat,31.345044585655,35.0519885122776,652,ENF
IT-BFt,45.197755,10.741966,23,DBF
IT-CA1,42.3804,12.0266,200,DBF
IT-CA2,42.3772,12.026,200,CRO
IT-CA3,42.38,12.0222,197,DBF
IT-Col,41.8494,13.5881,1560,DBF
IT-Cp2,41.7043,12.3573,19,EBF
IT-Cpz,41.7052,12.3761,68,EBF
IT-Isp,45.8126,8.6336,210,DBF
IT-La2,45.9542,11.2853,1350,ENF
IT-Lav,45.9562,11.2813,1353,ENF
IT-MtM,46.687021,10.579757,1476,GRA
IT-MtP,46.684285,10.585237,1520,GRA
IT-PT1,45.2009,9.061,60,DBF
IT-Ren,46.58686,11.43369,1687,ENF
IT-SRo,43.7279,10.2844,6,ENF
IT-TrF,45.82376,7.56089,2084,DNF
JP-BBY,43.323,141.8107,15,WET
MY-PSO,2.973,102.3062,132,EBF
NL-Hor,52.2403,5.0713,2.2,GRA
NO-Hur,60.3716329214,11.0794898767,319,ENF
PA-SPn,9.3181,-79.6346,78,DBF
PA-SPs,9.3138,-79.6314,68,GRA
PE-QFR,-3.8344,-73.319,101,WET
RU-Che,68.613,161.3414,6,WET
RU-Cok,70.8291,147.4943,48,OSH
RU-Fy2,56.4476,32.9019,275,ENF
RU-Fy3,56.4435,33.0478,271,ENF
RU-Fyo,56.4615,32.9221,265,ENF
RU-Ha1,54.7252,90.0022,446,GRA
RU-Sam,72.3738,126.4958,0,GRA
RU-SkP,62.255,129.168,246,DNF
RU-Tks,71.5943,128.8878,7,GRA
RU-Vrk,67.0547,62.9405,100,CSH
SD-Dem,13.2829,30.4783,500,SAV
SE-Ros,64.1725,19.738,0,ENF
SE-St1,68.3541,19.0503,351,WET
SE-Sto,68.35594288,19.04520892,351.893,WET
SJ-Adv,78.186,15.923,17,WET
SN-Dhr,15.4028,-15.4322,40,SAV
UK-AMo,55.792546,-3.2436918,268,WET
US-A32,36.8193,-97.8198,335.58,GRA
US-A74,36.8085,-97.5489,336.32,CRO
US-ALQ,46.0308,-89.6067,496.61,WET
US-AR1,36.4267,-99.42,611,GRA
US-AR2,36.6358,-99.5975,646,GRA
US-ARb,35.5497,-98.0402,424,GRA
US-ARc,35.5465,-98.04,424,GRA
US-ARM,36.6058,-97.4888,314,CRO
US-ASH,36.1697,-120.201,145.77,DBF
US-ASM,36.1777,-120.2026,145.31,DBF
US-Atq,70.4696,-157.4089,15,WET
US-Bar,44.0646,-71.2881,270.99,DBF
US-Bi1,38.0992,-121.4993,-2.7,CRO
US-Bi2,38.1091,-121.5351,-5,CRO
US-Blo,38.8953,-120.6328,1315,ENF
US-BZB,64.6955,-148.3208,100,WET
US-BZF,64.7013,-148.3121,95,WET
US-BZo,64.6936,-148.33,120.45,WET
US-CF1,46.7815,-117.0821,793.92,CRO
US-CF2,46.784,-117.0908,790.7,CRO
US-CF3,46.7551,-117.1261,782.6,CRO
US-CF4,46.7518,-117.1285,783.8,CRO
US-CGG,37.938,-121.9761,116.68,GRA
US-CRT,41.6285,-83.3471,180,CRO
US-CS1,44.1031,-89.5379,334.52,CRO
US-CS2,44.1467,-89.5002,335.3,ENF
US-CS3,44.1394,-89.5727,327.22,CRO
