SITE_ID,SITE_NAME,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP
AT-Neu,Neustift,47.1167,11.3175,970,GRA
AU-Tum,Tumbarumba,-35.6566,148.1517,1200,EBF
AU-Wom,Wombat,-37.4222,144.0944,705,EBF
BE-Bra,Brasschaat,51.30761,4.51984,16,ENF
BE-Dor,,50.311876,4.968113,253,GRA
BE-Lcr,,51.11218,3.85043,6.25,DBF
BE-Lon,Lonzee,50.5516198,4.7462339,157,CRO
BE-Maa,,50.979868,5.631851,85,CSH
BE-Vie,Vielsalm,50.304962,5.998099,508,MF
BR-Npw,Northern Pantanal Wetland,-16.498,-56.412,120,WSA
BR-Sa1,Santarem-Km67-Primary Forest,-2.8567,-54.9589,88,EBF
BR-Sa3,Santarem-Km83-Logged Forest,-3.018,-54.9714,100,EBF
BW-Gum,Guma,-18.9647,22.3711,950,WET
BW-Nxr,Nxaraga,-19.5481,23.1792,950,GRA
CA-Gro,"Ontario - Groundhog River, Boreal Mixedwood Forest",48.2167,-82.1556,340,MF
CA-Man,Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),55.8796,-98.4808,259,ENF
CA-NS1,UCI-1850 burn site,55.8792,-98.4839,260,ENF
CA-NS2,UCI-1930 burn site,55.9058,-98.5247,260,ENF
CA-NS3,UCI-1964 burn site,55.9117,-98.3822,260,ENF
CA-NS4,UCI-1964 burn site wet,55.9144,-98.3806,260,ENF
CA-NS5,UCI-1981 burn site,55.8631,-98.485,260,ENF
CA-NS6,UCI-1989 burn site,55.9167,-98.9644,244,OSH
CA-NS7,UCI-1998 burn site,56.6358,-99.9483,297,OSH
CA-Oas,"Saskatchewan - Western Boreal, Mature Aspen",53.6289,-106.1978,530,DBF
CA-Obs,"Saskatchewan - Western Boreal, Mature Black Spruce",53.9872,-105.1178,628.94,ENF
CA-Qfo,"Quebec - Eastern Boreal, Mature Black Spruce",49.6925,-74.3421,382,ENF
CA-SCB,Scotty Creek Bog,61.3089,-121.2984,280,WET
CA-SCC,Scotty Creek Landscape,61.3079,-121.2992,285,ENF
CA-SF1,"Saskatchewan - Western Boreal, forest burned in 1977",54.485,-105.8176,536,ENF
CA-SF2,"Saskatchewan - Western Boreal, forest burned in 1989",54.2539,-105.8775,520,ENF
CA-SF3,"Saskatchewan - Western Boreal, forest burned in 1998",54.0916,-106.0053,540,OSH
CA-TP1,Ontario - Turkey Point 2002 Plantation White Pine,42.6609,-80.5595,265,ENF
CA-TP2,Ontario - Turkey Point 1989 Plantation White Pine,42.7744,-80.4588,212,ENF
CA-TP3,Ontario - Turkey Point 1974 Plantation White Pine,42.7068,-80.3483,184,ENF
CA-TP4,Ontario - Turkey Point 1939 Plantation White Pine,42.7102,-80.3574,184,ENF
CA-TPD,Ontario - Turkey Point Mature Deciduous,42.6353,-80.5577,260,DBF
CD-Ygb,,0.814444,24.502472,466,MF
CG-Tch,Tchizalamou,-4.2892,11.6564,82,SAV
CH-Cha,Chamau,47.2102,8.4104,393,GRA
CH-Dav,Davos,46.81533,9.85591,1637,ENF
CH-Fru,Früebüel,47.1158,8.5378,982,GRA
CH-Lae,Laegern,47.4783,8.3644,689,MF
CH-Oe1,Oensingen grassland,47.2858,7.7319,450,GRA
CH-Oe2,Oensingen crop,47.2864,7.7337,452,CRO
CN-Hgu,Hongyuan,32.8453,102.59,3500,GRA
CZ-BK,,49.50207615,18.53688247,881,ENF
CZ-BK1,Bily Kriz forest,49.5021,18.5369,875,ENF
CZ-BK2,Bily Kriz grassland,49.4944,18.5429,855,GRA
CZ-Lnz,,48.6815483,16.9463317,182,DBF
CZ-wet,Trebon (CZECHWET),49.02465,14.77035,426,WET
DE-Akm,Anklam,53.8662,13.6834,-1,WET
DE-Dgw,Dagowsee,53.1514,13.0543,60,WAT
DE-Geb,Gebesee,51.09973,10.91463,163,CRO
DE-Gri,Grillenburg,50.95004,13.51259,385,GRA
DE-Hai,Hainich,51.0794084,10.4520894,438.7,DBF
DE-Har,,47.933,7.5981,201,MF
DE-HoH,,52.08656,11.22235,217,DBF
DE-Hte,Huetelmoor,54.2103,12.1761,0.2,WET
DE-Hzd,,50.96381,13.48978,395,DBF
DE-Kli,Klingenberg,50.89306,13.52238,478,CRO
DE-Lkb,Lackenberg,49.0996,13.3047,1308,ENF
DE-Lnf,Leinefelde,51.3282,10.3678,451,DBF
DE-Msr,,47.809181,11.456168,602.07,ENF
DE-Obe,Oberbärenburg,50.7867,13.7213,734,ENF
DE-RuR,Rollesbroich,50.6219142,6.3041256,514.7,GRA
DE-RuS,Selhausen Juelich,50.86590702,6.447144704,106,CRO
DE-RuW,,50.5049268531233,6.33096247542595,610,ENF
DE-Seh,Selhausen,50.8706,6.4497,103,CRO
DE-SfN,Schechenfilz Nord,47.8064,11.3275,590,WET
DE-Spw,Spreewald,51.8922,14.0337,61,WET
DE-Tha,Tharandt,50.96256,13.56515,388,ENF
DE-Zrk,Zarnekow,53.8759,12.889,0,WET
DK-Eng,Enghave,55.6905,12.1918,10,GRA
DK-Fou,Foulum,56.4842,9.5872,51,CRO
DK-Gds,,56.0737,9.3341,86,ENF
DK-Skj,,55.91273,8.40481,2,WET
DK-Sor,Soroe,55.4858694,11.6446444,55,DBF
DK-Vng,,56.0374765,9.16070962,67.7,CRO
ES-Amo,Amoladeras,36.8336,-2.2523,58,OSH
ES-LJu,Llano de los Juanes,36.9266,-2.7521,1600,OSH
ES-LMa,,39.94033,-5.77465,265,SAV
ES-LgS,Laguna Seca,37.0979,-2.9658,2267,OSH
ES-Ln2,Lanjaron-Salvage logging,36.9695,-3.4758,2249,OSH
FI-Hyy,Hyytiala,61.84741,24.29477,182,ENF
FI-Jok,Jokioinen,60.8986,23.5134,109,CRO
FI-Ken,,67.98721472,24.24301028,347,ENF
FI-Let,Lettosuo,60.64183,23.95952,125,ENF
FI-Lom,Lompolojankka,67.9972,24.2092,274,WET
FI-Si2,Siikaneva-2 Bog,61.8372,24.1967,160,WET
FI-Sii,Siikaneva,61.83265,24.19285,164,WET
FI-Sod,Sodankyla,67.36238641,26.63859066,187,ENF
FI-Var,,67.7549,29.61,395,ENF
FR-Aur,,43.549649,1.106103,250,CRO
FR-Bil,,44.493653,-0.956092,39.18,ENF
FR-CLt,,45.0414,6.41053,2050.6,GRA
FR-EM,,49.8721083,3.02065,85,CRO
