site_id,n_years,first_year,last_year
BE-Vie,28,1996,2024
DK-Sor,28,1996,2024
FI-Hyy,26,1996,2024
IT-Ren,26,1999,2024
RU-Fyo,26,1998,2023
CA-Cbo,25,1995,2020
FR-Pue,24,2000,2024
NL-Loo,24,1997,2024
US-Ton,24,2001,2024
BE-Bra,23,1999,2024
US-ARM,22,2003,2024
IL-Yat,21,2000,2020
US-Ho2,21,2002,2023
US-Me2,21,2002,2022
US-SP1,21,2000,2020
CZ-BK1,20,2004,2024
IT-MBo,20,2003,2024
US-Bar,20,2004,2023
US-SRM,20,2004,2023
AT-Neu,19,2002,2020
CH-Fru,19,2005,2023
IT-BCi,19,2004,2024
IT-Col,19,1996,2014
UK-AMo,19,2003,2024
BE-Lon,18,2004,2024
CH-Cha,18,2006,2023
FR-Fon,18,2005,2024
IT-Lav,18,2003,2020
US-ICh,18,2007,2024
US-MOz,18,2004,2021
US-NR1,18,1999,2016
US-Syv,18,2002,2023
US-Vcp,18,2007,2024
US-Wjs,18,2007,2024
US-Wkg,18,2004,2021
DE-Kli,17,2004,2023
US-ICs,17,2007,2024
US-SRG,17,2008,2024
US-UMd,17,2007,2023
US-Vcm,17,2007,2023
DE-Gri,16,2004,2023
ES-LJu,16,2005,2020
FI-Sod,16,2001,2024
FR-FBn,16,2008,2024
US-GLE,16,2005,2020
US-Ho1,16,1996,2021
US-ICt,16,2007,2023
US-Kon,16,2004,2019
CA-Oas,15,1996,2010
CA-TP3,15,2003,2017
FR-Lam,15,2005,2020
US-Me6,15,2010,2024
US-Seg,15,2007,2021
US-Ses,15,2007,2021
CA-Man,14,1994,2008
CA-TP1,14,2003,2016
CZ-wet,14,2006,2019
FR-Aur,14,2005,2018
IT-Noe,14,2004,2024
IT-SRo,14,1999,2012
CA-LP1,13,2007,2022
CA-TP4,13,2002,2014
CH-Dav,13,1997,2009
CZ-Stn,13,2010,2022
DE-Akm,13,2010,2023
DE-Hzd,13,2010,2024
DE-RuR,13,2011,2023
ES-Agu,13,2006,2019
FR-LBr,13,1996,2008
US-BZB,13,2011,2024
US-BZF,13,2011,2024
