response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,65,0.0387,0.0383,0.9,46.2,0.5752,0.781, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,65,0.0364,0.0379,-1.13,53.8,0.5078,0.781, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,65,0.0352,0.036,-0.25,50.8,0.3167,0.7211, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.033,0.0364,1.64,47.7,0.8216,0.8648, ns
ETmax,Anomaly / 24m,C vs C+D,65,0.0389,0.0414,-1.42,52.3,0.3427,0.7211, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,65,0.0379,0.042,-0.44,52.3,0.4045,0.7211, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,65,0.0357,0.0369,2.06,47.7,0.5442,0.781, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.0357,0.036,-0.2,50.8,0.407,0.7211, ns
ETmax,Raw-lag / 12m,C vs C+D,65,0.0387,0.0383,0.9,46.2,0.5752,0.781, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,65,0.0264,0.0267,-1.17,52.3,0.3028,0.7211, ns
ETmax,Raw-lag / 12m,C+T vs C+T+D,65,0.0352,0.036,-0.25,50.8,0.3167,0.7211, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.0261,0.0265,-1.4,58.5,0.1587,0.5112, ns
ETmax,Raw-lag / 24m,C vs C+D,65,0.0389,0.0414,-1.42,52.3,0.3427,0.7211, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,65,0.027,0.0267,3.85,41.5,0.9416,0.9416, ns
ETmax,Raw-lag / 24m,C+T vs C+T+D,65,0.0357,0.0369,2.06,47.7,0.5442,0.781, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.026,0.0266,-1.03,53.8,0.5287,0.781, ns
GPPsat,Anomaly / 12m,C vs C+D,65,4.7576,4.58,-2.2,52.3,0.3355,0.7211, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,65,4.7245,4.5591,-8.31,60,0.1836,0.5112, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,65,5.0617,4.6356,-3.85,64.6,0.01035,0.3531, ns
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,65,5.0052,4.7809,-1.68,56.9,0.1361,0.5112, ns
GPPsat,Anomaly / 24m,C vs C+D,65,4.9184,4.8748,-1.46,52.3,0.1853,0.5112, ns
GPPsat,Anomaly / 24m,C+M vs C+M+D,65,5.2323,4.7192,-1.2,55.4,0.1333,0.5112, ns
GPPsat,Anomaly / 24m,C+T vs C+T+D,65,5.0799,4.658,-3,58.5,0.02207,0.3531, ns
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,65,4.8629,5.0138,-5.84,60,0.1036,0.5112, ns
GPPsat,Raw-lag / 12m,C vs C+D,65,4.7576,4.58,-2.2,52.3,0.3355,0.7211, ns
GPPsat,Raw-lag / 12m,C+M vs C+M+D,65,3.738,3.8414,0.49,49.2,0.6106,0.7879, ns
GPPsat,Raw-lag / 12m,C+T vs C+T+D,65,5.0617,4.6356,-3.85,64.6,0.01035,0.3531, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.6032,3.7042,-0.13,50.8,0.407,0.7211, ns
GPPsat,Raw-lag / 24m,C vs C+D,65,4.9184,4.8748,-1.46,52.3,0.1853,0.5112, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,65,3.6171,3.5703,-1.93,53.8,0.3645,0.7211, ns
GPPsat,Raw-lag / 24m,C+T vs C+T+D,65,5.0799,4.658,-3,58.5,0.02207,0.3531, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.4838,3.5089,-2.45,56.9,0.1171,0.5112, ns
NEPmax,Anomaly / 12m,C vs C+D,65,4.7108,4.9805,-8.9,56.9,0.139,0.5112, ns
NEPmax,Anomaly / 12m,C+M vs C+M+D,65,4.6165,5.1303,-7.13,60,0.09785,0.5112, ns
NEPmax,Anomaly / 12m,C+T vs C+T+D,65,4.5918,4.9697,-5.7,64.6,0.03413,0.3901, ns
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,4.9442,4.8976,-7.27,61.5,0.02139,0.3531, ns
NEPmax,Anomaly / 24m,C vs C+D,65,4.6295,5.3378,-6.12,60,0.1571,0.5112, ns
NEPmax,Anomaly / 24m,C+M vs C+M+D,65,4.7195,5.2868,-8.63,63.1,0.1305,0.5112, ns
NEPmax,Anomaly / 24m,C+T vs C+T+D,65,4.447,5.0273,-4.13,55.4,0.08397,0.5112, ns
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,4.4903,4.8825,-5.67,61.5,0.08296,0.5112, ns
NEPmax,Raw-lag / 12m,C vs C+D,65,4.7108,4.9805,-8.9,56.9,0.139,0.5112, ns
NEPmax,Raw-lag / 12m,C+M vs C+M+D,65,3.1203,3.2366,-4.89,61.5,0.1603,0.5112, ns
NEPmax,Raw-lag / 12m,C+T vs C+T+D,65,4.5918,4.9697,-5.7,64.6,0.03413,0.3901, ns
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.096,3.0357,-3.41,56.9,0.1853,0.5112, ns
NEPmax,Raw-lag / 24m,C vs C+D,65,4.6295,5.3378,-6.12,60,0.1571,0.5112, ns
NEPmax,Raw-lag / 24m,C+M vs C+M+D,65,3.0216,3.0684,-3.57,60,0.04847,0.4847, ns
NEPmax,Raw-lag / 24m,C+T vs C+T+D,65,4.447,5.0273,-4.13,55.4,0.08397,0.5112, ns
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,2.9704,3.0664,-0.51,53.8,0.125,0.5112, ns
WUE,Anomaly / 12m,C vs C+D,65,0.678,0.6978,0.48,46.2,0.5879,0.781, ns
WUE,Anomaly / 12m,C+M vs C+M+D,65,0.6929,0.7042,-1.11,52.3,0.4765,0.7625, ns
WUE,Anomaly / 12m,C+T vs C+T+D,65,0.7107,0.7128,0.31,47.7,0.7062,0.8249, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.7024,0.7597,0.26,47.7,0.7719,0.8408, ns
