unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,-0.00139,54.8,0.3732,0.4199,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,-0.65679,64.5,0.03972,0.07448,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-1.15557,71,0.004984,0.05153,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,-0.02595,51.6,0.197,0.2398,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.05867,58.1,0.1141,0.1604,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,31,-0.00143,58.1,0.1612,0.2072,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,31,-0.91311,71,0.009596,0.05153,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,31,-0.80397,67.7,0.02931,0.07327,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,31,-0.06382,67.7,0.03648,0.07448,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,31,-0.02469,58.1,0.09296,0.1349,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,31,-0.00046,51.6,0.6342,0.6342,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,31,-0.77869,67.7,0.02229,0.06686,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,31,-0.60335,71,0.01011,0.05153,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,31,-0.06394,58.1,0.02802,0.07327,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,31,-0.06122,67.7,0.01374,0.05153,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,-0.00146,64.5,0.1299,0.1772,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.75267,71,0.008633,0.05153,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-1.12138,67.7,0.007348,0.05153,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,-0.04918,54.8,0.208,0.24,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.05867,58.1,0.1384,0.1832,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,31,0.00086,41.9,0.5429,0.5959,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,31,-0.91311,67.7,0.03346,0.07448,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,31,-0.96949,74.2,0.01518,0.05254,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,31,-0.06382,67.7,0.01065,0.05153,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,31,-0.02563,61.3,0.04143,0.07458,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low,31,-0.00221,58.1,0.5968,0.6245,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low,31,-0.34476,64.5,0.03807,0.07448,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low,31,-0.60335,67.7,0.01374,0.05153,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low,31,-0.01709,54.8,0.09296,0.1349,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low,31,-0.06638,64.5,0.02802,0.07327,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,31,-0.00144,61.3,0.08661,0.1344,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,31,-0.65679,64.5,0.05297,0.08828,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,31,-1.15557,67.7,0.008633,0.05153,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,31,-0.02643,51.6,0.2025,0.2398,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,31,-0.02469,54.8,0.2025,0.2398,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Mid,31,3e-05,48.4,0.6268,0.6342,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Mid,31,-1.22503,74.2,0.001155,0.05153,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Mid,31,-1.12138,74.2,0.005578,0.05153,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Mid,31,-0.05616,67.7,0.01307,0.05153,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Mid,31,-0.02563,61.3,0.03494,0.07448,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low,31,-0.00143,54.8,0.5661,0.6066,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low,31,-0.34476,64.5,0.06441,0.1035,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low,31,-0.60335,67.7,0.03346,0.07448,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low,31,-0.06382,58.1,0.05297,0.08828,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low,31,-0.08862,67.7,0.01844,0.05928,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Mid,35,0.00086,42.9,0.8546,0.8546,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Mid,35,-0.6179,65.7,0.04348,0.08455,ns
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Mid,35,-0.77769,68.6,0.04055,0.08348,ns
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Mid,35,-0.02643,57.1,0.1417,0.2254,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Mid,35,-0.01279,54.3,0.1774,0.2483,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low,53,-0.00239,62.3,0.1213,0.2021,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low,53,-1.12698,73.6,0.0004649,0.008136,**
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low,53,-0.97861,73.6,0.000128,0.00448,**
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low,53,-0.07878,64.2,0.002872,0.0174,*
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low,53,-0.06396,66,0.002371,0.0174,*
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,5,-0.00503,60,,,""
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,5,0.6288,20,,,""
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,5,0.79487,40,,,""
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,5,0.11656,20,,,""
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,5,-0.05867,60,,,""
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Mid,33,-0.00086,57.6,0.3875,0.4238,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Mid,33,-1.12698,75.8,0.005308,0.0174,*
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Mid,33,-1.12138,72.7,0.005042,0.0174,*
M1vsM2_12m,equal_width,Relative Mortality,WUE,Mid,33,-0.04918,54.5,0.3406,0.3845,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,Mid,33,-0.02469,54.5,0.1764,0.2483,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Low,53,-0.00046,50.9,0.5668,0.6011,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Low,53,-0.6595,66,0.006757,0.01819,*
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Low,53,-0.77196,67.9,0.004624,0.0174,*
M1vsM2_12m,equal_width,Relative Mortality,WUE,Low,53,-0.06382,64.2,0.00272,0.0174,*
M1vsM2_12m,equal_width,Relative Mortality,uWUE,Low,53,-0.02921,64.2,0.005965,0.0174,*
M1vsM2_12m,equal_width,Relative Mortality,ETmax,High,7,-0.00513,71.4,0.05416,0.09977,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,High,7,0.6288,42.9,0.3363,0.3845,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,High,7,-1.15557,71.4,0.07539,0.1319,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,High,7,0.01649,42.9,0.2771,0.3463,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,High,7,-0.06725,71.4,0.2234,0.3008,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,Mid,35,-0.00146,60,0.1649,0.2483,ns
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,Mid,35,-1.12698,74.3,0.005965,0.0174,*
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,Mid,35,-0.80397,65.7,0.01216,0.02659,*
M1vsM2_12m,equal_width,Relative Disturbance,WUE,Mid,35,-0.04918,54.3,0.2642,0.3424,ns
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,Mid,35,-0.01279,51.4,0.2916,0.3519,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,Low,53,3e-05,49.1,0.7175,0.7386,ns
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,Low,53,-0.39844,64.2,0.01093,0.0255,*
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,Low,53,-0.84194,69.8,0.003286,0.0174,*
M1vsM2_12m,equal_width,Relative Disturbance,WUE,Low,53,-0.03325,62.3,0.009265,0.02316,*
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,Low,53,-0.02971,66,0.003559,0.0174,*
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,High,5,-0.00513,80,,,""
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,High,5,-1.8272,60,,,""
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,High,5,-2.58957,100,,,""
M1vsM2_12m,equal_width,Relative Disturbance,WUE,High,5,-0.27289,60,,,""
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,High,5,-0.24285,80,,,""
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,High,20,-0.00244,65,0.2449,0.2978,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,High,20,-0.63735,60,0.0563,0.09744,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,NEPmax,High,20,-0.96663,65,0.02969,0.0689,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,WUE,High,20,0.02376,45,0.3204,0.3697,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,uWUE,High,20,-0.06296,60,0.1125,0.1582,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,Mid,43,-0.00067,53.5,0.24,0.2978,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,Mid,43,-0.91311,72.1,0.005907,0.063,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,NEPmax,Mid,43,-0.95047,72.1,0.006768,0.063,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,WUE,Mid,43,-0.05616,65.1,0.03459,0.07412,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,uWUE,Mid,43,-0.01734,58.1,0.1057,0.1582,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,Low,30,-0.00021,50,0.6819,0.6819,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,Low,30,-0.58856,66.7,0.03062,0.0689,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,NEPmax,Low,30,-0.53491,70,0.01316,0.063,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,WUE,Low,30,-0.07136,60,0.02416,0.0689,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,uWUE,Low,30,-0.07492,66.7,0.0154,0.063,ns
M1vsM2_12m,natural_breaks,Relative Mortality,ETmax,High,26,-0.00145,65.4,0.07385,0.1146,ns
M1vsM2_12m,natural_breaks,Relative Mortality,GPPsat,High,26,-0.70473,65.4,0.03009,0.0689,ns
M1vsM2_12m,natural_breaks,Relative Mortality,NEPmax,High,26,-0.97977,65.4,0.0119,0.063,ns
M1vsM2_12m,natural_breaks,Relative Mortality,WUE,High,26,-0.0378,53.8,0.1737,0.2233,ns
M1vsM2_12m,natural_breaks,Relative Mortality,uWUE,High,26,-0.04168,57.7,0.161,0.213,ns
M1vsM2_12m,natural_breaks,Relative Mortality,ETmax,Mid,32,3e-05,46.9,0.4222,0.4634,ns
M1vsM2_12m,natural_breaks,Relative Mortality,GPPsat,Mid,32,-1.06907,75,0.007728,0.063,ns
M1vsM2_12m,natural_breaks,Relative Mortality,NEPmax,Mid,32,-1.14683,75,0.009005,0.063,ns
M1vsM2_12m,natural_breaks,Relative Mortality,WUE,Mid,32,-0.06005,62.5,0.04354,0.0852,ns
M1vsM2_12m,natural_breaks,Relative Mortality,uWUE,Mid,32,-0.02767,59.4,0.07365,0.1146,ns
M1vsM2_12m,natural_breaks,Relative Mortality,ETmax,Low,35,-0.00143,54.3,0.6738,0.6819,ns
M1vsM2_12m,natural_breaks,Relative Mortality,GPPsat,Low,35,-0.34476,62.9,0.04199,0.0852,ns
M1vsM2_12m,natural_breaks,Relative Mortality,NEPmax,Low,35,-0.60335,68.6,0.01439,0.063,ns
M1vsM2_12m,natural_breaks,Relative Mortality,WUE,Low,35,-0.03325,60,0.04659,0.08736,ns
M1vsM2_12m,natural_breaks,Relative Mortality,uWUE,Low,35,-0.06638,65.7,0.01323,0.063,ns
M1vsM2_12m,natural_breaks,Relative Disturbance,ETmax,Mid,35,3e-05,48.6,0.4902,0.5252,ns
M1vsM2_12m,natural_breaks,Relative Disturbance,GPPsat,Mid,35,-1.12698,80,0.0007639,0.02399,*
M1vsM2_12m,natural_breaks,Relative Disturbance,NEPmax,Mid,35,-1.32571,80,0.001066,0.02399,*
M1vsM2_12m,natural_breaks,Relative Disturbance,WUE,Mid,35,-0.05616,65.7,0.02613,0.0689,ns
