unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,-0.00048,54.5,0.6149,0.9465,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.42145,59.1,0.2179,0.9465,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-0.4778,59.1,0.06352,0.9426,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,-0.00074,50,0.6635,0.9465,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,-0.02162,54.5,0.6983,0.9465,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,43,0.00049,44.2,0.725,0.9465,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,43,0.15057,44.2,0.76,0.9465,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,43,-0.00151,51.2,0.4448,0.9465,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,43,0.00058,48.8,0.6163,0.9465,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,43,0.01678,44.2,0.9202,0.9654,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,-0.00048,54.5,0.5899,0.9465,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.42145,63.6,0.1571,0.9426,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-0.35832,54.5,0.1571,0.9426,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,-0.00507,54.5,0.5772,0.9465,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,-0.02825,59.1,0.5517,0.9465,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,43,0.00049,44.2,0.7209,0.9465,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,43,0.20288,41.9,0.8126,0.9465,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,43,-0.44224,53.5,0.2872,0.9465,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,43,0.01373,46.5,0.7003,0.9465,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,43,0.02069,41.9,0.9654,0.9654,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,22,-0.00125,59.1,0.3975,0.9465,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,22,-0.49311,68.2,0.1148,0.9426,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,22,-0.4778,59.1,0.1212,0.9426,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,22,-0.00734,59.1,0.4101,0.9465,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,22,-0.02825,59.1,0.5645,0.9465,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,43,0.00063,41.9,0.8345,0.9465,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,43,0.28219,39.5,0.8519,0.9465,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,43,-0.00151,51.2,0.3081,0.9465,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,43,0.02774,44.2,0.782,0.9465,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,43,0.02069,41.9,0.9654,0.9654,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,62,0.00034,48.4,0.6238,0.8122,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,62,0.04903,48.4,0.5028,0.8122,ns
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,62,-0.46402,54.8,0.1073,0.7762,ns
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low+Mid,62,-0.00318,51.6,0.4832,0.8122,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low+Mid,62,0.01168,46.8,0.9164,0.9769,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,3,0.00928,33.3,,,""
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,3,-0.45896,66.7,,,""
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,3,1.15402,33.3,,,""
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,3,0.26838,0,,,""
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,3,-0.02754,66.7,,,""
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Low+Mid,58,0.00034,48.3,0.5978,0.8122,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Low+Mid,58,0.1143,46.6,0.5524,0.8122,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Low+Mid,58,-0.46402,53.4,0.1552,0.7762,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,Low+Mid,58,-0.00042,50,0.6507,0.8122,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,Low+Mid,58,0.02234,43.1,0.9726,0.9769,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,High,7,0.00735,42.9,0.9246,0.9769,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,High,7,-0.45896,71.4,0.3999,0.8122,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,High,7,-0.20327,57.1,0.3363,0.8122,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,High,7,0.07933,42.9,0.6637,0.8122,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,High,7,-0.02896,85.7,0.1359,0.7762,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,Low+Mid,56,0.00048,46.4,0.6538,0.8122,ns
