unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,-0.00057,51.4,0.4699,0.5707,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-0.15675,54.1,0.09467,0.2307,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-0.36451,51.4,0.09216,0.2307,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.00546,51.4,0.2731,0.3964,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,-0.05353,62.2,0.212,0.3669,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,37,-0.00044,56.8,0.3814,0.5201,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,37,-0.80652,70.3,0.003623,0.05434,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,37,-0.47256,64.9,0.02161,0.1045,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,37,-0.04525,54.1,0.2486,0.3801,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,37,-0.05777,62.2,0.1258,0.2577,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,38,-0.00344,57.9,0.07976,0.2243,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,38,-0.97802,63.2,0.01535,0.1045,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,38,-1.27353,63.2,0.02599,0.1063,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,38,0.01656,50,0.5634,0.6036,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,38,0.03929,34.2,0.8308,0.8308,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,-0.00057,59.5,0.2345,0.3769,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-0.65128,64.9,0.02084,0.1045,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-0.39227,56.8,0.0167,0.1045,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,-0.01894,56.8,0.1867,0.3501,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,-0.01308,59.5,0.2208,0.368,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,37,-0.00093,56.8,0.1025,0.2307,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,37,-0.78132,64.9,0.01491,0.1045,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,37,-0.72056,62.2,0.02322,0.1045,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,37,-0.02308,51.4,0.1597,0.3125,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,37,-0.0593,59.5,0.09986,0.2307,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low,38,-7e-05,50,0.5462,0.6036,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low,38,-0.78801,57.9,0.03723,0.1206,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low,38,-0.56659,60.5,0.126,0.2577,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low,38,0.04562,47.4,0.7999,0.8303,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low,38,0.03931,39.5,0.8118,0.8303,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,37,-0.00034,54.1,0.482,0.5707,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,37,-0.65128,62.2,0.02966,0.1112,ns
