response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,65,0.0375,0.039,1.49,44.6,0.7578,0.8296, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,65,0.0385,0.0396,2.39,36.9,0.8365,0.8691, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,65,0.0375,0.0375,2.63,40,0.7777,0.8296, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.0379,0.0391,0.71,47.7,0.6355,0.8237, ns
ETmax,Anomaly / 24m,C vs C+D,65,0.0396,0.042,2.04,43.1,0.7699,0.8296, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,65,0.0409,0.0424,-0.15,50.8,0.4844,0.8237, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,65,0.0385,0.0406,0.48,47.7,0.5572,0.8237, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.039,0.0396,0.22,47.7,0.3572,0.8237, ns
ETmax,Raw-lag / 12m,C vs C+D,65,0.0375,0.039,1.49,44.6,0.7578,0.8296, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,65,0.0255,0.027,-0.43,53.8,0.2184,0.7596, ns
ETmax,Raw-lag / 12m,C+T vs C+T+D,65,0.0375,0.0375,2.63,40,0.7777,0.8296, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.0259,0.0265,-0.99,53.8,0.2983,0.8237, ns
ETmax,Raw-lag / 24m,C vs C+D,65,0.0396,0.042,2.04,43.1,0.7699,0.8296, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,65,0.0271,0.0268,0.82,46.2,0.8316,0.8691, ns
ETmax,Raw-lag / 24m,C+T vs C+T+D,65,0.0385,0.0406,0.48,47.7,0.5572,0.8237, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.0266,0.0269,-0.6,52.3,0.4121,0.8237, ns
GPPsat,Anomaly / 12m,C vs C+D,65,4.7087,4.5707,-1.94,53.8,0.3572,0.8237, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,65,4.6908,4.6392,-2.28,56.9,0.3427,0.8237, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,65,5.3166,4.6172,-2.64,58.5,0.03364,0.2863, ns
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,65,5.0022,4.6066,-4.37,64.6,0.03721,0.2863, ns
GPPsat,Anomaly / 24m,C vs C+D,65,4.6713,4.5645,-3.12,55.4,0.2165,0.7596, ns
GPPsat,Anomaly / 24m,C+M vs C+M+D,65,4.6589,4.5525,-1.98,56.9,0.2146,0.7596, ns
GPPsat,Anomaly / 24m,C+T vs C+T+D,65,5.1128,4.7468,-2.61,63.1,0.07808,0.347, ns
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,65,5.1233,4.5435,-2.63,60,0.06151,0.3409, ns
GPPsat,Raw-lag / 12m,C vs C+D,65,4.7087,4.5707,-1.94,53.8,0.3572,0.8237, ns
GPPsat,Raw-lag / 12m,C+M vs C+M+D,65,3.568,3.5756,1.61,40,0.8722,0.8946, ns
GPPsat,Raw-lag / 12m,C+T vs C+T+D,65,5.3166,4.6172,-2.64,58.5,0.03364,0.2863, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.7116,3.4903,0.31,47.7,0.2674,0.8237, ns
GPPsat,Raw-lag / 24m,C vs C+D,65,4.6713,4.5645,-3.12,55.4,0.2165,0.7596, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,65,3.6999,3.5593,0.15,49.2,0.6501,0.8237, ns
GPPsat,Raw-lag / 24m,C+T vs C+T+D,65,5.1128,4.7468,-2.61,63.1,0.07808,0.347, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.6585,3.4674,0.12,47.7,0.5597,0.8237, ns
NEPmax,Anomaly / 12m,C vs C+D,65,4.4377,4.6504,-11.53,61.5,0.04343,0.2863, ns
NEPmax,Anomaly / 12m,C+M vs C+M+D,65,4.3579,4.636,-10.39,60,0.04653,0.2863, ns
NEPmax,Anomaly / 12m,C+T vs C+T+D,65,5.294,5.0331,-3.04,61.5,0.03616,0.2863, ns
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,4.9505,4.9419,-4.31,53.8,0.07808,0.347, ns
