unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,-0.00267,54.1,0.3093,0.3762,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-0.27433,59.5,0.04851,0.1051,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-1.2058,62.2,0.01008,0.03781,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.04596,54.1,0.1421,0.2131,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,0.03809,40.5,0.7168,0.7168,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,37,-0.00153,62.2,0.05324,0.1051,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,37,-1.1463,67.6,0.008226,0.03365,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,37,-1.05029,70.3,0.04555,0.1051,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,37,-0.03279,54.1,0.08969,0.1495,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,37,-0.01552,51.4,0.2534,0.3304,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,38,3e-04,50,0.3585,0.4136,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,38,-0.90207,76.3,0.0002012,0.009052,**
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,38,-1.23526,68.4,0.005811,0.02906,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,38,-0.06073,57.9,0.05373,0.1051,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,38,-0.08203,73.7,0.03275,0.09212,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,-0.00037,54.1,0.3474,0.4114,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-1.15084,59.5,0.005164,0.02905,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-1.2058,64.9,0.003623,0.02717,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,-0.03279,56.8,0.05324,0.1051,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,-0.00082,51.4,0.3814,0.4291,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,37,-0.00325,59.5,0.1137,0.1765,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,37,-1.1463,75.7,0.0009425,0.01365,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,37,-1.27937,70.3,0.007893,0.03365,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,37,-0.06742,59.5,0.0759,0.1314,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,37,-0.09149,62.2,0.02493,0.07478,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low,38,-0.00088,52.6,0.257,0.3304,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low,38,-0.42652,68.4,0.01229,0.04255,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low,38,-0.75433,65.8,0.07554,0.1314,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low,38,0.00274,50,0.2342,0.3194,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low,38,-0.02271,52.6,0.5634,0.5762,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,37,-0.00037,51.4,0.4105,0.4505,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,37,-1.19395,59.5,0.004528,0.02905,*
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,37,-1.30898,67.6,0.001213,0.01365,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,37,0.00607,48.6,0.1867,0.271,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,37,0.03809,48.6,0.4579,0.4907,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Mid,37,-0.00599,67.6,0.04006,0.1051,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Mid,37,-1.23155,78.4,0.0004053,0.009119,**
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Mid,37,-1.28458,75.7,0.003019,0.02717,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Mid,37,-0.06013,64.9,0.04273,0.1051,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Mid,37,-0.06522,59.5,0.07377,0.1314,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low,38,0.00065,47.4,0.4769,0.4991,ns
