response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,93,0.0353,0.0386,-3.2,52.7,0.2333,0.3091, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,93,0.0345,0.0365,0.02,49.5,0.3608,0.4123, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,93,0.0322,0.0346,-0.08,50.5,0.4331,0.4746, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.0335,0.035,0.41,49.5,0.5924,0.6236, ns
ETmax,Anomaly / 24m,C vs C+D,93,0.0363,0.0375,-2.05,53.8,0.3201,0.3711, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,93,0.0373,0.037,-1.85,51.6,0.4664,0.5042, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,93,0.0343,0.0345,1.62,40.9,0.945,0.945, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.0346,0.0334,1.71,43,0.9143,0.9378, ns
ETmax,Raw-lag / 12m,C vs C+D,93,0.0353,0.0386,-3.2,52.7,0.2333,0.3091, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,93,0.0271,0.0249,1.09,46.2,0.652,0.6774, ns
ETmax,Raw-lag / 12m,C+T vs C+T+D,93,0.0322,0.0346,-0.08,50.5,0.4331,0.4746, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.0252,0.0244,0.69,47.3,0.3665,0.413, ns
ETmax,Raw-lag / 24m,C vs C+D,93,0.0363,0.0375,-2.05,53.8,0.3201,0.3711, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,93,0.0269,0.0247,-2.56,60.2,0.07484,0.1274, ns
ETmax,Raw-lag / 24m,C+T vs C+T+D,93,0.0343,0.0345,1.62,40.9,0.945,0.945, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.025,0.0252,-0.25,53.8,0.1324,0.2037, ns
GPPsat,Anomaly / 12m,C vs C+D,93,5.8291,5.2892,-12.94,67.7,0.0001025,0.0005701,***
GPPsat,Anomaly / 12m,C+M vs C+M+D,93,5.8608,5.2369,-13,66.7,7.32e-05,0.0005701,***
GPPsat,Anomaly / 12m,C+T vs C+T+D,93,5.6014,5.3499,-10.15,65.6,0.0001139,0.0005701,***
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,93,5.7414,5.2435,-9.88,66.7,2.734e-05,0.0003645,***
GPPsat,Anomaly / 24m,C vs C+D,93,5.8747,5.2511,-9.19,62.4,0.0001323,0.0005701,***
GPPsat,Anomaly / 24m,C+M vs C+M+D,93,6.0017,5.2823,-9.5,63.4,0.0002626,0.001,**
GPPsat,Anomaly / 24m,C+T vs C+T+D,93,6.0888,5.3794,-7.17,64.5,0.0007655,0.002552,**
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,93,6.1279,5.3972,-9.91,63.4,0.0006705,0.002438,**
GPPsat,Raw-lag / 12m,C vs C+D,93,5.8291,5.2892,-12.94,67.7,0.0001025,0.0005701,***
