unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,0.00206,45.5,0.6753,0.8706,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.20362,59.1,0.2179,0.8389,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-1.08989,68.2,0.03708,0.8389,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,-0.01671,54.5,0.3131,0.8389,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,0.01688,40.9,0.7625,0.8706,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,43,-1e-04,53.5,0.4928,0.8389,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,43,0.13974,44.2,0.7993,0.8706,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,43,-0.12297,53.5,0.56,0.84,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,43,0.00815,46.5,0.5072,0.8389,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,43,0.01713,39.5,0.8126,0.8706,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,0.00088,50,0.6149,0.8706,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.20362,59.1,0.2276,0.8389,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-0.83833,63.6,0.165,0.8389,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,-0.00164,50,0.4228,0.8389,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,0.00345,50,0.5,0.8389,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,43,-6e-05,51.2,0.5313,0.8389,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,43,0.13974,44.2,0.7563,0.8706,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,43,-0.17751,55.8,0.3297,0.8389,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,43,0.00732,48.8,0.4022,0.8389,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,43,0.04029,34.9,0.9128,0.9202,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,22,0.00088,50,0.6516,0.8706,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,22,-0.20362,59.1,0.2276,0.8389,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,22,-0.86078,63.6,0.1571,0.8389,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,22,-0.00164,50,0.4741,0.8389,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,22,0.00345,50,0.5,0.8389,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,43,-6e-05,51.2,0.4831,0.8389,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,43,0.13974,44.2,0.7563,0.8706,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,43,-0.17751,55.8,0.3429,0.8389,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,43,0.00368,48.8,0.3883,0.8389,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,43,0.04029,34.9,0.9202,0.9202,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,62,0.00049,50,0.6857,0.8285,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,62,-0.10206,51.6,0.4031,0.8285,ns
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,62,-0.58922,59.7,0.1355,0.8285,ns
