response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,93,0.0356,0.0392,-2.05,52.7,0.2687,0.3208, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,93,0.0367,0.0384,-3.03,55.9,0.3972,0.4673, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,93,0.0364,0.0344,-4.03,58.1,0.2345,0.2931, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.0361,0.0361,-1.77,51.6,0.8469,0.8999, ns
ETmax,Anomaly / 24m,C vs C+D,93,0.0345,0.0398,3.35,47.3,0.9392,0.9511, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,93,0.0354,0.0355,-1.13,52.7,0.2636,0.3208, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,93,0.0336,0.0349,-1.63,51.6,0.5458,0.6149, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.0339,0.0354,0.36,49.5,0.7548,0.8272, ns
ETmax,Raw-lag / 12m,C vs C+D,93,0.0356,0.0392,-2.05,52.7,0.2687,0.3208, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,93,0.0285,0.0289,2.51,45.2,0.814,0.88, ns
ETmax,Raw-lag / 12m,C+T vs C+T+D,93,0.0364,0.0344,-4.03,58.1,0.2345,0.2931, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.0267,0.0274,2.11,40.9,0.8549,0.8999, ns
ETmax,Raw-lag / 24m,C vs C+D,93,0.0345,0.0398,3.35,47.3,0.9392,0.9511, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,93,0.0263,0.0281,1.22,40.9,0.9368,0.9511, ns
ETmax,Raw-lag / 24m,C+T vs C+T+D,93,0.0336,0.0349,-1.63,51.6,0.5458,0.6149, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.0267,0.0283,0.91,46.2,0.9515,0.9515, ns
GPPsat,Anomaly / 12m,C vs C+D,93,5.9005,5.424,-10.08,63.4,0.0006886,0.003935,**
GPPsat,Anomaly / 12m,C+M vs C+M+D,93,6.261,5.5105,-9.91,64.5,0.001384,0.005753,**
GPPsat,Anomaly / 12m,C+T vs C+T+D,93,5.8733,5.1301,-9.41,66.7,0.0002308,0.001984,**
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,93,6.4641,5.5109,-9.7,68.8,0.000248,0.001984,**
GPPsat,Anomaly / 24m,C vs C+D,93,6.0187,5.1009,-9.62,60.2,0.003336,0.01027,*
GPPsat,Anomaly / 24m,C+M vs C+M+D,93,6.3497,5.3072,-12.25,62.4,0.0004348,0.002898,**
GPPsat,Anomaly / 24m,C+T vs C+T+D,93,6.0722,5.873,-10,64.5,0.005127,0.01465,*
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,93,5.9734,5.6372,-10.59,65.6,0.001007,0.004737,**
GPPsat,Raw-lag / 12m,C vs C+D,93,5.9005,5.424,-10.08,63.4,0.0006886,0.003935,**
GPPsat,Raw-lag / 12m,C+M vs C+M+D,93,4.006,3.5642,-2.01,54.8,0.1504,0.1973, ns
GPPsat,Raw-lag / 12m,C+T vs C+T+D,93,5.8733,5.1301,-9.41,66.7,0.0002308,0.001984,**
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,93,3.7159,3.6701,-3.4,58.1,0.0338,0.0569, ns
GPPsat,Raw-lag / 24m,C vs C+D,93,6.0187,5.1009,-9.62,60.2,0.003336,0.01027,*
GPPsat,Raw-lag / 24m,C+M vs C+M+D,93,3.8386,3.5877,-3.78,59.1,0.08628,0.1211, ns
GPPsat,Raw-lag / 24m,C+T vs C+T+D,93,6.0722,5.873,-10,64.5,0.005127,0.01465,*
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,93,3.5526,3.7054,-4.41,58.1,0.01945,0.03795,*
NEPmax,Anomaly / 12m,C vs C+D,93,5.4934,5.1892,-11.05,65.6,0.0001969,0.001984,**
NEPmax,Anomaly / 12m,C+M vs C+M+D,93,5.3231,4.9367,-12.14,63.4,0.0003434,0.002497,**
NEPmax,Anomaly / 12m,C+T vs C+T+D,93,5.1922,4.9224,-11.02,63.4,0.000104,0.001984,**
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,93,5.0218,4.9287,-11.06,73.1,1.019e-05,0.0006023,***
NEPmax,Anomaly / 24m,C vs C+D,93,5.2494,4.9869,-15.07,61.3,0.0008069,0.004034,**
NEPmax,Anomaly / 24m,C+M vs C+M+D,93,5.076,4.9949,-14.43,63.4,0.000194,0.001984,**
NEPmax,Anomaly / 24m,C+T vs C+T+D,93,5.3162,4.5896,-7.65,59.1,0.00184,0.0064,**
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,93,5.6166,4.5347,-10.84,67.7,1.506e-05,0.0006023,***
NEPmax,Raw-lag / 12m,C vs C+D,93,5.4934,5.1892,-11.05,65.6,0.0001969,0.001984,**
NEPmax,Raw-lag / 12m,C+M vs C+M+D,93,3.1626,2.9909,-3.73,59.1,0.1123,0.1522, ns
NEPmax,Raw-lag / 12m,C+T vs C+T+D,93,5.1922,4.9224,-11.02,63.4,0.000104,0.001984,**
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,93,3.3975,3.1833,-6.64,64.5,0.008761,0.01947,*
NEPmax,Raw-lag / 24m,C vs C+D,93,5.2494,4.9869,-15.07,61.3,0.0008069,0.004034,**
NEPmax,Raw-lag / 24m,C+M vs C+M+D,93,2.929,2.9949,-4.31,62.4,0.02233,0.04061,*
NEPmax,Raw-lag / 24m,C+T vs C+T+D,93,5.3162,4.5896,-7.65,59.1,0.00184,0.0064,**
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,93,3.2644,3.2196,-5.65,59.1,0.07703,0.11, ns
WUE,Anomaly / 12m,C vs C+D,93,0.7267,0.684,-3.27,58.1,0.07008,0.1019, ns
WUE,Anomaly / 12m,C+M vs C+M+D,93,0.7246,0.6764,-7.86,54.8,0.04517,0.0695, ns
WUE,Anomaly / 12m,C+T vs C+T+D,93,0.8219,0.7097,-5.28,61.3,0.02173,0.04043,*
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.7826,0.7049,-4.32,57,0.01673,0.03346,*
WUE,Anomaly / 24m,C vs C+D,93,0.8045,0.6817,-5.09,60.2,0.006802,0.01737,*
WUE,Anomaly / 24m,C+M vs C+M+D,93,0.7462,0.7069,-7.33,59.1,0.007646,0.01854,*
WUE,Anomaly / 24m,C+T vs C+T+D,93,0.8097,0.7953,-0.3,50.5,0.03556,0.0569, ns
WUE,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.7856,0.7407,-5.61,58.1,0.03467,0.0569, ns
WUE,Raw-lag / 12m,C vs C+D,93,0.7267,0.684,-3.27,58.1,0.07008,0.1019, ns
WUE,Raw-lag / 12m,C+M vs C+M+D,93,0.533,0.5124,-4.92,59.1,0.1308,0.1744, ns
WUE,Raw-lag / 12m,C+T vs C+T+D,93,0.8219,0.7097,-5.28,61.3,0.02173,0.04043,*
WUE,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.5685,0.5181,-2.11,57,0.04409,0.06916, ns
WUE,Raw-lag / 24m,C vs C+D,93,0.8045,0.6817,-5.09,60.2,0.006802,0.01737,*
WUE,Raw-lag / 24m,C+M vs C+M+D,93,0.5236,0.4905,-3.33,53.8,0.06957,0.1019, ns
WUE,Raw-lag / 24m,C+T vs C+T+D,93,0.8097,0.7953,-0.3,50.5,0.03556,0.0569, ns
WUE,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.5557,0.4918,-6.05,64.5,0.002004,0.00668,**
uWUE,Anomaly / 12m,C vs C+D,93,0.7597,0.6616,-5.71,63.4,0.008761,0.01947,*
uWUE,Anomaly / 12m,C+M vs C+M+D,93,0.7418,0.7171,-7.84,60.2,0.01054,0.02278,*
