unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,-0.00016,51.6,0.3226,0.3871,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,-0.64603,64.5,0.06441,0.1074,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-0.42376,61.3,0.04692,0.08797,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,0.01766,45.2,0.5273,0.565,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.02469,54.8,0.1258,0.1987,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,62,-7e-04,53.2,0.3093,0.3866,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,62,-0.76056,62.9,0.00221,0.01999,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,62,-0.89106,67.7,0.001118,0.01999,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,62,-0.0409,64.5,0.02032,0.04354,*
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,62,-0.04709,67.7,0.0141,0.04202,*
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,5e-05,48.4,0.4185,0.465,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-1.14684,67.7,0.0256,0.05119,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-0.44845,64.5,0.02029,0.04354,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,0.03573,41.9,0.6415,0.6415,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.01722,58.1,0.1384,0.2076,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,62,-0.00077,54.8,0.2874,0.3749,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,62,-0.40079,61.3,0.009243,0.03466,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,62,-0.88838,66.1,0.002309,0.01999,*
