unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,0.00083,31.8,0.8429,0.9136,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.11441,50,0.2581,0.9136,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-1.68501,77.3,0.005162,0.1549,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,0.01231,40.9,0.9136,0.9136,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,-0.00516,50,0.3975,0.9136,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,43,0,51.2,0.729,0.9136,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,43,-0.14627,55.8,0.2997,0.9136,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,43,-0.18133,53.5,0.7638,0.9136,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,43,0.00135,44.2,0.4591,0.9136,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,43,0.01496,46.5,0.7711,0.9136,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,0.00033,40.9,0.6395,0.9136,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.31123,54.5,0.2581,0.9136,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-1.03952,68.2,0.08635,0.8635,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,-0.01886,54.5,0.6983,0.9136,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,0.0352,40.9,0.7419,0.9136,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,43,0.00046,46.5,0.8731,0.9136,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,43,-0.09098,53.5,0.3429,0.9136,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,43,-0.19539,58.1,0.4163,0.9136,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,43,0.03204,37.2,0.76,0.9136,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,43,-0.0063,51.2,0.56,0.9136,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,22,0.00033,40.9,0.5259,0.9136,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,22,-0.48574,59.1,0.2085,0.9136,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,22,-1.03952,68.2,0.08635,0.8635,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,22,-0.01886,54.5,0.5517,0.9136,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,22,0.02532,40.9,0.6869,0.9136,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,43,0.00047,46.5,0.9109,0.9136,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,43,-0.05937,51.2,0.4305,0.9136,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,43,-0.19539,58.1,0.4258,0.9136,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,43,0.03231,37.2,0.8158,0.9136,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,43,-0.0063,51.2,0.6163,0.9136,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,62,0.00033,46.8,0.792,0.8954,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,62,-0.26099,56.5,0.137,0.7556,ns
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,62,-0.57599,62.9,0.1497,0.7556,ns
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low+Mid,62,0.0086,43.5,0.722,0.8954,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low+Mid,62,0.0056,48.4,0.6131,0.8954,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,3,0.00104,0,,,""
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,3,1.39209,0,,,""
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,3,0.02372,33.3,,,""
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,3,0.20715,33.3,,,""
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,3,0.09918,33.3,,,""
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Low+Mid,58,0.00033,46.6,0.8049,0.8954,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Low+Mid,58,-0.26099,56.9,0.1196,0.7556,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Low+Mid,58,-0.4601,62.1,0.1516,0.7556,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,Low+Mid,58,0.01231,41.4,0.7852,0.8954,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,Low+Mid,58,0.00237,50,0.6187,0.8954,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,High,7,0.00104,28.6,0.7766,0.8954,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,High,7,1.06697,28.6,0.8237,0.8954,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,High,7,-0.67965,57.1,0.3999,0.8954,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,High,7,-0.01176,57.1,0.6001,0.8954,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,High,7,0.01579,28.6,0.8237,0.8954,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,Low+Mid,56,0.00028,48.2,0.7256,0.8954,ns
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,Low+Mid,56,-0.11862,53.6,0.3022,0.7556,ns
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,Low+Mid,56,-0.32543,60.7,0.2826,0.7556,ns
M1vsM2_12m,equal_width,Relative Disturbance,WUE,Low+Mid,56,0.0276,39.3,0.8672,0.9034,ns
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,Low+Mid,56,0.01792,46.4,0.7598,0.8954,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,High,9,0.00104,22.2,0.9224,0.9224,ns
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,High,9,-0.59995,55.6,0.2386,0.7556,ns
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,High,9,-1.3139,66.7,0.09626,0.7556,ns
M1vsM2_12m,equal_width,Relative Disturbance,WUE,High,9,-0.06617,66.7,0.2768,0.7556,ns
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,High,9,-0.03229,55.6,0.2768,0.7556,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,High,14,0.00083,35.7,0.7349,0.8796,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,High,14,0.29802,42.9,0.45,0.8796,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,NEPmax,High,14,-1.55073,78.6,0.01641,0.4922,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,WUE,High,14,0.01231,42.9,0.8268,0.8796,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,uWUE,High,14,0.00797,42.9,0.55,0.8796,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,Low+Mid,51,0.00035,47.1,0.8221,0.8796,ns
