unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,0.00045,48.4,0.5117,0.5294,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,-0.47311,58.1,0.09626,0.152,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-0.8189,64.5,0.01935,0.05533,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,-0.05117,51.6,0.1067,0.16,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.01653,58.1,0.08661,0.1443,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,62,-0.00219,58.1,0.4194,0.466,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,62,-1.05479,71,6.836e-05,0.002051,**
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,62,-1.04459,66.1,0.00269,0.01649,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,62,-0.02617,56.5,0.04292,0.08585,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,62,-0.00923,58.1,0.1194,0.1706,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,-0.00374,58.1,0.275,0.33,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.79332,71,0.009103,0.03792,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-0.8875,64.5,0.01011,0.03792,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,-0.01677,54.8,0.07215,0.1273,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.04324,64.5,0.03494,0.08063,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,62,-0.00067,53.2,0.5942,0.5942,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,62,-1.04695,64.5,0.0006453,0.006453,**
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,62,-0.96289,66.1,0.004646,0.02323,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,62,-0.04301,54.8,0.07142,0.1273,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,62,-0.00657,54.8,0.1614,0.2106,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,31,-0.00182,54.8,0.3585,0.4136,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,31,-0.87637,71,0.01674,0.05533,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,31,-0.8875,61.3,0.02029,0.05533,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,31,-0.00615,51.6,0.1472,0.2008,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,31,-0.04324,64.5,0.02679,0.06697,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,62,-0.00119,54.8,0.5084,0.5294,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,62,-1.03237,64.5,0.0002531,0.003796,**
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,62,-0.96289,67.7,0.002748,0.01649,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,62,-0.06573,56.5,0.04166,0.08585,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,62,-0.00657,54.8,0.206,0.2575,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,88,-0.00174,55.7,0.3641,0.3833,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,88,-0.98835,65.9,5.404e-05,0.0007668,***
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,88,-1.04459,67,0.0001534,0.0007668,***
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low+Mid,88,-0.02617,54.5,0.02256,0.06447,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low+Mid,88,-0.01123,56.8,0.05166,0.09027,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,5,0.00045,40,,,""
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,5,-0.9053,80,,,""
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,5,0.60557,40,,,""
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,5,-0.05117,60,,,""
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,5,-0.06529,80,,,""
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Low+Mid,86,-0.00257,58.1,0.2762,0.3214,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Low+Mid,86,-0.9627,65.1,0.0001417,0.0007668,***
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Low+Mid,86,-0.96289,65.1,0.0005663,0.002265,**
M1vsM2_12m,equal_width,Relative Mortality,WUE,Low+Mid,86,-0.01919,53.5,0.04328,0.09027,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,Low+Mid,86,-0.00672,55.8,0.09454,0.1281,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,High,7,0.00529,14.3,0.9458,0.9458,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,High,7,-1.56126,85.7,0.03796,0.09027,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,High,7,-0.8875,71.4,0.1024,0.1281,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,High,7,-0.15635,71.4,0.07539,0.116,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,High,7,-0.2108,85.7,0.05416,0.09027,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,Low+Mid,88,-0.00257,58,0.2893,0.3214,ns
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,Low+Mid,88,-0.9627,65.9,8.806e-05,0.0007668,***
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,Low+Mid,88,-0.85025,63.6,0.001075,0.003584,**
M1vsM2_12m,equal_width,Relative Disturbance,WUE,Low+Mid,88,-0.01919,53.4,0.04618,0.09027,ns
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,Low+Mid,88,-0.00672,55.7,0.09891,0.1281,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,High,5,0.00529,0,,,""
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,High,5,-1.56126,80,,,""
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,High,5,-3.92917,100,,,""
M1vsM2_12m,equal_width,Relative Disturbance,WUE,High,5,-0.2441,80,,,""
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,High,5,-0.2108,100,,,""
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,High,20,-3e-04,50,0.4926,0.5095,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,High,20,-0.67474,60,0.06527,0.1088,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,NEPmax,High,20,-1.10688,65,0.0351,0.07537,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,WUE,High,20,-0.08501,55,0.1437,0.2052,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,uWUE,High,20,-0.04203,60,0.06065,0.107,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,Low+Mid,73,-0.00182,56.2,0.4432,0.4924,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,Low+Mid,73,-1.02427,68.5,0.0001309,0.00296,**
M1vsM2_12m,natural_breaks,Absolute Mortality,NEPmax,Low+Mid,73,-0.88161,65.8,0.001578,0.0111,*
M1vsM2_12m,natural_breaks,Absolute Mortality,WUE,Low+Mid,73,-0.02161,54.8,0.03789,0.07578,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,uWUE,Low+Mid,73,-0.01003,57.5,0.131,0.1966,ns
M1vsM2_12m,natural_breaks,Relative Mortality,ETmax,High,26,-0.00278,57.7,0.3706,0.4448,ns
M1vsM2_12m,natural_breaks,Relative Mortality,GPPsat,High,26,-0.83485,69.2,0.01983,0.05601,ns
M1vsM2_12m,natural_breaks,Relative Mortality,NEPmax,High,26,-0.96625,61.5,0.0224,0.05601,ns
M1vsM2_12m,natural_breaks,Relative Mortality,WUE,High,26,-0.03384,53.8,0.09761,0.1541,ns
M1vsM2_12m,natural_breaks,Relative Mortality,uWUE,High,26,-0.05426,69.2,0.006877,0.02947,*
M1vsM2_12m,natural_breaks,Relative Mortality,ETmax,Low+Mid,67,-0.00072,53.7,0.4913,0.5095,ns
M1vsM2_12m,natural_breaks,Relative Mortality,GPPsat,Low+Mid,67,-1.04047,65.7,0.0002922,0.00296,**
M1vsM2_12m,natural_breaks,Relative Mortality,NEPmax,Low+Mid,67,-0.88161,67.2,0.002592,0.01296,*
M1vsM2_12m,natural_breaks,Relative Mortality,WUE,Low+Mid,67,-0.03074,55.2,0.05665,0.1062,ns
