response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,112,0.0358,0.0358,-3.83,58.9,0.03698,0.1037, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,112,0.0362,0.036,-3.92,53.6,0.1687,0.2933, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,112,0.0337,0.0337,0.93,47.3,0.7455,0.852, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.033,0.0334,0.09,50,0.5924,0.7073, ns
ETmax,Anomaly / 24m,C vs C+D,112,0.0335,0.0368,-0.72,54.5,0.2136,0.3487, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,112,0.0328,0.0361,-0.58,50.9,0.4774,0.616, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,112,0.0333,0.0337,2.1,44.6,0.9126,0.9607, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.0329,0.0338,0.43,48.2,0.5191,0.6592, ns
ETmax,Raw-lag / 12m,C vs C+D,112,0.0358,0.0358,-3.83,58.9,0.03698,0.1037, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,112,0.0303,0.0333,2.83,42,0.9312,0.9675, ns
ETmax,Raw-lag / 12m,C+T vs C+T+D,112,0.0337,0.0337,0.93,47.3,0.7455,0.852, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.0293,0.0323,0.25,49.1,0.8906,0.9607, ns
ETmax,Raw-lag / 24m,C vs C+D,112,0.0335,0.0368,-0.72,54.5,0.2136,0.3487, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,112,0.0286,0.0301,3.26,42,0.9747,0.9747, ns
ETmax,Raw-lag / 24m,C+T vs C+T+D,112,0.0333,0.0337,2.1,44.6,0.9126,0.9607, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.0296,0.0307,1.64,45.5,0.9635,0.9747, ns
GPPsat,Anomaly / 12m,C vs C+D,112,5.6663,5.1146,-13.44,67,0.0002304,0.001418,**
GPPsat,Anomaly / 12m,C+M vs C+M+D,112,5.7613,5.2804,-13.8,66.1,0.0001565,0.001418,**
GPPsat,Anomaly / 12m,C+T vs C+T+D,112,4.6999,4.8477,-7.9,62.5,0.0002181,0.001418,**
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,112,4.6853,4.6469,-8.45,64.3,4.107e-05,0.001418,**
GPPsat,Anomaly / 24m,C vs C+D,112,5.6378,5.3449,-9.11,63.4,0.0004232,0.001877,**
GPPsat,Anomaly / 24m,C+M vs C+M+D,112,5.7014,5.4642,-10.19,66.1,0.0002205,0.001418,**
GPPsat,Anomaly / 24m,C+T vs C+T+D,112,4.9236,5.1211,-7.42,63.4,0.0002181,0.001418,**
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,112,4.9745,4.8637,-5.94,63.4,9.833e-05,0.001418,**
GPPsat,Raw-lag / 12m,C vs C+D,112,5.6663,5.1146,-13.44,67,0.0002304,0.001418,**
GPPsat,Raw-lag / 12m,C+M vs C+M+D,112,4.3676,4.5209,-6.45,58.9,0.05468,0.1326, ns
