unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,-0.00097,51.4,0.1258,0.2231,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-0.512,67.6,0.03069,0.09866,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-0.43903,67.6,0.01182,0.04835,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.05004,56.8,0.1354,0.2256,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,-0.03023,51.4,0.1908,0.2769,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,37,2e-05,48.6,0.3254,0.3854,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,37,-0.8821,73,0.005393,0.04293,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,37,-0.82019,67.6,0.0224,0.08401,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,37,-0.05252,59.5,0.1289,0.2231,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,37,-0.03388,54.1,0.2345,0.3104,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,38,-0.00284,57.9,0.1201,0.2231,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,38,-0.53198,63.2,0.02599,0.08996,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,38,-0.54117,60.5,0.04352,0.1224,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,38,-0.03863,63.2,0.2958,0.3697,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,38,0.01354,44.7,0.5917,0.634,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,4e-04,45.9,0.3254,0.3854,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-0.89733,70.3,0.004732,0.04293,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-0.82019,73,0.001979,0.04293,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,-0.06759,56.8,0.1227,0.2231,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,-0.03022,51.4,0.212,0.2951,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,37,0.00012,48.6,0.06011,0.1352,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,37,-0.74563,70.3,0.01092,0.04835,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,37,-0.30011,62.2,0.05659,0.134,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,37,-0.07693,70.3,0.006678,0.04293,*
