response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,65,0.0398,0.0404,-1.23,53.8,0.3379,0.4661, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,65,0.0391,0.041,0.61,49.2,0.5955,0.7219, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,65,0.0366,0.0357,0.22,47.7,0.7496,0.8302, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.0352,0.0343,1.4,46.2,0.8233,0.8554, ns
ETmax,Anomaly / 24m,C vs C+D,65,0.0409,0.0434,4.2,46.2,0.7679,0.8302, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,65,0.0421,0.0428,-0.24,50.8,0.6926,0.8175, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,65,0.0368,0.0365,1.33,47.7,0.9055,0.9055, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.037,0.0363,-1.7,58.5,0.1603,0.3053, ns
ETmax,Raw-lag / 12m,C vs C+D,65,0.0398,0.0404,-1.23,53.8,0.3379,0.4661, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,65,0.0289,0.0275,-0.26,52.3,0.3919,0.5225, ns
ETmax,Raw-lag / 12m,C+T vs C+T+D,65,0.0366,0.0357,0.22,47.7,0.7496,0.8302, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.0275,0.027,0.42,47.7,0.3237,0.4624, ns
ETmax,Raw-lag / 24m,C vs C+D,65,0.0409,0.0434,4.2,46.2,0.7679,0.8302, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,65,0.0284,0.027,-0.44,55.4,0.2674,0.3961, ns
ETmax,Raw-lag / 24m,C+T vs C+T+D,65,0.0368,0.0365,1.33,47.7,0.9055,0.9055, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.0262,0.0262,1.31,47.7,0.8129,0.8554, ns
GPPsat,Anomaly / 12m,C vs C+D,65,5.2998,4.7212,-1.89,53.8,0.2484,0.3749, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,65,5.26,4.5434,-1.83,52.3,0.2126,0.3544, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,65,5.0144,4.9654,-3.7,53.8,0.03036,0.1515, ns
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,65,5.2288,4.9468,-2.68,60,0.02818,0.1515, ns
GPPsat,Anomaly / 24m,C vs C+D,65,4.8448,4.7971,-5.58,53.8,0.1305,0.2957, ns
GPPsat,Anomaly / 24m,C+M vs C+M+D,65,4.6529,4.4638,-7.13,61.5,0.2108,0.3544, ns
GPPsat,Anomaly / 24m,C+T vs C+T+D,65,5.2223,4.8989,-1.2,55.4,0.1509,0.3018, ns
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,65,4.8159,4.8187,-4.78,66.2,0.01915,0.1515, ns
GPPsat,Raw-lag / 12m,C vs C+D,65,5.2998,4.7212,-1.89,53.8,0.2484,0.3749, ns
GPPsat,Raw-lag / 12m,C+M vs C+M+D,65,3.6079,3.8123,2.31,41.5,0.8681,0.8904, ns
GPPsat,Raw-lag / 12m,C+T vs C+T+D,65,5.0144,4.9654,-3.7,53.8,0.03036,0.1515, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.9061,3.9926,-0.98,50.8,0.367,0.4976, ns
GPPsat,Raw-lag / 24m,C vs C+D,65,4.8448,4.7971,-5.58,53.8,0.1305,0.2957, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,65,3.6812,3.7349,1.25,44.6,0.593,0.7219, ns
GPPsat,Raw-lag / 24m,C+T vs C+T+D,65,5.2223,4.8989,-1.2,55.4,0.1509,0.3018, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.8346,3.7464,-2.63,61.5,0.06726,0.2562, ns
NEPmax,Anomaly / 12m,C vs C+D,65,4.4549,4.2815,-8.4,61.5,0.0322,0.1515, ns
NEPmax,Anomaly / 12m,C+M vs C+M+D,65,4.6946,4.3739,-7.88,63.1,0.05689,0.2275, ns
NEPmax,Anomaly / 12m,C+T vs C+T+D,65,4.8214,4.6751,-4.96,61.5,0.02776,0.1515, ns
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,4.8274,4.6845,-5.67,61.5,0.00439,0.1515, ns
NEPmax,Anomaly / 24m,C vs C+D,65,4.6483,4.1351,-6.16,61.5,0.02422,0.1515, ns
NEPmax,Anomaly / 24m,C+M vs C+M+D,65,4.4636,4.104,-9.17,64.6,0.02139,0.1515, ns
NEPmax,Anomaly / 24m,C+T vs C+T+D,65,4.7691,4.1908,-5.12,56.9,0.02818,0.1515, ns
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,4.5832,4.22,-3.2,58.5,0.1048,0.2957, ns
NEPmax,Raw-lag / 12m,C vs C+D,65,4.4549,4.2815,-8.4,61.5,0.0322,0.1515, ns
NEPmax,Raw-lag / 12m,C+M vs C+M+D,65,3.3104,3.2746,0,50.8,0.7854,0.8378, ns
NEPmax,Raw-lag / 12m,C+T vs C+T+D,65,4.8214,4.6751,-4.96,61.5,0.02776,0.1515, ns
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.0441,2.7049,-0.87,53.8,0.1159,0.2957, ns
NEPmax,Raw-lag / 24m,C vs C+D,65,4.6483,4.1351,-6.16,61.5,0.02422,0.1515, ns
NEPmax,Raw-lag / 24m,C+M vs C+M+D,65,3.6661,3.2916,-1.34,56.9,0.1924,0.342, ns
NEPmax,Raw-lag / 24m,C+T vs C+T+D,65,4.7691,4.1908,-5.12,56.9,0.02818,0.1515, ns
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.1406,2.9184,-3.28,60,0.03994,0.1775, ns
WUE,Anomaly / 12m,C vs C+D,65,0.701,0.6895,-2.63,56.9,0.139,0.2957, ns
WUE,Anomaly / 12m,C+M vs C+M+D,65,0.6824,0.6892,-0.11,50.8,0.1556,0.3035, ns
WUE,Anomaly / 12m,C+T vs C+T+D,65,0.7128,0.7072,-0.87,52.3,0.1211,0.2957, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.6614,0.7179,-3.1,60,0.08296,0.2957, ns
WUE,Anomaly / 24m,C vs C+D,65,0.6927,0.6773,-1.58,55.4,0.1048,0.2957, ns
WUE,Anomaly / 24m,C+M vs C+M+D,65,0.6692,0.6703,-2.35,60,0.04717,0.1986, ns
WUE,Anomaly / 24m,C+T vs C+T+D,65,0.7127,0.6997,-1.01,50.8,0.1224,0.2957, ns
WUE,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.6794,0.6526,-0.79,55.4,0.207,0.3544, ns
WUE,Raw-lag / 12m,C vs C+D,65,0.701,0.6895,-2.63,56.9,0.139,0.2957, ns
WUE,Raw-lag / 12m,C+M vs C+M+D,65,0.55,0.5059,-2.81,60,0.1319,0.2957, ns
WUE,Raw-lag / 12m,C+T vs C+T+D,65,0.7128,0.7072,-0.87,52.3,0.1211,0.2957, ns
WUE,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.5301,0.5162,-2.11,60,0.09125,0.2957, ns
WUE,Raw-lag / 24m,C vs C+D,65,0.6927,0.6773,-1.58,55.4,0.1048,0.2957, ns
WUE,Raw-lag / 24m,C+M vs C+M+D,65,0.496,0.5057,-3.34,64.6,0.086,0.2957, ns
WUE,Raw-lag / 24m,C+T vs C+T+D,65,0.7127,0.6997,-1.01,50.8,0.1224,0.2957, ns
WUE,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.4979,0.5173,-0.99,56.9,0.2442,0.3749, ns
uWUE,Anomaly / 12m,C vs C+D,65,0.5882,0.6317,-1.72,55.4,0.2463,0.3749, ns
uWUE,Anomaly / 12m,C+M vs C+M+D,65,0.6228,0.6277,-2.85,56.9,0.1405,0.2957, ns
uWUE,Anomaly / 12m,C+T vs C+T+D,65,0.5967,0.5987,-1.26,52.3,0.17,0.3091, ns
uWUE,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.5576,0.5995,-0.09,53.8,0.2782,0.4047, ns
uWUE,Anomaly / 24m,C vs C+D,65,0.5931,0.6277,1.2,46.2,0.5156,0.6548, ns
uWUE,Anomaly / 24m,C+M vs C+M+D,65,0.5929,0.6562,0.01,49.2,0.5156,0.6548, ns
uWUE,Anomaly / 24m,C+T vs C+T+D,65,0.5783,0.6095,-3.26,64.6,0.01337,0.1515, ns
uWUE,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.6047,0.6342,-2.54,63.1,0.01712,0.1515, ns
uWUE,Raw-lag / 12m,C vs C+D,65,0.5882,0.6317,-1.72,55.4,0.2463,0.3749, ns
uWUE,Raw-lag / 12m,C+M vs C+M+D,65,0.4693,0.477,0.76,44.6,0.7174,0.8302, ns
uWUE,Raw-lag / 12m,C+T vs C+T+D,65,0.5967,0.5987,-1.26,52.3,0.17,0.3091, ns
uWUE,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.5132,0.5118,2.42,44.6,0.5803,0.7219, ns
uWUE,Raw-lag / 24m,C vs C+D,65,0.5931,0.6277,1.2,46.2,0.5156,0.6548, ns
uWUE,Raw-lag / 24m,C+M vs C+M+D,65,0.4472,0.4483,0.92,46.2,0.7454,0.8302, ns
uWUE,Raw-lag / 24m,C+T vs C+T+D,65,0.5783,0.6095,-3.26,64.6,0.01337,0.1515, ns
uWUE,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.4728,0.4844,0.41,47.7,0.6949,0.8175, ns
