unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,-0.00177,54.5,0.2687,0.5744,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.41148,59.1,0.2375,0.5744,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-0.7106,68.2,0.02571,0.5744,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,0.00315,50,0.5388,0.5914,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,-0.01757,54.5,0.5388,0.5914,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,21,-0.00137,61.9,0.4174,0.5744,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,21,-0.15803,57.1,0.4723,0.5744,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,21,-0.53045,57.1,0.5139,0.5914,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,21,-0.01432,57.1,0.212,0.5744,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,21,-0.00463,52.4,0.3383,0.5744,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,22,0.00156,45.5,0.6516,0.6819,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,22,0.07065,45.5,0.4612,0.5744,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,22,-0.73867,59.1,0.08635,0.5744,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,22,-0.03837,63.6,0.07658,0.5744,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,22,-0.01369,59.1,0.2375,0.5744,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,-0.0032,63.6,0.1348,0.5744,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.33538,54.5,0.3131,0.5744,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-0.55377,63.6,0.1212,0.5744,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,0.00315,50,0.4483,0.5744,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,-0.01757,54.5,0.3484,0.5744,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,21,0.00173,42.9,0.7979,0.816,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,21,0.28817,47.6,0.8169,0.8169,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,21,-0.53045,57.1,0.5,0.5914,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,21,-0.04209,61.9,0.133,0.5744,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,21,-0.0133,57.1,0.3257,0.5744,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low,22,-0.00014,54.5,0.4355,0.5744,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low,22,-0.53187,59.1,0.05583,0.5744,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low,22,-0.83931,63.6,0.02041,0.5744,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low,22,-0.02042,59.1,0.2375,0.5744,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low,22,-0.00895,54.5,0.3484,0.5744,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,22,-0.00188,59.1,0.2179,0.5744,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,22,-0.50623,54.5,0.3017,0.5744,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,22,-0.7106,68.2,0.09158,0.5744,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,22,0.00315,50,0.3851,0.5744,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,22,-0.01757,54.5,0.3017,0.5744,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Mid,21,-0.00015,57.1,0.6095,0.6531,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Mid,21,-0.15236,57.1,0.4447,0.5744,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Mid,21,-0.67949,61.9,0.1406,0.5744,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Mid,21,-0.04209,61.9,0.08222,0.5744,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Mid,21,-0.00463,52.4,0.4039,0.5744,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low,22,0.00156,45.5,0.4355,0.5744,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low,22,0.02481,50,0.2687,0.5744,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low,22,-0.60756,54.5,0.2276,0.5744,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low,22,-0.02042,59.1,0.4101,0.5744,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low,22,-0.01369,59.1,0.2795,0.5744,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Mid,21,-0.00401,61.9,0.07707,0.4772,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Mid,21,-0.49406,66.7,0.06751,0.4772,ns
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Mid,21,-0.97248,76.2,0.003353,0.1341,ns
