unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,0.00103,45.2,0.8436,0.9038,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,-0.07478,51.6,0.1384,0.1805,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-0.56865,61.3,0.02229,0.04776,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,-0.09225,61.3,0.09965,0.1495,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.04877,64.5,0.05089,0.08035,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,62,0.00023,48.4,0.7291,0.8101,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,62,-0.36226,62.9,0.01177,0.0321,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,62,-0.67472,67.7,0.004192,0.02967,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,62,-0.05279,62.9,0.007066,0.02967,*
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,62,-0.05244,62.9,0.004192,0.02967,*
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,0.00189,41.9,0.9531,0.9833,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.2377,61.3,0.0432,0.07505,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-0.56865,64.5,0.008633,0.02967,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,-0.02142,58.1,0.1141,0.163,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.10381,74.2,0.02679,0.05357,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,62,5e-05,50,0.5307,0.6124,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,62,-0.36226,58.1,0.0369,0.06919,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,62,-0.62823,66.1,0.0089,0.02967,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,62,-0.07634,64.5,0.006406,0.02967,*
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,62,-0.03653,58.1,0.01156,0.0321,*
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,31,0.00277,35.5,0.9833,0.9833,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,31,-0.07478,54.8,0.1384,0.1805,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,31,-0.56865,61.3,0.02029,0.04682,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,31,-0.00994,54.8,0.1612,0.2015,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,31,-0.04877,67.7,0.04503,0.07505,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,62,-0.00016,53.2,0.4222,0.5066,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,62,-0.50745,61.3,0.01361,0.03401,*
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,62,-0.62823,67.7,0.005802,0.02967,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,62,-0.09189,66.1,0.003624,0.02967,*
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,62,-0.05244,61.3,0.004552,0.02967,*
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,88,0.00023,48.9,0.7385,0.8118,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,88,-0.36226,61.4,0.004406,0.009364,**
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,88,-0.6819,68.2,0.0003105,0.004004,**
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low+Mid,88,-0.07153,63.6,0.001201,0.004004,**
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low+Mid,88,-0.05471,63.6,0.0007997,0.004004,**
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,5,0.00736,20,,,""
