unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,-2e-05,51.4,0.1787,0.1986,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-0.80601,73,0.005393,0.01348,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-1.29913,62.2,0.002883,0.008649,**
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.05715,62.2,0.08969,0.117,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,0.00788,45.9,0.44,0.44,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,75,-0.00274,56,0.02882,0.06177,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,75,-1.15095,74.7,5.141e-05,0.001135,**
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,75,-1.04857,68,0.0006808,0.0048,**
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,75,-0.04446,58.7,0.06449,0.1072,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,75,-0.02079,56,0.05278,0.09826,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,-0.00274,59.5,0.08258,0.1126,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-0.93741,73,0.002883,0.008649,**
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-1.14574,64.9,0.001408,0.006035,**
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,-0.03375,51.4,0.08258,0.1126,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,0.00788,45.9,0.2884,0.2983,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,75,-0.00043,52,0.05278,0.09826,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,75,-1.03013,74.7,0.0001304,0.001304,**
