unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,-0.00336,62.2,0.05005,0.07902,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-1.05589,62.2,0.04138,0.07758,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-1.09731,67.6,0.001979,0.006597,**
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.083,59.5,0.1321,0.1802,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,-0.0202,54.1,0.2164,0.2552,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,75,-0.00239,60,0.02198,0.04709,*
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,75,-1.13551,69.3,5.729e-05,0.001152,**
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,75,-1.07658,66.7,0.0003394,0.002432,**
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,75,-0.04785,58.7,0.09035,0.1291,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,75,-0.01521,56,0.2211,0.2552,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,-0.00431,62.2,0.06193,0.09289,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-1.3982,62.2,0.01734,0.04001,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-1.25878,70.3,0.0005902,0.002951,**
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,-0.01574,54.1,0.2832,0.293,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,-0.02006,51.4,0.2781,0.293,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,75,-0.00239,60,0.01529,0.04001,*
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,75,-1.10176,69.3,0.0001152,0.001152,**
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,75,-0.95261,65.3,0.0008468,0.003629,**
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,75,-0.09192,61.3,0.04892,0.07902,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,75,-0.01733,57.3,0.2013,0.2516,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,37,-0.00431,62.2,0.04851,0.07902,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,37,-1.49972,64.9,0.01182,0.03546,*
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,37,-1.51605,70.3,0.0004053,0.002432,**
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,37,0.0091,48.6,0.393,0.393,ns
