unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,-0.00072,51.6,0.2312,0.289,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,-0.20537,54.8,0.2194,0.289,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-0.90581,71,0.02335,0.09551,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,0.02596,48.4,0.3156,0.3737,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.07186,58.1,0.05963,0.1395,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,31,-0.00227,67.7,0.06198,0.1395,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,31,-0.5696,64.5,0.02679,0.1005,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,31,-0.8282,61.3,0.05734,0.1395,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,31,-0.03811,61.3,0.1258,0.1952,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,31,-0.0382,54.8,0.2558,0.3111,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,31,-0.0016,51.6,0.4416,0.4731,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,31,-0.93454,64.5,0.01242,0.09551,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,31,-1.02899,67.7,0.004708,0.09551,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,31,-0.03876,58.1,0.05963,0.1395,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,31,0.02678,48.4,0.1218,0.1952,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,-0.00043,51.6,0.3957,0.4343,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.43361,61.3,0.1067,0.1846,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-0.91211,67.7,0.01844,0.09551,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,0.03163,45.2,0.5892,0.5892,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.06505,58.1,0.09626,0.1794,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,31,-0.00299,61.3,0.07488,0.1532,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,31,-0.31559,58.1,0.09965,0.1794,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,31,-0.89587,64.5,0.04887,0.1395,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,31,-0.13933,67.7,0.01307,0.09551,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,31,-0.03889,51.6,0.1612,0.2267,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low,31,-0.00392,58.1,0.3807,0.4282,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low,31,-0.93823,64.5,0.01011,0.09551,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low,31,-0.72071,67.7,0.004447,0.09551,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low,31,-0.02751,54.8,0.2253,0.289,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low,31,-0.01159,51.6,0.1518,0.2267,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,31,0.00057,48.4,0.4883,0.511,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,31,-0.59702,58.1,0.1218,0.1952,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,31,-1.14966,64.5,0.01844,0.09551,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,31,0.04775,41.9,0.5584,0.5711,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,31,-0.06505,54.8,0.1709,0.2331,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Mid,31,-0.0035,67.7,0.06198,0.1395,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Mid,31,-0.31559,64.5,0.03494,0.1123,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Mid,31,-0.89587,71,0.009596,0.09551,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Mid,31,-0.06519,64.5,0.01935,0.09551,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Mid,31,-0.03889,51.6,0.1612,0.2267,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low,31,-0.00185,54.8,0.3585,0.4136,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low,31,-0.93823,61.3,0.02931,0.1014,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low,31,-0.72071,64.5,0.02229,0.09551,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low,31,-0.04314,61.3,0.09965,0.1794,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low,31,-0.0382,54.8,0.07488,0.1532,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Mid,35,-0.0015,57.1,0.2041,0.2857,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Mid,35,-0.20537,57.1,0.275,0.3437,ns
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Mid,35,-0.79645,62.9,0.1112,0.2289,ns
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Mid,35,-0.01489,54.3,0.2281,0.307,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Mid,35,-0.042,54.3,0.1208,0.2348,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low,53,-0.00215,58.5,0.144,0.2387,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low,53,-1.04022,67.9,0.0004227,0.007397,**
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low,53,-1.07229,69.8,0.0002687,0.007397,**
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low,53,-0.04314,60.4,0.01718,0.06681,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low,53,-0.03855,54.7,0.05652,0.133,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,5,0.00107,40,,,""
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,5,0.185,20,,,""
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,5,-0.54637,60,,,""
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,5,0.14373,20,,,""
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,5,0.01339,40,,,""
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Mid,33,-0.00156,57.6,0.1629,0.2478,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Mid,33,-0.5696,66.7,0.15,0.2387,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Mid,33,-0.90581,63.6,0.03286,0.09583,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,Mid,33,0.03838,45.5,0.666,0.6856,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,Mid,33,-0.042,54.5,0.4082,0.4762,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Low,53,-0.0035,58.5,0.1786,0.2605,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Low,53,-0.52831,60.4,0.004624,0.02698,*
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Low,53,-0.8282,67.9,0.002243,0.02513,*
M1vsM2_12m,equal_width,Relative Mortality,WUE,Low,53,-0.07282,64.2,0.004506,0.02698,*
M1vsM2_12m,equal_width,Relative Mortality,uWUE,Low,53,-0.0382,52.8,0.03278,0.09583,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,High,7,0.00107,42.9,0.7229,0.7229,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,High,7,0.04625,42.9,0.3363,0.4059,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,High,7,-0.91211,71.4,0.07539,0.1649,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,High,7,0.03163,42.9,0.4663,0.51,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,High,7,-0.17178,57.1,0.1359,0.2387,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,Mid,35,-0.00156,54.3,0.138,0.2387,ns
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,Mid,35,-0.5696,62.9,0.05699,0.133,ns
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,Mid,35,-0.90581,60,0.04055,0.1092,ns
M1vsM2_12m,equal_width,Relative Disturbance,WUE,Mid,35,0.02596,45.7,0.5939,0.6299,ns
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,Mid,35,-0.01858,51.4,0.4253,0.4802,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,Low,53,-0.00299,58.5,0.2619,0.3395,ns
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,Low,53,-0.37632,60.4,0.01255,0.05492,ns
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,Low,53,-0.8282,67.9,0.002872,0.02513,*
M1vsM2_12m,equal_width,Relative Disturbance,WUE,Low,53,-0.04534,62.3,0.01172,0.05492,ns
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,Low,53,-0.03855,54.7,0.02736,0.09577,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,High,5,-0.00072,60,,,""
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,High,5,-2.21628,60,,,""
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,High,5,-3.28899,100,,,""
M1vsM2_12m,equal_width,Relative Disturbance,WUE,High,5,-0.07668,60,,,""
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,High,5,-0.17178,60,,,""
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,High,20,0.00017,50,0.3897,0.4613,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,High,20,-0.07956,50,0.269,0.3458,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,NEPmax,High,20,-0.85113,65,0.1125,0.1746,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,WUE,High,20,0.05564,35,0.6929,0.6929,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,uWUE,High,20,-0.0026,50,0.1802,0.2386,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,Mid,43,-0.00215,65.1,0.0319,0.105,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,Mid,43,-0.5696,65.1,0.02094,0.105,ns
