response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,65,0.0364,0.0396,0,50.8,0.3331,0.5008, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,65,0.0365,0.0401,-0.06,50.8,0.4045,0.5056, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,65,0.0372,0.0362,1.37,44.6,0.7305,0.7589, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.0362,0.0356,0.7,44.6,0.6692,0.7235, ns
ETmax,Anomaly / 24m,C vs C+D,65,0.0374,0.0407,-0.66,53.8,0.2184,0.4261, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,65,0.0376,0.0411,-1.18,53.8,0.2463,0.4691, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,65,0.0373,0.0379,-0.15,50.8,0.5905,0.6617, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.0382,0.0372,0.82,44.6,0.593,0.6617, ns
ETmax,Raw-lag / 12m,C vs C+D,65,0.0364,0.0396,0,50.8,0.3331,0.5008, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,65,0.027,0.0276,0.1,49.2,0.5313,0.6343, ns
ETmax,Raw-lag / 12m,C+T vs C+T+D,65,0.0372,0.0362,1.37,44.6,0.7305,0.7589, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.0265,0.0265,-0.49,53.8,0.3572,0.5008, ns
ETmax,Raw-lag / 24m,C vs C+D,65,0.0374,0.0407,-0.66,53.8,0.2184,0.4261, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,65,0.0262,0.027,0.05,49.2,0.5777,0.6617, ns
ETmax,Raw-lag / 24m,C+T vs C+T+D,65,0.0373,0.0379,-0.15,50.8,0.5905,0.6617, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.0263,0.0262,-0.35,53.8,0.4896,0.5934, ns
GPPsat,Anomaly / 12m,C vs C+D,65,4.731,4.6364,-3.76,52.3,0.1818,0.3932, ns
