unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,-0.00029,51.6,0.5892,0.6466,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,0.00507,48.4,0.3018,0.367,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-0.19195,51.6,0.1341,0.2235,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,-0.00022,51.6,0.1472,0.2355,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.03126,61.3,0.1067,0.2087,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,31,0.00072,38.7,0.7567,0.7919,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,31,-0.84573,74.2,0.005274,0.2087,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,31,-0.80619,64.5,0.01674,0.2087,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,31,-0.04077,54.8,0.2816,0.352,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,31,-0.00018,51.6,0.4339,0.4881,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,31,-0.00229,61.3,0.197,0.2761,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,31,-0.60687,58.1,0.1067,0.2087,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,31,-0.56063,58.1,0.05963,0.2087,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,31,-0.03844,58.1,0.0695,0.2087,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,31,-0.03805,67.7,0.08355,0.2087,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,0.00041,45.2,0.9194,0.9403,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.74765,67.7,0.0256,0.2087,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-0.62244,54.8,0.0432,0.2087,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,-0.00022,51.6,0.1916,0.2761,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.05012,61.3,0.1218,0.2108,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,31,-0.00088,51.6,0.1179,0.2108,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,31,-0.44248,51.6,0.2025,0.2761,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,31,-0.19195,58.1,0.08058,0.2087,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,31,-0.03844,54.8,0.1067,0.2087,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,31,-0.01252,54.8,0.2433,0.3128,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low,31,-0.00093,54.8,0.3881,0.4596,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low,31,-0.64542,61.3,0.06198,0.2087,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low,31,-0.95485,61.3,0.04143,0.2087,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low,31,-0.05314,58.1,0.1518,0.2355,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low,31,-0.0137,64.5,0.1031,0.2087,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,31,0.00105,38.7,0.9568,0.9568,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,31,-0.59129,61.3,0.06441,0.2087,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,31,-0.62244,58.1,0.05963,0.2087,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,31,0.00892,45.2,0.4032,0.4653,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,31,-0.00918,54.8,0.2253,0.2982,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Mid,31,-0.00227,67.7,0.02229,0.2087,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Mid,31,-0.639,58.1,0.05963,0.2087,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Mid,31,-0.19195,54.8,0.03494,0.2087,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Mid,31,-0.06924,58.1,0.04503,0.2087,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Mid,31,-0.03126,61.3,0.2025,0.2761,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low,31,0.00154,45.2,0.6043,0.6475,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low,31,-0.64542,61.3,0.1218,0.2108,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low,31,-1.34883,61.3,0.1067,0.2087,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low,31,-0.07308,61.3,0.09626,0.2087,ns
