unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,-0.00029,51.6,0.5892,0.6312,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,0.00507,48.4,0.3018,0.3621,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-0.19195,51.6,0.1341,0.1916,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,-0.00022,51.6,0.1472,0.2008,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.03126,61.3,0.1067,0.1916,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,62,-0.00019,50,0.3143,0.3626,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,62,-0.69296,66.1,0.003701,0.08361,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,62,-0.73193,61.3,0.005574,0.08361,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,62,-0.03961,56.5,0.07433,0.1593,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,62,-0.01658,59.7,0.1237,0.1916,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,0.00041,45.2,0.9194,0.9511,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.74765,67.7,0.0256,0.1097,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-0.62244,54.8,0.0432,0.1486,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,-0.00022,51.6,0.1916,0.2499,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.05012,61.3,0.1218,0.1916,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,62,-9e-04,53.2,0.1295,0.1916,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,62,-0.62294,56.5,0.0469,0.1486,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,62,-0.55385,59.7,0.01461,0.1096,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,62,-0.04579,56.5,0.06234,0.1486,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,62,-0.01327,59.7,0.09731,0.1916,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,31,0.00105,38.7,0.9568,0.9568,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,31,-0.59129,61.3,0.06441,0.1486,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,31,-0.62244,58.1,0.05963,0.1486,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,31,0.00892,45.2,0.4032,0.448,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,31,-0.00918,54.8,0.2253,0.2816,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,62,-0.00101,56.5,0.1237,0.1916,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,62,-0.64221,59.7,0.02247,0.1097,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,62,-0.55385,58.1,0.01361,0.1096,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,62,-0.07116,59.7,0.02066,0.1097,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,62,-0.02398,62.9,0.05266,0.1486,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,88,-0.00036,51.1,0.3548,0.4004,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,88,-0.64806,62.5,0.002378,0.02378,*
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,88,-0.62355,60.2,0.001475,0.02378,*
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low+Mid,88,-0.03961,56.8,0.02441,0.06974,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low+Mid,88,-0.02398,61.4,0.03101,0.07753,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,5,0.00105,40,,,""
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,5,0.90637,20,,,""
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,5,1.0308,20,,,""
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,5,0.03714,20,,,""
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,5,0.05357,40,,,""
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Low+Mid,86,-0.00017,50,0.3604,0.4004,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Low+Mid,86,-0.64221,61.6,0.005075,0.02379,*
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Low+Mid,86,-0.59154,59.3,0.003605,0.02379,*
M1vsM2_12m,equal_width,Relative Mortality,WUE,Low+Mid,86,-0.03703,55.8,0.0453,0.1007,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,Low+Mid,86,-0.01658,60.5,0.06159,0.1215,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,High,7,-0.00029,57.1,0.6637,0.6637,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,High,7,0.81389,42.9,0.3363,0.4004,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,High,7,0.01199,42.9,0.2771,0.3958,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,High,7,0.00513,42.9,0.3363,0.4004,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,High,7,-0.12674,57.1,0.2771,0.3958,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,Low+Mid,88,-0.00017,50,0.4006,0.4217,ns
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,Low+Mid,88,-0.62294,60.2,0.009209,0.0307,*
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,Low+Mid,88,-0.55385,58,0.005948,0.02379,*
M1vsM2_12m,equal_width,Relative Disturbance,WUE,Low+Mid,88,-0.03277,54.5,0.06681,0.1215,ns
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,Low+Mid,88,-0.01658,60.2,0.07352,0.1225,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,High,5,-0.00029,60,,,""
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,High,5,-1.13941,60,,,""
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,High,5,-2.53704,60,,,""
M1vsM2_12m,equal_width,Relative Disturbance,WUE,High,5,-0.20772,60,,,""
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,High,5,-0.1341,60,,,""
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,High,20,6e-05,50,0.7186,0.7699,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,High,20,-0.03102,50,0.2568,0.3501,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,NEPmax,High,20,0.21008,40,0.4041,0.4663,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,WUE,High,20,0.04721,40,0.5074,0.5638,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,uWUE,High,20,-0.00874,55,0.2111,0.3016,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,Low+Mid,73,-0.00051,50.7,0.3007,0.3759,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,Low+Mid,73,-0.65069,63,0.007437,0.05682,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,NEPmax,Low+Mid,73,-0.65768,63,0.001664,0.04992,*
M1vsM2_12m,natural_breaks,Absolute Mortality,WUE,Low+Mid,73,-0.06924,58.9,0.02786,0.1194,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,uWUE,Low+Mid,73,-0.0285,61.6,0.07411,0.187,ns
M1vsM2_12m,natural_breaks,Relative Mortality,ETmax,High,26,0.00093,38.5,0.9732,0.9732,ns
M1vsM2_12m,natural_breaks,Relative Mortality,GPPsat,High,26,-0.56947,61.5,0.08122,0.187,ns
M1vsM2_12m,natural_breaks,Relative Mortality,NEPmax,High,26,-0.46078,53.8,0.08511,0.187,ns
M1vsM2_12m,natural_breaks,Relative Mortality,WUE,High,26,0.00702,46.2,0.3422,0.4107,ns
M1vsM2_12m,natural_breaks,Relative Mortality,uWUE,High,26,-0.02965,57.7,0.1672,0.2641,ns
M1vsM2_12m,natural_breaks,Relative Mortality,ETmax,Low+Mid,67,-0.00093,55.2,0.1146,0.2292,ns
M1vsM2_12m,natural_breaks,Relative Mortality,GPPsat,Low+Mid,67,-0.64542,59.7,0.01805,0.09026,ns
M1vsM2_12m,natural_breaks,Relative Mortality,NEPmax,Low+Mid,67,-0.56063,59.7,0.00934,0.05682,ns
M1vsM2_12m,natural_breaks,Relative Mortality,WUE,Low+Mid,67,-0.06924,58.2,0.0432,0.144,ns
M1vsM2_12m,natural_breaks,Relative Mortality,uWUE,Low+Mid,67,-0.01947,61.2,0.07855,0.187,ns
M1vsM2_12m,natural_breaks,Relative Disturbance,ETmax,Low+Mid,70,-0.00087,54.3,0.1571,0.2641,ns
M1vsM2_12m,natural_breaks,Relative Disturbance,GPPsat,Low+Mid,70,-0.64806,61.4,0.00947,0.05682,ns
M1vsM2_12m,natural_breaks,Relative Disturbance,NEPmax,Low+Mid,70,-0.59265,60,0.006653,0.05682,ns
M1vsM2_12m,natural_breaks,Relative Disturbance,WUE,Low+Mid,70,-0.04579,57.1,0.04161,0.144,ns
M1vsM2_12m,natural_breaks,Relative Disturbance,uWUE,Low+Mid,70,-0.02398,61.4,0.08728,0.187,ns
M1vsM2_12m,natural_breaks,Relative Disturbance,ETmax,High,23,8e-04,39.1,0.9414,0.9732,ns
M1vsM2_12m,natural_breaks,Relative Disturbance,GPPsat,High,23,-0.54765,56.5,0.1768,0.2652,ns
M1vsM2_12m,natural_breaks,Relative Disturbance,NEPmax,High,23,-0.29911,52.2,0.127,0.2382,ns
M1vsM2_12m,natural_breaks,Relative Disturbance,WUE,High,23,0.00513,47.8,0.2766,0.3607,ns
M1vsM2_12m,natural_breaks,Relative Disturbance,uWUE,High,23,-0.00918,56.5,0.1615,0.2641,ns
M1vsM2_24m,tertiles,Absolute Mortality,ETmax,High,31,-0.00076,64.5,0.3018,0.3858,ns
M1vsM2_24m,tertiles,Absolute Mortality,GPPsat,High,31,-0.08498,54.8,0.2194,0.3465,ns
M1vsM2_24m,tertiles,Absolute Mortality,NEPmax,High,31,-0.54217,58.1,0.05963,0.1626,ns
M1vsM2_24m,tertiles,Absolute Mortality,WUE,High,31,-0.01644,51.6,0.1709,0.3205,ns
M1vsM2_24m,tertiles,Absolute Mortality,uWUE,High,31,-0.03378,61.3,0.1299,0.2784,ns
M1vsM2_24m,tertiles,Absolute Mortality,ETmax,Low+Mid,62,7e-05,48.4,0.5942,0.6366,ns
M1vsM2_24m,tertiles,Absolute Mortality,GPPsat,Low+Mid,62,-0.35599,67.7,0.00446,0.08195,ns
M1vsM2_24m,tertiles,Absolute Mortality,NEPmax,Low+Mid,62,-0.63763,62.9,0.005464,0.08195,ns
M1vsM2_24m,tertiles,Absolute Mortality,WUE,Low+Mid,62,-0.03449,59.7,0.1942,0.3283,ns
M1vsM2_24m,tertiles,Absolute Mortality,uWUE,Low+Mid,62,-0.0138,58.1,0.2686,0.3838,ns
M1vsM2_24m,tertiles,Relative Mortality,ETmax,High,31,-2e-04,51.6,0.792,0.8193,ns
M1vsM2_24m,tertiles,Relative Mortality,GPPsat,High,31,-0.38756,67.7,0.02229,0.1149,ns
M1vsM2_24m,tertiles,Relative Mortality,NEPmax,High,31,-0.54217,61.3,0.03064,0.1149,ns
M1vsM2_24m,tertiles,Relative Mortality,WUE,High,31,-0.00234,51.6,0.3585,0.4136,ns
M1vsM2_24m,tertiles,Relative Mortality,uWUE,High,31,-0.0406,61.3,0.197,0.3283,ns
M1vsM2_24m,tertiles,Relative Mortality,ETmax,Low+Mid,62,-0.00082,54.8,0.3344,0.4013,ns
M1vsM2_24m,tertiles,Relative Mortality,GPPsat,Low+Mid,62,-0.18955,61.3,0.04488,0.1346,ns
M1vsM2_24m,tertiles,Relative Mortality,NEPmax,Low+Mid,62,-0.65353,61.3,0.01015,0.08509,ns
M1vsM2_24m,tertiles,Relative Mortality,WUE,Low+Mid,62,-0.04681,59.7,0.1194,0.2756,ns
M1vsM2_24m,tertiles,Relative Mortality,uWUE,Low+Mid,62,-0.01167,58.1,0.2373,0.3559,ns
M1vsM2_24m,tertiles,Relative Disturbance,ETmax,High,31,0.00079,45.2,0.8897,0.8897,ns
M1vsM2_24m,tertiles,Relative Disturbance,GPPsat,High,31,-0.38756,64.5,0.0432,0.1346,ns
M1vsM2_24m,tertiles,Relative Disturbance,NEPmax,High,31,-0.56568,61.3,0.03064,0.1149,ns
