response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,93,0.0344,0.0383,-0.46,54.8,0.2789,0.3598, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,93,0.0343,0.0378,-0.47,52.7,0.2018,0.2883, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,93,0.0351,0.0368,1.29,45.2,0.7288,0.7572, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.035,0.0371,0.06,49.5,0.6101,0.6973, ns
ETmax,Anomaly / 24m,C vs C+D,93,0.0336,0.038,-1.16,57,0.186,0.2755, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,93,0.0339,0.0375,-0.67,54.8,0.231,0.3186, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,93,0.035,0.0373,0.61,47.3,0.6449,0.7068, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.0356,0.0368,0.7,45.2,0.7224,0.7572, ns
ETmax,Raw-lag / 12m,C vs C+D,93,0.0344,0.0383,-0.46,54.8,0.2789,0.3598, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,93,0.0259,0.0254,1.06,43,0.854,0.854, ns
ETmax,Raw-lag / 12m,C+T vs C+T+D,93,0.0351,0.0368,1.29,45.2,0.7288,0.7572, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.0252,0.0254,0.78,43,0.8271,0.8375, ns
ETmax,Raw-lag / 24m,C vs C+D,93,0.0336,0.038,-1.16,57,0.186,0.2755, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,93,0.0264,0.0262,0.82,45.2,0.6335,0.7068, ns
ETmax,Raw-lag / 24m,C+T vs C+T+D,93,0.035,0.0373,0.61,47.3,0.6449,0.7068, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.0262,0.026,0.53,46.2,0.7817,0.8017, ns
GPPsat,Anomaly / 12m,C vs C+D,93,5.9671,5.6041,-2.48,58.1,0.01927,0.06097, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,93,6.0524,5.6553,-5.81,60.2,0.01213,0.05583, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,93,5.7653,5.243,-3.68,58.1,0.004146,0.03685,*
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,93,5.8535,5.338,-3.47,58.1,0.006174,0.03846,*
GPPsat,Anomaly / 24m,C vs C+D,93,5.7765,5.7675,-6.66,59.1,0.01326,0.05583, ns
GPPsat,Anomaly / 24m,C+M vs C+M+D,93,5.7623,5.6713,-7.25,58.1,0.01142,0.05583, ns
GPPsat,Anomaly / 24m,C+T vs C+T+D,93,5.5387,5.3928,-3.26,54.8,0.006516,0.03846,*
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,93,5.6707,5.4856,-3.38,59.1,0.002867,0.03277,*
GPPsat,Raw-lag / 12m,C vs C+D,93,5.9671,5.6041,-2.48,58.1,0.01927,0.06097, ns
GPPsat,Raw-lag / 12m,C+M vs C+M+D,93,3.6103,3.4372,-1.7,59.1,0.1115,0.1821, ns
GPPsat,Raw-lag / 12m,C+T vs C+T+D,93,5.7653,5.243,-3.68,58.1,0.004146,0.03685,*
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,93,3.4745,3.3432,-1.35,55.9,0.2661,0.3598, ns
GPPsat,Raw-lag / 24m,C vs C+D,93,5.7765,5.7675,-6.66,59.1,0.01326,0.05583, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,93,3.5013,3.5299,-1.17,57,0.1586,0.2489, ns
GPPsat,Raw-lag / 24m,C+T vs C+T+D,93,5.5387,5.3928,-3.26,54.8,0.006516,0.03846,*
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,93,3.5284,3.3521,-0.38,52.7,0.3423,0.4347, ns
NEPmax,Anomaly / 12m,C vs C+D,93,5.6601,5.1342,-8.18,61.3,0.00673,0.03846,*
NEPmax,Anomaly / 12m,C+M vs C+M+D,93,5.3644,5.1078,-6.45,57,0.01406,0.05626, ns
NEPmax,Anomaly / 12m,C+T vs C+T+D,93,5.483,4.8032,-7.59,65.6,9.214e-05,0.003686,**
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,93,5.3282,4.9047,-7.56,61.3,0.0002589,0.005177,**
NEPmax,Anomaly / 24m,C vs C+D,93,5.1186,5.0806,-8.1,58.1,0.01689,0.06097, ns
NEPmax,Anomaly / 24m,C+M vs C+M+D,93,5.1679,5.0428,-7.56,61.3,0.01237,0.05583, ns
NEPmax,Anomaly / 24m,C+T vs C+T+D,93,5.2461,4.8997,-7.37,58.1,0.0008393,0.01119,*
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,93,5.2364,4.9197,-5.28,62.4,0.0002376,0.005177,**
NEPmax,Raw-lag / 12m,C vs C+D,93,5.6601,5.1342,-8.18,61.3,0.00673,0.03846,*
NEPmax,Raw-lag / 12m,C+M vs C+M+D,93,2.5955,2.5303,0.22,49.5,0.4558,0.5609, ns
NEPmax,Raw-lag / 12m,C+T vs C+T+D,93,5.483,4.8032,-7.59,65.6,9.214e-05,0.003686,**
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,93,2.6459,2.6064,0.01,49.5,0.529,0.6317, ns
NEPmax,Raw-lag / 24m,C vs C+D,93,5.1186,5.0806,-8.1,58.1,0.01689,0.06097, ns
NEPmax,Raw-lag / 24m,C+M vs C+M+D,93,2.6735,2.63,-1.06,54.8,0.1341,0.2145, ns
NEPmax,Raw-lag / 24m,C+T vs C+T+D,93,5.2461,4.8997,-7.37,58.1,0.0008393,0.01119,*
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,93,2.6536,2.5993,-0.05,51.6,0.2061,0.2893, ns
WUE,Anomaly / 12m,C vs C+D,93,0.7092,0.6869,-5.72,57,0.02489,0.06867, ns
WUE,Anomaly / 12m,C+M vs C+M+D,93,0.7065,0.681,-4.03,57,0.02213,0.06558, ns
WUE,Anomaly / 12m,C+T vs C+T+D,93,0.7061,0.6889,-3.75,55.9,0.05899,0.1276, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.7012,0.6836,-3.2,58.1,0.04445,0.1046, ns
WUE,Anomaly / 24m,C vs C+D,93,0.7149,0.6857,-7.09,54.8,0.01982,0.06097, ns
WUE,Anomaly / 24m,C+M vs C+M+D,93,0.7141,0.7046,-4.12,55.9,0.03678,0.09195, ns
WUE,Anomaly / 24m,C+T vs C+T+D,93,0.67,0.666,-2.23,55.9,0.03266,0.0843, ns
WUE,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.6653,0.6661,-1.67,52.7,0.05634,0.1276, ns
WUE,Raw-lag / 12m,C vs C+D,93,0.7092,0.6869,-5.72,57,0.02489,0.06867, ns
WUE,Raw-lag / 12m,C+M vs C+M+D,93,0.498,0.4636,-0.26,52.7,0.1986,0.2883, ns
WUE,Raw-lag / 12m,C+T vs C+T+D,93,0.7061,0.6889,-3.75,55.9,0.05899,0.1276, ns
WUE,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.485,0.4616,-0.02,50.5,0.6703,0.7246, ns
WUE,Raw-lag / 24m,C vs C+D,93,0.7149,0.6857,-7.09,54.8,0.01982,0.06097, ns
WUE,Raw-lag / 24m,C+M vs C+M+D,93,0.5046,0.4731,-1.44,54.8,0.1779,0.2737, ns
