unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,-0.00033,54.1,0.4223,0.4692,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-0.43698,67.6,0.04273,0.1107,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-0.18692,64.9,0.06193,0.1429,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.00474,54.1,0.2884,0.3761,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,0.008,43.2,0.5836,0.6153,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,75,-0.00082,54.7,0.04429,0.1107,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,75,-0.93772,69.3,0.0001665,0.004996,**
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,75,-0.71378,65.3,0.001229,0.009219,**
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,75,-0.02248,54.7,0.2437,0.3482,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,75,-0.0132,57.3,0.3412,0.4117,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,-0.00033,56.8,0.1525,0.2522,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-0.78727,67.6,0.006678,0.02328,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-0.37003,75.7,0.005164,0.02328,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,-0.00474,54.1,0.1387,0.2522,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,-0.02371,59.5,0.1597,0.2522,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,75,-0.00076,53.3,0.1158,0.2317,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,75,-0.8792,69.3,0.0009773,0.009219,**
