unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,-0.00038,51.4,0.2935,0.3387,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-0.67788,67.6,0.02406,0.07807,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-0.79342,62.2,0.01868,0.07807,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.0265,56.8,0.212,0.2891,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,0.01541,43.2,0.3309,0.3722,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,37,-0.00239,56.8,0.0849,0.1592,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,37,-0.88415,67.6,0.01868,0.07807,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,37,-0.78755,67.6,0.02084,0.07807,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,37,-0.03611,64.9,0.1525,0.2213,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,37,-0.0355,54.1,0.1289,0.2122,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,38,-0.00422,68.4,0.04626,0.1224,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,38,-0.67937,63.2,0.02429,0.07807,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,38,-0.64294,57.9,0.02116,0.07807,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,38,-0.06174,57.9,0.2477,0.3069,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,38,-0.01761,57.9,0.2524,0.3069,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,-0.0022,59.5,0.1455,0.2213,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-0.67063,70.3,0.01868,0.07807,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-0.85901,67.6,0.003789,0.04263,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,-0.04887,59.5,0.1489,0.2213,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,0.00588,48.6,0.1025,0.1846,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,37,-0.00042,54.1,0.08258,0.1592,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,37,-1.01148,70.3,0.01182,0.07807,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,37,-0.73698,64.9,0.01868,0.07807,ns
