unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,0.00044,41.9,0.705,0.7554,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,-0.16082,51.6,0.1916,0.2737,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-0.31303,64.5,0.04692,0.1083,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,0.00326,48.4,0.275,0.3459,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.02995,58.1,0.1258,0.2165,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,62,-0.00065,53.2,0.2874,0.3459,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,62,-0.54127,61.3,0.009419,0.05652,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,62,-0.78245,66.1,0.003858,0.04265,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,62,-0.04709,62.9,0.01964,0.07365,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,62,-0.02968,58.1,0.0632,0.1201,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,0.00044,41.9,0.803,0.8307,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.73645,61.3,0.03202,0.09124,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-0.53595,64.5,0.03346,0.09124,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,-0.00759,51.6,0.3439,0.3969,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.03666,61.3,0.1472,0.2325,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,62,-0.00065,53.2,0.2224,0.3032,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,62,-0.45316,56.5,0.05734,0.1201,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,62,-0.69087,66.1,0.005574,0.04265,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,62,-0.04709,61.3,0.01461,0.06721,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,62,-0.01624,56.5,0.06408,0.1201,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,31,0.00095,35.5,0.9004,0.9004,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,31,-0.38573,58.1,0.1299,0.2165,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,31,-0.47056,61.3,0.04692,0.1083,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,31,0.00326,48.4,0.5117,0.5686,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,31,-0.02995,54.8,0.2883,0.3459,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,62,-0.00102,56.5,0.1702,0.2553,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,62,-0.49624,58.1,0.01568,0.06721,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,62,-0.75523,67.7,0.004107,0.04265,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,62,-0.05549,62.9,0.005687,0.04265,*
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,62,-0.02968,59.7,0.03209,0.09124,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,88,-0.00026,51.1,0.3783,0.3982,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,88,-0.49624,59.1,0.007253,0.03626,*
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,88,-0.75523,68.2,0.0004806,0.009612,**
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low+Mid,88,-0.03953,59.1,0.01266,0.05064,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low+Mid,88,-0.02745,58,0.02324,0.05811,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,5,9e-04,20,,,""
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,5,0.13635,40,,,""
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,5,0.77073,20,,,""
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,5,0.13797,40,,,""
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,5,-0.02995,60,,,""
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Low+Mid,86,-0.00053,52.3,0.2634,0.3099,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Low+Mid,86,-0.47189,58.1,0.01838,0.05252,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Low+Mid,86,-0.62122,66.3,0.001504,0.01373,*
M1vsM2_12m,equal_width,Relative Mortality,WUE,Low+Mid,86,-0.0347,58.1,0.02994,0.06653,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,Low+Mid,86,-0.01972,57,0.05089,0.09253,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,High,7,9e-04,14.3,0.974,0.974,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,High,7,-1.64404,57.1,0.1024,0.1464,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,High,7,-0.24949,57.1,0.2234,0.2793,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,High,7,-0.09271,57.1,0.2234,0.2793,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,High,7,-0.0729,71.4,0.1024,0.1464,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,Low+Mid,88,-0.00026,51.1,0.2794,0.3105,ns
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,Low+Mid,88,-0.47189,58,0.01754,0.05252,ns
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,Low+Mid,88,-0.52964,64.8,0.002059,0.01373,*
M1vsM2_12m,equal_width,Relative Disturbance,WUE,Low+Mid,88,-0.0347,58,0.03596,0.07193,ns
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,Low+Mid,88,-0.01972,56.8,0.06735,0.1122,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,High,5,9e-04,20,,,""
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,High,5,-1.77297,60,,,""
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,High,5,-2.26643,80,,,""
M1vsM2_12m,equal_width,Relative Disturbance,WUE,High,5,-0.17217,60,,,""
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,High,5,-0.09654,80,,,""
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,High,20,0.00041,40,0.7667,0.8215,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,High,20,-0.31093,50,0.1523,0.2688,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,NEPmax,High,20,-0.24422,60,0.1802,0.2845,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,WUE,High,20,0.01384,40,0.552,0.6133,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,uWUE,High,20,-0.03168,55,0.2568,0.3501,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,Low+Mid,73,-0.00054,52.1,0.2969,0.3716,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,Low+Mid,73,-0.4879,60.3,0.01263,0.05411,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,NEPmax,Low+Mid,73,-0.85841,67.1,0.001119,0.02592,*
M1vsM2_12m,natural_breaks,Absolute Mortality,WUE,Low+Mid,73,-0.04849,63,0.01176,0.05411,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,uWUE,Low+Mid,73,-0.0215,58.9,0.04069,0.111,ns
M1vsM2_12m,natural_breaks,Relative Mortality,ETmax,High,26,0.00067,38.5,0.8626,0.8924,ns
M1vsM2_12m,natural_breaks,Relative Mortality,GPPsat,High,26,-0.50421,57.7,0.08511,0.1824,ns
M1vsM2_12m,natural_breaks,Relative Mortality,NEPmax,High,26,-0.4341,61.5,0.08511,0.1824,ns
M1vsM2_12m,natural_breaks,Relative Mortality,WUE,High,26,0.00511,46.2,0.5101,0.6119,ns
M1vsM2_12m,natural_breaks,Relative Mortality,uWUE,High,26,-0.03168,57.7,0.2307,0.3296,ns
M1vsM2_12m,natural_breaks,Relative Mortality,ETmax,Low+Mid,67,-0.00076,53.7,0.2165,0.3248,ns
M1vsM2_12m,natural_breaks,Relative Mortality,GPPsat,Low+Mid,67,-0.4879,58.2,0.0266,0.08866,ns
M1vsM2_12m,natural_breaks,Relative Mortality,NEPmax,Low+Mid,67,-0.85841,67.2,0.002592,0.02592,*
M1vsM2_12m,natural_breaks,Relative Mortality,WUE,Low+Mid,67,-0.05126,62.7,0.009184,0.05411,ns
M1vsM2_12m,natural_breaks,Relative Mortality,uWUE,Low+Mid,67,-0.0215,58.2,0.04495,0.1124,ns
