response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,112,0.0393,0.0379,-6.98,59.8,0.009312,0.02759,*
ETmax,Anomaly / 12m,C+M vs C+M+D,112,0.0387,0.0379,-6.39,58,0.01121,0.02988,*
ETmax,Anomaly / 12m,C+T vs C+T+D,112,0.0326,0.0316,-1.07,52.7,0.1315,0.2148, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.0334,0.0317,-1.5,50.9,0.1116,0.19, ns
ETmax,Anomaly / 24m,C vs C+D,112,0.0375,0.0389,-6.73,58,0.01022,0.02819,*
ETmax,Anomaly / 24m,C+M vs C+M+D,112,0.0375,0.0388,-7.17,58,0.007225,0.02312,*
ETmax,Anomaly / 24m,C+T vs C+T+D,112,0.0341,0.0319,1.24,49.1,0.2425,0.308, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.0334,0.0322,-0.64,50.9,0.2265,0.304, ns
ETmax,Raw-lag / 12m,C vs C+D,112,0.0393,0.0379,-6.98,59.8,0.009312,0.02759,*
ETmax,Raw-lag / 12m,C+M vs C+M+D,112,0.0278,0.0256,-2.62,53.6,0.1829,0.2756, ns
ETmax,Raw-lag / 12m,C+T vs C+T+D,112,0.0326,0.0316,-1.07,52.7,0.1315,0.2148, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.0259,0.0264,0.37,49.1,0.4371,0.4857, ns
ETmax,Raw-lag / 24m,C vs C+D,112,0.0375,0.0389,-6.73,58,0.01022,0.02819,*
ETmax,Raw-lag / 24m,C+M vs C+M+D,112,0.0263,0.0251,0.26,49.1,0.4076,0.4658, ns
ETmax,Raw-lag / 24m,C+T vs C+T+D,112,0.0341,0.0319,1.24,49.1,0.2425,0.308, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.0252,0.0257,0.69,49.1,0.4031,0.4658, ns
GPPsat,Anomaly / 12m,C vs C+D,112,5.9657,5.2245,-19.04,71.4,3.37e-07,1.133e-05,***
GPPsat,Anomaly / 12m,C+M vs C+M+D,112,6.037,5.1167,-18.86,69.6,5.663e-07,1.133e-05,***
