unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,-0.0021,62.2,0.1525,0.2144,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-1.14093,70.3,0.008226,0.02178,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-0.7033,73,0.001713,0.008563,**
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.01452,54.1,0.212,0.265,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,0.07593,45.9,0.6907,0.6907,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,37,-0.00333,62.2,0.04273,0.0874,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,37,-1.35711,73,0.004732,0.01521,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,37,-0.89503,67.6,0.02493,0.05341,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,37,-0.01429,54.1,0.2583,0.3141,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,37,0.02067,43.2,0.4105,0.4505,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,38,-0.00512,55.3,0.0715,0.1237,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,38,-1.02129,71.1,0.0001704,0.006297,**
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,38,-1.26039,71.1,0.001406,0.008563,**
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,38,-0.08719,65.8,0.05063,0.09906,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,38,-0.10633,73.7,0.006309,0.01893,*
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,-0.00251,62.2,0.1354,0.1965,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-1.25715,70.3,0.001713,0.008563,**
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-0.97132,75.7,0.0004517,0.006297,**
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,-0.03628,54.1,0.1109,0.1663,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,0.02067,43.2,0.494,0.517,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,37,-0.00277,59.5,0.08969,0.1392,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,37,-1.37382,75.7,0.001213,0.008563,**
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,37,-1.32097,70.3,0.003963,0.01372,*
