unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,0.00119,48.6,0.5421,0.6098,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-0.92975,64.9,0.04138,0.09494,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-0.94224,62.2,0.003462,0.02664,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.05808,64.9,0.1137,0.2133,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,0.02414,43.2,0.353,0.4294,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,37,-0.00213,54.1,0.1321,0.2378,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,37,-1.49071,64.9,0.02084,0.06483,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,37,-0.85662,64.9,0.03285,0.08694,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,37,-0.07407,64.9,0.0849,0.1737,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,37,-0.00824,51.4,0.353,0.4294,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,38,-0.00574,63.2,0.06575,0.1409,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,38,-0.93105,65.8,0.001779,0.02664,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,38,-0.4961,63.2,0.008358,0.03419,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,38,-0.08616,60.5,0.2809,0.3831,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,38,0.03183,39.5,0.6941,0.7264,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,-0.00207,54.1,0.304,0.4024,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-0.5876,56.8,0.03752,0.09381,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-0.94224,70.3,0.001979,0.02664,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,-0.03602,62.2,0.2299,0.3448,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,0.03058,43.2,0.2632,0.382,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,37,-0.00187,51.4,0.1949,0.3133,ns
