response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,65,0.0362,0.0383,-1.73,52.3,0.6428,0.843, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,65,0.0375,0.0401,-1.26,52.3,0.6106,0.828, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,65,0.0348,0.0348,1.12,47.7,0.8639,0.9275, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.0337,0.0357,0.9,47.7,0.7062,0.911, ns
ETmax,Anomaly / 24m,C vs C+D,65,0.0384,0.0415,1.53,46.2,0.8639,0.9275, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,65,0.039,0.0417,0.25,49.2,0.83,0.9275, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,65,0.0359,0.0357,1.21,44.6,0.9238,0.9598, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.0338,0.0334,2.51,44.6,0.8536,0.9275, ns
ETmax,Raw-lag / 12m,C vs C+D,65,0.0362,0.0383,-1.73,52.3,0.6428,0.843, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,65,0.0272,0.0257,3.59,27.7,0.9989,0.9989, ns
ETmax,Raw-lag / 12m,C+T vs C+T+D,65,0.0348,0.0348,1.12,47.7,0.8639,0.9275, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.0256,0.0256,3.49,41.5,0.9718,0.9967, ns
ETmax,Raw-lag / 24m,C vs C+D,65,0.0384,0.0415,1.53,46.2,0.8639,0.9275, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,65,0.0263,0.0252,3.55,29.2,0.9984,0.9989, ns
ETmax,Raw-lag / 24m,C+T vs C+T+D,65,0.0359,0.0357,1.21,44.6,0.9238,0.9598, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.0246,0.0253,1.67,46.2,0.8381,0.9275, ns
GPPsat,Anomaly / 12m,C vs C+D,65,4.5008,4.7567,-2.2,53.8,0.1224,0.4079, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,65,4.5212,4.6585,-2.58,56.9,0.09561,0.3642, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,65,4.8469,4.9853,-3.54,52.3,0.1767,0.4712, ns
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,65,4.9771,4.8316,-4.75,60,0.04404,0.2202, ns
GPPsat,Anomaly / 24m,C vs C+D,65,4.9969,4.6091,-7.68,61.5,0.06898,0.2904, ns
GPPsat,Anomaly / 24m,C+M vs C+M+D,65,4.926,4.5791,-5.62,58.5,0.0945,0.3642, ns
GPPsat,Anomaly / 24m,C+T vs C+T+D,65,5.1887,4.6348,-6.36,61.5,0.004921,0.1525, ns
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,65,5.4628,4.9704,-5.08,58.5,0.005719,0.1525, ns
GPPsat,Raw-lag / 12m,C vs C+D,65,4.5008,4.7567,-2.2,53.8,0.1224,0.4079, ns
GPPsat,Raw-lag / 12m,C+M vs C+M+D,65,3.7217,3.8737,-1.22,53.8,0.7949,0.9275, ns
GPPsat,Raw-lag / 12m,C+T vs C+T+D,65,4.8469,4.9853,-3.54,52.3,0.1767,0.4712, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.6693,3.8377,0.11,49.2,0.5803,0.828, ns
GPPsat,Raw-lag / 24m,C vs C+D,65,4.9969,4.6091,-7.68,61.5,0.06898,0.2904, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,65,3.8076,3.6857,-0.37,50.8,0.7174,0.911, ns
GPPsat,Raw-lag / 24m,C+T vs C+T+D,65,5.1887,4.6348,-6.36,61.5,0.004921,0.1525, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.4901,3.5192,-0.44,50.8,0.2652,0.628, ns
NEPmax,Anomaly / 12m,C vs C+D,65,4.4287,4.4966,-11.97,64.6,0.02735,0.2176, ns
NEPmax,Anomaly / 12m,C+M vs C+M+D,65,4.3681,4.4091,-8.83,61.5,0.03828,0.2202, ns
NEPmax,Anomaly / 12m,C+T vs C+T+D,65,4.5748,4.5597,-5.09,64.6,0.02991,0.2176, ns
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,4.6039,4.5251,-7.86,67.7,0.01109,0.1557, ns
NEPmax,Anomaly / 24m,C vs C+D,65,4.3906,4.9609,-10.14,64.6,0.01168,0.1557, ns
NEPmax,Anomaly / 24m,C+M vs C+M+D,65,4.4742,4.5976,-9.75,63.1,0.02073,0.2176, ns
NEPmax,Anomaly / 24m,C+T vs C+T+D,65,4.7972,4.3466,-5.01,61.5,0.04404,0.2202, ns
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,4.7268,4.0866,-0.65,52.3,0.05689,0.2677, ns
NEPmax,Raw-lag / 12m,C vs C+D,65,4.4287,4.4966,-11.97,64.6,0.02735,0.2176, ns
NEPmax,Raw-lag / 12m,C+M vs C+M+D,65,3.0409,2.9609,0.07,49.2,0.6006,0.828, ns
NEPmax,Raw-lag / 12m,C+T vs C+T+D,65,4.5748,4.5597,-5.09,64.6,0.02991,0.2176, ns
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.0792,3.1134,-3.2,56.9,0.04166,0.2202, ns
NEPmax,Raw-lag / 24m,C vs C+D,65,4.3906,4.9609,-10.14,64.6,0.01168,0.1557, ns
NEPmax,Raw-lag / 24m,C+M vs C+M+D,65,3.2942,3.1217,-0.57,53.8,0.312,0.6333, ns
NEPmax,Raw-lag / 24m,C+T vs C+T+D,65,4.7972,4.3466,-5.01,61.5,0.04404,0.2202, ns
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.1601,3.0588,-1.48,52.3,0.1635,0.4712, ns
WUE,Anomaly / 12m,C vs C+D,65,0.6465,0.704,0.98,44.6,0.5879,0.828, ns
WUE,Anomaly / 12m,C+M vs C+M+D,65,0.6613,0.6737,-1.66,50.8,0.3028,0.6333, ns
WUE,Anomaly / 12m,C+T vs C+T+D,65,0.6638,0.6781,0.21,49.2,0.552,0.828, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.6809,0.6703,-0.7,56.9,0.5313,0.828, ns
WUE,Anomaly / 24m,C vs C+D,65,0.6296,0.6654,-0.49,50.8,0.175,0.4712, ns
WUE,Anomaly / 24m,C+M vs C+M+D,65,0.6154,0.6745,-2.15,56.9,0.1667,0.4712, ns
WUE,Anomaly / 24m,C+T vs C+T+D,65,0.6507,0.6782,0.19,49.2,0.513,0.828, ns
WUE,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.6165,0.6651,-0.8,52.3,0.4765,0.828, ns
WUE,Raw-lag / 12m,C vs C+D,65,0.6465,0.704,0.98,44.6,0.5879,0.828, ns
