unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,-0.00066,50,0.8429,0.9053,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.42343,63.6,0.1279,0.7005,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-1.04226,77.3,0.01886,0.7005,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,0.01792,40.9,0.6516,0.8782,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,0.00891,40.9,0.8506,0.9053,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,21,-0.00035,52.4,0.5553,0.8535,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,21,-0.30898,57.1,0.1567,0.7005,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,21,-0.04737,52.4,0.4585,0.7935,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,21,-0.02562,52.4,0.569,0.8535,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,21,0.02202,38.1,0.8743,0.9053,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,22,-0.00112,54.5,0.3975,0.7758,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,22,0.1592,40.9,0.6635,0.8782,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,22,-0.57383,63.6,0.165,0.7005,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,22,0.01574,40.9,0.5388,0.8535,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,22,-0.01559,54.5,0.1571,0.7005,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,-0.00158,54.5,0.6395,0.8782,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.42343,59.1,0.2179,0.7005,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-0.81668,72.7,0.06766,0.7005,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,-0.00515,50,0.4871,0.8118,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,0.00705,45.5,0.7915,0.9053,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,21,0.0011,42.9,0.826,0.9053,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,21,-0.09371,52.4,0.431,0.7758,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,21,-0.73519,52.4,0.4174,0.7758,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,21,-0.02562,52.4,0.3511,0.7758,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,21,0.01455,38.1,0.7455,0.9053,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low,22,-0.00158,59.1,0.2905,0.7758,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low,22,-0.11256,50,0.1993,0.7005,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low,22,-0.77187,68.2,0.05226,0.7005,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low,22,0.02675,31.8,0.8721,0.9053,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low,22,0.00106,50,0.4101,0.7758,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,22,-0.00158,54.5,0.6273,0.8782,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,22,-0.67977,59.1,0.1817,0.7005,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,22,-0.8919,72.7,0.06352,0.7005,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,22,-0.00515,50,0.4101,0.7758,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,22,0.00705,45.5,0.7915,0.9053,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Mid,21,0.0011,38.1,0.9124,0.9124,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Mid,21,-0.13806,57.1,0.3905,0.7758,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Mid,21,-0.73519,57.1,0.1924,0.7005,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Mid,21,-0.02562,52.4,0.3772,0.7758,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Mid,21,0.01455,38.1,0.7455,0.9053,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low,22,-0.00222,63.6,0.2085,0.7005,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low,22,0.04813,45.5,0.3131,0.7758,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low,22,-0.57383,63.6,0.1993,0.7005,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low,22,0.03127,31.8,0.8852,0.9053,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low,22,0.00106,50,0.3727,0.7758,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Mid,21,0.00318,42.9,0.9008,0.9239,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Mid,21,-0.69098,71.4,0.03273,0.6545,ns
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Mid,21,-1.14397,81,0.009051,0.362,ns
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Mid,21,0.00403,47.6,0.4174,0.7461,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Mid,21,0.00327,42.9,0.6743,0.8701,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low,41,-0.00071,53.7,0.4536,0.7461,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low,41,0.06254,46.3,0.428,0.7461,ns
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low,41,-0.41133,56.1,0.2585,0.7154,ns
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low,41,0.00876,43.9,0.6221,0.8295,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low,41,0.01077,46.3,0.5618,0.8026,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,3,-0.00308,100,,,""
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,3,0.54991,33.3,,,""
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,3,-0.39295,66.7,,,""
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,3,0.01854,33.3,,,""
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,3,0.06848,33.3,,,""
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Mid,26,0.00336,42.3,0.8787,0.9239,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Mid,26,-0.42496,65.4,0.08511,0.6696,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Mid,26,-0.81668,65.4,0.07385,0.6696,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,Mid,26,-0.01612,53.8,0.2385,0.7154,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,Mid,26,0.00297,46.2,0.5304,0.8026,ns
