unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,-0.00066,50,0.8429,0.8506,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.42343,63.6,0.1279,0.6396,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-1.04226,77.3,0.01886,0.5659,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,0.01792,40.9,0.6516,0.7684,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,0.00891,40.9,0.8506,0.8506,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,43,-0.00071,53.5,0.4448,0.7684,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,43,0.03372,48.8,0.3124,0.7684,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,43,-0.41133,58.1,0.2216,0.7087,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,43,0.00822,46.5,0.5024,0.7684,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,43,0.01077,46.5,0.5072,0.7684,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,-0.00158,54.5,0.6395,0.7684,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.42343,59.1,0.2179,0.7087,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-0.81668,72.7,0.06766,0.6396,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,-0.00515,50,0.4871,0.7684,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,0.00705,45.5,0.7915,0.848,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,43,-0.00035,51.2,0.6117,0.7684,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,43,-0.09371,51.2,0.2362,0.7087,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,43,-0.73633,60.5,0.1057,0.6396,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,43,0.02326,41.9,0.6301,0.7684,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,43,0.01077,44.2,0.579,0.7684,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,22,-0.00158,54.5,0.6273,0.7684,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,22,-0.67977,59.1,0.1817,0.7087,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,22,-0.8919,72.7,0.06352,0.6396,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,22,-0.00515,50,0.4101,0.7684,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,22,0.00705,45.5,0.7915,0.848,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,43,-0.00035,51.2,0.6346,0.7684,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,43,-0.09371,51.2,0.2831,0.7684,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,43,-0.73519,60.5,0.1125,0.6396,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,43,0.02326,41.9,0.6659,0.7684,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,43,0.01077,44.2,0.579,0.7684,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,62,-0.00013,50,0.7291,0.8089,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,62,-0.20208,54.8,0.08913,0.4011,ns
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,62,-0.79877,64.5,0.02781,0.368,ns
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low+Mid,62,0.00849,45.2,0.586,0.8089,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low+Mid,62,0.00795,45.2,0.6604,0.8089,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,3,-0.00308,100,,,""
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,3,0.54991,33.3,,,""
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,3,-0.39295,66.7,,,""
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,3,0.01854,33.3,,,""
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,3,0.06848,33.3,,,""
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Low+Mid,58,-0.00053,51.7,0.6789,0.8089,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Low+Mid,58,-0.21275,55.2,0.07276,0.4011,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Low+Mid,58,-0.79877,63.8,0.02944,0.368,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,Low+Mid,58,0.00849,44.8,0.5615,0.8089,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,Low+Mid,58,0.0042,46.6,0.5432,0.8089,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,High,7,-0.0014,57.1,0.4663,0.8089,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,High,7,0.31365,42.9,0.7766,0.8089,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,High,7,-0.57648,71.4,0.3999,0.8089,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,High,7,0.01854,42.9,0.6001,0.8089,ns
