unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,0.00142,41.9,0.7747,0.8107,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,-0.39498,58.1,0.176,0.264,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-0.43932,77.4,0.004708,0.1262,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,-0.00196,51.6,0.2253,0.2973,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.01089,58.1,0.1299,0.2155,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,31,-0.00229,64.5,0.295,0.3588,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,31,-0.56334,67.7,0.02931,0.1319,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,31,-0.47536,61.3,0.05089,0.1402,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,31,-0.01812,54.8,0.1067,0.2155,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,31,-0.02102,67.7,0.09965,0.2135,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,31,-3e-05,51.6,0.4262,0.4677,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,31,-0.76207,58.1,0.03807,0.1402,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,31,-0.67807,61.3,0.02127,0.1319,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,31,-0.05816,61.3,0.02931,0.1319,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,31,0.0047,48.4,0.2312,0.2973,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,0.00142,41.9,0.834,0.8529,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.55533,67.7,0.05297,0.1402,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-0.43932,67.7,0.01122,0.1262,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,-0.00196,51.6,0.2194,0.2973,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.01895,61.3,0.1103,0.2155,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,31,-8e-04,54.8,0.4416,0.4731,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,31,-0.42274,58.1,0.1258,0.2155,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,31,-0.52558,71,0.04887,0.1402,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,31,-0.05816,64.5,0.0432,0.1402,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,31,-0.02102,61.3,0.1218,0.2155,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low,31,-0.00429,61.3,0.208,0.2925,ns
