unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,0.00142,41.9,0.7747,0.8301,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,-0.39498,58.1,0.176,0.24,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-0.43932,77.4,0.004708,0.03019,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,-0.00196,51.6,0.2253,0.277,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.01089,58.1,0.1299,0.2051,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,62,-0.00206,58.1,0.2827,0.3262,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,62,-0.66694,62.9,0.005248,0.03019,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,62,-0.57671,61.3,0.003779,0.03019,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,62,-0.04237,58.1,0.01487,0.04873,*
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,62,-0.01832,58.1,0.1167,0.1944,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,0.00142,41.9,0.834,0.8627,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.55533,67.7,0.05297,0.1222,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-0.43932,67.7,0.01122,0.04807,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,-0.00196,51.6,0.2194,0.277,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.01895,61.3,0.1103,0.1944,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,62,-0.00206,58.1,0.2308,0.277,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,62,-0.55263,58.1,0.01624,0.04873,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,62,-0.50047,66.1,0.002995,0.03019,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,62,-0.04955,58.1,0.01998,0.04994,*
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,62,-0.01218,56.5,0.1167,0.1944,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,31,0.00179,38.7,0.9305,0.9305,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,31,-0.75756,64.5,0.07215,0.1546,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,31,-0.43932,64.5,0.01844,0.04994,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,31,0.00969,48.4,0.4262,0.4735,ns
