unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,0.00216,36.4,0.6753,0.8272,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.76315,63.6,0.1571,0.7391,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-0.81984,68.2,0.08135,0.7391,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,0.00758,40.9,0.5388,0.8272,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,-0.00102,50,0.7724,0.8582,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,43,0.0013,37.2,0.8875,0.8921,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,43,-0.04975,53.5,0.4639,0.8272,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,43,-0.00113,51.2,0.271,0.7391,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,43,0.00276,48.8,0.5169,0.8272,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,43,-8e-05,51.2,0.3929,0.8272,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,0.00216,36.4,0.6635,0.8272,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.68713,68.2,0.165,0.7391,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-1.03982,68.2,0.142,0.7391,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,-0.0044,50,0.2276,0.7391,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,-0.01033,54.5,0.5899,0.8272,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,43,0.0013,37.2,0.8921,0.8921,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,43,-0.04468,51.2,0.4639,0.8272,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,43,-0.00113,51.2,0.2475,0.7391,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,43,0.01325,44.2,0.7169,0.8272,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,43,0.00292,48.8,0.5695,0.8272,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,22,0.00216,31.8,0.6983,0.8272,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,22,-0.68713,68.2,0.1571,0.7391,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,22,-0.81984,63.6,0.2179,0.7391,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,22,-0.0044,50,0.2276,0.7391,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,22,-0.00161,50,0.6395,0.8272,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,43,0.0013,39.5,0.878,0.8921,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,43,-0.04468,51.2,0.4831,0.8272,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,43,-0.119,53.5,0.1596,0.7391,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,43,0.01325,44.2,0.7169,0.8272,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,43,-8e-05,51.2,0.5217,0.8272,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,62,0.00142,37.1,0.8675,0.9246,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,62,-0.13791,58.1,0.153,0.8733,ns
