unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,-0.00029,51.6,0.2816,0.352,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,-0.12877,51.6,0.2253,0.2938,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-0.42545,58.1,0.08355,0.2089,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,-0.0466,51.6,0.1067,0.2284,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.02197,61.3,0.06441,0.2089,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,62,-0.00065,54.8,0.5335,0.5335,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,62,-0.46064,59.7,0.02649,0.2089,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,62,-0.55009,58.1,0.03209,0.2089,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,62,-0.02062,54.8,0.1167,0.2284,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,62,-0.00358,51.6,0.3243,0.3892,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,0.00033,48.4,0.4416,0.4568,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.50016,58.1,0.08058,0.2089,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-0.63223,64.5,0.02931,0.2089,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,0.0017,48.4,0.1218,0.2284,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.01001,61.3,0.1341,0.2367,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,62,-0.00076,56.5,0.4332,0.4568,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,62,-0.23855,56.5,0.08148,0.2089,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,62,-0.36103,54.8,0.06586,0.2089,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,62,-0.02534,56.5,0.1167,0.2284,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,62,-0.00915,51.6,0.1737,0.2606,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,31,6e-05,48.4,0.4416,0.4568,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,31,-0.45741,54.8,0.1709,0.2606,ns
