unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,0.00029,45.5,0.3605,0.7366,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.19051,54.5,0.2581,0.7366,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-0.70446,59.1,0.1212,0.7366,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,0.03167,36.4,0.835,0.835,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,0.00545,45.5,0.5517,0.7366,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,43,5e-04,46.5,0.6919,0.7413,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,43,-0.09266,51.2,0.5313,0.7366,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,43,-0.25666,55.8,0.3253,0.7366,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,43,-0.00163,51.2,0.3429,0.7366,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,43,-0.00017,51.2,0.5647,0.7366,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,0.00076,40.9,0.5388,0.7366,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.34937,54.5,0.2179,0.7366,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-0.70446,54.5,0.2085,0.7366,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,0.01584,40.9,0.7821,0.809,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,0.00545,45.5,0.6635,0.7413,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,43,9e-05,48.8,0.5504,0.7366,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,43,-0.09266,51.2,0.5504,0.7366,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,43,-0.25666,58.1,0.2289,0.7366,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,43,0.00019,48.8,0.3929,0.7366,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,43,-0.00017,51.2,0.5361,0.7366,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,22,0.00041,45.5,0.4101,0.7366,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,22,-0.34937,54.5,0.2085,0.7366,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,22,-0.21659,50,0.2795,0.7366,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,22,0.01584,40.9,0.6869,0.7413,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,22,0.01048,45.5,0.6753,0.7413,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,43,0.00041,46.5,0.6833,0.7413,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,43,-0.09266,51.2,0.56,0.7366,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,43,-0.34476,60.5,0.1655,0.7366,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,43,0.00019,48.8,0.4735,0.7366,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,43,-0.00017,51.2,0.4831,0.7366,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,62,0.00025,48.4,0.4637,0.8054,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,62,-0.15506,54.8,0.2245,0.8054,ns
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,62,-0.59845,59.7,0.06953,0.8054,ns
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low+Mid,62,0.00382,46.8,0.5084,0.8054,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low+Mid,62,-0.00278,51.6,0.3789,0.8054,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,3,0.00176,0,,,""
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,3,0.48169,0,,,""
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,3,1.52562,0,,,""
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,3,0.16287,33.3,,,""
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,3,0.12981,0,,,""
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Low+Mid,58,4e-05,50,0.3609,0.8054,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Low+Mid,58,-0.13093,53.4,0.2755,0.8054,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Low+Mid,58,-0.63261,62.1,0.04572,0.8054,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,Low+Mid,58,0.00382,46.6,0.5154,0.8054,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,Low+Mid,58,0.00141,50,0.4293,0.8054,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,High,7,0.00381,14.3,0.974,0.974,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,High,7,0.39006,42.9,0.6637,0.8609,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,High,7,0.83446,14.3,0.962,0.974,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,High,7,0.04704,42.9,0.7229,0.8609,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,High,7,0.06672,42.9,0.8641,0.9392,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,Low+Mid,56,4e-05,50,0.4144,0.8054,ns
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,Low+Mid,56,-0.10799,51.8,0.4144,0.8054,ns
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,Low+Mid,56,-0.4546,58.9,0.131,0.8054,ns
M1vsM2_12m,equal_width,Relative Disturbance,WUE,Low+Mid,56,0.00382,46.4,0.5824,0.8245,ns
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,Low+Mid,56,0.00141,50,0.5146,0.8054,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,High,9,0.00381,22.2,0.8568,0.9392,ns
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,High,9,-0.55492,55.6,0.3178,0.8054,ns
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,High,9,0.19959,44.4,0.4064,0.8054,ns
M1vsM2_12m,equal_width,Relative Disturbance,WUE,High,9,0.02496,44.4,0.5936,0.8245,ns
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,High,9,0.00791,44.4,0.7232,0.8609,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,High,14,0.00097,42.9,0.525,0.7632,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,High,14,-0.34937,57.1,0.2651,0.7632,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,NEPmax,High,14,-1.112,57.1,0.1576,0.7632,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,WUE,High,14,0.02875,35.7,0.8268,0.8268,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,uWUE,High,14,0.00545,42.9,0.7551,0.7811,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,Low+Mid,51,0.00041,47.1,0.5651,0.7632,ns
