unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,-0.00139,54.8,0.3732,0.3999,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,-0.65679,64.5,0.03972,0.0701,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-1.15557,71,0.004984,0.0145,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,-0.02595,51.6,0.197,0.24,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.05867,58.1,0.1141,0.1711,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,62,-0.00105,54.8,0.3294,0.3659,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,62,-0.81313,69.4,0.001093,0.007539,**
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,62,-0.78797,69.4,0.001256,0.007539,**
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,62,-0.06388,62.9,0.004742,0.0145,*
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,62,-0.02946,62.9,0.005574,0.0145,*
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,-0.00146,64.5,0.1299,0.1856,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.75267,71,0.008633,0.01619,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-1.12138,67.7,0.007348,0.01575,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,-0.04918,54.8,0.208,0.24,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.05867,58.1,0.1384,0.1887,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,62,-0.00021,50,0.514,0.5317,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,62,-0.70795,66.1,0.004369,0.0145,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,62,-0.87157,71,0.001042,0.007539,**
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,62,-0.04471,61.3,0.006664,0.01538,*
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,62,-0.02946,62.9,0.005802,0.0145,*
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,31,-0.00144,61.3,0.08661,0.1367,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,31,-0.65679,64.5,0.05297,0.08828,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,31,-1.15557,67.7,0.008633,0.01619,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,31,-0.02643,51.6,0.2025,0.24,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,31,-0.02469,54.8,0.2025,0.24,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,62,-0.00066,51.6,0.6131,0.6131,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,62,-0.76754,69.4,0.0006775,0.007539,**
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,62,-0.87157,71,0.001067,0.007539,**
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,62,-0.05999,62.9,0.00484,0.0145,*
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,62,-0.04547,64.5,0.002748,0.01374,*
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,88,-0.00113,54.5,0.3878,0.4309,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,88,-0.76754,70.5,0.0001635,0.0009699,***
