response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,65,0.0375,0.039,1.49,44.6,0.7578,0.8642, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,65,0.0385,0.0396,2.39,36.9,0.8365,0.8839, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,65,0.0375,0.0375,2.63,40,0.7777,0.8642, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.0379,0.0391,0.71,47.7,0.6355,0.8384, ns
ETmax,Anomaly / 24m,C vs C+D,65,0.0415,0.043,0.47,47.7,0.6994,0.8642, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,65,0.0417,0.0425,0.33,46.2,0.539,0.8384, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,65,0.0379,0.0392,0.24,47.7,0.7107,0.8642, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.0367,0.0392,0.5,43.1,0.7719,0.8642, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,65,0.0255,0.027,-0.43,53.8,0.2184,0.7639, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.0259,0.0265,-0.99,53.8,0.2983,0.7781, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,65,0.027,0.0274,-0.03,50.8,0.5078,0.8384, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.0262,0.0273,-0.55,50.8,0.4636,0.8384, ns
GPPsat,Anomaly / 12m,C vs C+D,65,4.7087,4.5707,-1.94,53.8,0.3572,0.7952, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,65,4.6908,4.6392,-2.28,56.9,0.3427,0.7952, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,65,5.3166,4.6172,-2.64,58.5,0.03364,0.2538, ns
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,65,5.0022,4.6066,-4.37,64.6,0.03721,0.2538, ns
GPPsat,Anomaly / 24m,C vs C+D,65,4.613,4.4298,-6.08,56.9,0.2588,0.7639, ns
GPPsat,Anomaly / 24m,C+M vs C+M+D,65,4.7393,4.5551,-3.59,56.9,0.2341,0.7639, ns
GPPsat,Anomaly / 24m,C+T vs C+T+D,65,4.992,4.5014,-3.85,67.7,0.02009,0.2538, ns
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,65,5.0562,4.4906,-3.85,66.2,0.02735,0.2538, ns
GPPsat,Raw-lag / 12m,C+M vs C+M+D,65,3.568,3.5756,1.61,40,0.8722,0.9023, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.7116,3.4903,0.31,47.7,0.2674,0.7639, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,65,3.513,3.6037,0.53,46.2,0.7967,0.8691, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.6068,3.5522,-1,56.9,0.3213,0.7952, ns
NEPmax,Anomaly / 12m,C vs C+D,65,4.4377,4.6504,-11.53,61.5,0.04343,0.2538, ns
NEPmax,Anomaly / 12m,C+M vs C+M+D,65,4.3579,4.636,-10.39,60,0.04653,0.2538, ns
NEPmax,Anomaly / 12m,C+T vs C+T+D,65,5.294,5.0331,-3.04,61.5,0.03616,0.2538, ns
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,4.9505,4.9419,-4.31,53.8,0.07808,0.3904, ns
NEPmax,Anomaly / 24m,C vs C+D,65,4.6048,4.8238,-7.11,66.2,0.04224,0.2538, ns
NEPmax,Anomaly / 24m,C+M vs C+M+D,65,4.7317,4.7069,-7.06,66.2,0.02861,0.2538, ns
NEPmax,Anomaly / 24m,C+T vs C+T+D,65,4.9083,4.5946,-4.55,61.5,0.003547,0.2026, ns
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,4.7644,4.6784,-5.03,63.1,0.006752,0.2026, ns
NEPmax,Raw-lag / 12m,C+M vs C+M+D,65,2.8717,2.8827,0.02,49.2,0.5208,0.8384, ns
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,2.824,2.8155,-0.31,52.3,0.2402,0.7639, ns
NEPmax,Raw-lag / 24m,C+M vs C+M+D,65,3.0037,2.6215,-0.93,52.3,0.1211,0.5587, ns
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,2.9381,2.7383,1.05,43.1,0.5879,0.8384, ns
WUE,Anomaly / 12m,C vs C+D,65,0.609,0.5917,-1.2,56.9,0.4197,0.8384, ns
WUE,Anomaly / 12m,C+M vs C+M+D,65,0.6153,0.6065,-0.26,55.4,0.2165,0.7639, ns
WUE,Anomaly / 12m,C+T vs C+T+D,65,0.6516,0.6816,-0.12,50.8,0.6231,0.8384, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.6301,0.6389,0.42,47.7,0.6428,0.8384, ns
WUE,Anomaly / 24m,C vs C+D,65,0.6208,0.6163,0.07,49.2,0.6181,0.8384, ns
WUE,Anomaly / 24m,C+M vs C+M+D,65,0.6172,0.6224,0.21,44.6,0.7433,0.8642, ns
WUE,Anomaly / 24m,C+T vs C+T+D,65,0.6332,0.6348,-0.34,55.4,0.2567,0.7639, ns
WUE,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.6406,0.6395,0.22,46.2,0.6231,0.8384, ns
WUE,Raw-lag / 12m,C+M vs C+M+D,65,0.4797,0.4804,-0.69,55.4,0.3719,0.7952, ns
WUE,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.482,0.4732,-0.53,50.8,0.4532,0.8384, ns
WUE,Raw-lag / 24m,C+M vs C+M+D,65,0.4673,0.4513,-0.75,52.3,0.2652,0.7639, ns
WUE,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.4709,0.448,-0.57,60,0.296,0.7781, ns
uWUE,Anomaly / 12m,C vs C+D,65,0.5646,0.6106,-0.88,55.4,0.5981,0.8384, ns
uWUE,Anomaly / 12m,C+M vs C+M+D,65,0.5528,0.6046,-1.55,53.8,0.5235,0.8384, ns
uWUE,Anomaly / 12m,C+T vs C+T+D,65,0.6064,0.6064,-0.19,52.3,0.3844,0.7952, ns
uWUE,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.5983,0.618,-0.96,55.4,0.3621,0.7952, ns
uWUE,Anomaly / 24m,C vs C+D,65,0.5406,0.5736,1.63,41.5,0.7218,0.8642, ns
uWUE,Anomaly / 24m,C+M vs C+M+D,65,0.5665,0.569,0.13,47.7,0.6006,0.8384, ns
uWUE,Anomaly / 24m,C+T vs C+T+D,65,0.5822,0.5678,-0.5,53.8,0.5416,0.8384, ns
uWUE,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.5953,0.5696,0.35,47.7,0.4558,0.8384, ns
uWUE,Raw-lag / 12m,C+M vs C+M+D,65,0.4418,0.4532,2.22,36.9,0.9659,0.9822, ns
uWUE,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.4476,0.4573,-0.05,50.8,0.6645,0.8483, ns
uWUE,Raw-lag / 24m,C+M vs C+M+D,65,0.4598,0.4524,1.66,35.4,0.9895,0.9895, ns
uWUE,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.4579,0.4419,1.01,41.5,0.8397,0.8839, ns
