unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,-0.00161,61.3,0.4493,0.5184,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,-0.15403,61.3,0.09965,0.2624,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-0.18285,58.1,0.1564,0.2629,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,-0.05254,61.3,0.1179,0.2624,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.03132,61.3,0.1612,0.2629,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,31,0.00082,35.5,0.9134,0.9134,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,31,-1.06219,77.4,0.002177,0.09445,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,31,-0.9265,67.7,0.0256,0.192,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,31,-0.03204,54.8,0.1811,0.2629,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,31,0.00497,48.4,0.2558,0.3197,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,31,-0.00201,61.3,0.2558,0.3197,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,31,-0.30276,61.3,0.1341,0.2624,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,31,-1.00108,61.3,0.05734,0.258,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,31,-0.00868,51.6,0.1472,0.2629,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,31,-0.00568,51.6,0.1709,0.2629,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,-0.00087,61.3,0.4649,0.523,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.75101,74.2,0.004198,0.09445,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-0.31399,58.1,0.05512,0.258,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,-0.04767,58.1,0.1179,0.2624,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.01686,51.6,0.295,0.3588,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,31,0.00038,41.9,0.5351,0.5734,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,31,-0.69384,64.5,0.07215,0.2624,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,31,-0.55805,67.7,0.05512,0.258,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,31,-0.04276,61.3,0.09626,0.2624,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,31,-0.03138,54.8,0.1916,0.2694,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low,31,-4e-04,54.8,0.5273,0.5734,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low,31,-0.29421,61.3,0.1141,0.2624,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low,31,-1.00108,61.3,0.05734,0.258,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low,31,0.00071,48.4,0.2372,0.314,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low,31,-0.00568,54.8,0.1067,0.2624,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,31,-0.00018,54.8,0.5661,0.5925,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,31,-0.75101,71,0.01181,0.1771,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,31,-0.31399,58.1,0.06441,0.2624,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,31,-0.03573,54.8,0.1811,0.2629,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,31,-0.01686,51.6,0.3226,0.382,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Mid,31,-0.00168,58.1,0.1299,0.2624,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Mid,31,-0.68398,67.7,0.01594,0.1794,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Mid,31,-0.42578,67.7,0.02127,0.1914,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Mid,31,-0.04276,61.3,0.08661,0.2624,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Mid,31,-0.03138,54.8,0.2253,0.3072,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low,31,0.00095,45.2,0.8189,0.8375,ns
