response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,65,0.039,0.0388,1.88,44.6,0.8841,0.9301, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,65,0.0376,0.038,1.55,43.1,0.846,0.9301, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,65,0.0388,0.0374,-2.46,55.4,0.09341,0.5604, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.0381,0.0374,-3.02,56.9,0.1619,0.7372, ns
ETmax,Anomaly / 24m,C vs C+D,65,0.0396,0.0414,1.23,49.2,0.7129,0.9301, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,65,0.0415,0.0422,1.16,44.6,0.7107,0.9301, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,65,0.0361,0.0331,0.4,47.7,0.6787,0.9301, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.0368,0.0351,2.05,38.5,0.8879,0.9301, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,65,0.0265,0.0266,2.8,40,0.9301,0.9301, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.0264,0.0256,1.2,41.5,0.7475,0.9301, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,65,0.0258,0.0254,-0.49,52.3,0.3308,0.8808, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.0254,0.0259,0.03,49.2,0.407,0.9045, ns
GPPsat,Anomaly / 12m,C vs C+D,65,5.2109,5.0026,-0.44,50.8,0.4223,0.9049, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,65,5.3398,4.8492,-0.31,50.8,0.2546,0.7639, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,65,5.1087,5.0018,-2.93,53.8,0.07808,0.5604, ns
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,65,5.2523,4.9319,-0.28,50.8,0.2242,0.7474, ns
GPPsat,Anomaly / 24m,C vs C+D,65,4.9646,4.8379,-6.05,64.6,0.02497,0.3745, ns
GPPsat,Anomaly / 24m,C+M vs C+M+D,65,4.9593,4.7985,-6.21,66.2,0.03127,0.3752, ns
GPPsat,Anomaly / 24m,C+T vs C+T+D,65,5.0449,4.7278,-3.43,60,0.1133,0.5922, ns
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,65,5.1405,4.5777,-4.09,58.5,0.1184,0.5922, ns
GPPsat,Raw-lag / 12m,C+M vs C+M+D,65,3.6613,3.6977,0.42,46.2,0.6645,0.9301, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.374,3.4449,1.99,46.2,0.846,0.9301, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,65,3.3529,3.3783,0.32,44.6,0.7412,0.9301, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.4445,3.3665,0.71,43.1,0.7454,0.9301, ns
NEPmax,Anomaly / 12m,C vs C+D,65,4.4913,4.6997,-10.36,61.5,0.2089,0.7372, ns
NEPmax,Anomaly / 12m,C+M vs C+M+D,65,4.4748,4.6298,-8.71,55.4,0.2381,0.752, ns
NEPmax,Anomaly / 12m,C+T vs C+T+D,65,5.1618,4.4348,-8,66.2,0.006876,0.1589, ns
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,5.0198,4.4373,-7.71,52.3,0.05396,0.4876, ns
NEPmax,Anomaly / 24m,C vs C+D,65,4.4382,4.1771,-5.88,61.5,0.09232,0.5604, ns
NEPmax,Anomaly / 24m,C+M vs C+M+D,65,4.7468,4.9841,-9.27,64.6,0.05689,0.4876, ns
NEPmax,Anomaly / 24m,C+T vs C+T+D,65,5.2001,4.5006,-6.55,63.1,0.007946,0.1589, ns
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,4.4914,4.275,-0.54,52.3,0.2033,0.7372, ns
