response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,93,0.0353,0.0386,-3.2,52.7,0.2333,0.3214, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,93,0.0345,0.0365,0.02,49.5,0.3608,0.4399, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,93,0.0322,0.0346,-0.08,50.5,0.4331,0.4997, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.0335,0.035,0.41,49.5,0.5924,0.6347, ns
ETmax,Anomaly / 24m,C vs C+D,93,0.0338,0.039,0.07,49.5,0.6799,0.6914, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,93,0.0342,0.0387,1.14,46.2,0.776,0.776, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,93,0.0329,0.0333,-0.66,50.5,0.4451,0.5039, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.035,0.0334,-0.74,52.7,0.6189,0.6515, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,93,0.0271,0.0249,1.09,46.2,0.652,0.6745, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.0252,0.0244,0.69,47.3,0.3665,0.4399, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,93,0.0264,0.0264,-1.83,61.3,0.05721,0.101, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.0258,0.0262,-0.27,52.7,0.3869,0.4552, ns
GPPsat,Anomaly / 12m,C vs C+D,93,5.8291,5.2892,-12.94,67.7,0.0001025,0.0006832,***
GPPsat,Anomaly / 12m,C+M vs C+M+D,93,5.8608,5.2369,-13,66.7,7.32e-05,0.0005839,***
GPPsat,Anomaly / 12m,C+T vs C+T+D,93,5.6014,5.3499,-10.15,65.6,0.0001139,0.0006834,***
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,93,5.7414,5.2435,-9.88,66.7,2.734e-05,0.0003281,***
GPPsat,Anomaly / 24m,C vs C+D,93,6.0191,5.5786,-9.21,65.6,0.0002859,0.00156,**
GPPsat,Anomaly / 24m,C+M vs C+M+D,93,5.972,5.2518,-8.41,65.6,0.001267,0.006334,**
GPPsat,Anomaly / 24m,C+T vs C+T+D,93,6.2205,5.2481,-8.95,63.4,7.785e-05,0.0005839,***
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,93,6.1657,5.2798,-12.8,64.5,2.398e-05,0.0003281,***
GPPsat,Raw-lag / 12m,C+M vs C+M+D,93,3.6718,3.4912,-0.09,51.6,0.1779,0.2603, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,93,3.5524,3.5287,-2.22,57,0.01657,0.03314,*
GPPsat,Raw-lag / 24m,C+M vs C+M+D,93,3.7728,3.7763,-1.53,52.7,0.08749,0.15, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,93,3.7978,3.6576,1.59,47.3,0.4801,0.5335, ns
NEPmax,Anomaly / 12m,C vs C+D,93,5.0443,4.6283,-19.29,67.7,2.067e-05,0.0003281,***
