response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,65,0.037,0.0395,-1.18,53.8,0.2983,0.5751, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,65,0.038,0.0382,0.03,49.2,0.4765,0.6389, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,65,0.0356,0.0324,0.33,49.2,0.4532,0.6389, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.0345,0.034,0.14,49.2,0.6926,0.7991, ns
ETmax,Anomaly / 24m,C vs C+D,65,0.0413,0.0433,-0.56,50.8,0.6597,0.7761, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,65,0.0417,0.0433,-1.18,53.8,0.593,0.7412, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,65,0.0366,0.0357,3.04,38.5,0.9845,0.9845, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.037,0.0373,1.53,40,0.9453,0.9779, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,65,0.0258,0.0265,-1.84,58.5,0.1818,0.5751, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.0252,0.0249,1.07,46.2,0.3355,0.5751, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,65,0.0269,0.0274,1.42,43.1,0.7986,0.8873, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.0261,0.0267,0.82,46.2,0.8639,0.9316, ns
GPPsat,Anomaly / 12m,C vs C+D,65,4.734,4.8605,1.07,49.2,0.2848,0.5751, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,65,4.6937,4.8948,-1.12,53.8,0.1978,0.5751, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,65,4.894,4.5537,-1.53,56.9,0.06641,0.5038, ns
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,65,4.8629,4.4615,-2.35,55.4,0.08099,0.5038, ns
GPPsat,Anomaly / 24m,C vs C+D,65,5.3521,4.5985,-3.08,55.4,0.2893,0.5751, ns
GPPsat,Anomaly / 24m,C+M vs C+M+D,65,5.4153,4.6286,-0.57,55.4,0.2983,0.5751, ns
