unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,0.00045,45.5,0.2795,0.5717,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.73706,63.6,0.142,0.5236,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-0.74859,63.6,0.09158,0.5236,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,-0.01383,54.5,0.2477,0.5308,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,0.00441,45.5,0.7313,0.7836,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,21,0.00057,47.6,0.6743,0.7401,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,21,-0.15997,52.4,0.2327,0.5236,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,21,-0.39558,52.4,0.4585,0.7157,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,21,-0.00854,57.1,0.1924,0.5236,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,21,-0.01877,61.9,0.3383,0.5855,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,22,-6e-04,54.5,0.3365,0.5855,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,22,0.32148,40.9,0.6273,0.7401,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,22,-0.69807,63.6,0.1027,0.5236,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,22,0.00059,50,0.4355,0.7157,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,22,0.00727,40.9,0.7724,0.7899,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,9e-05,50,0.2276,0.5236,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.73706,63.6,0.1817,0.5236,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-0.88824,63.6,0.1571,0.5236,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,-0.01383,54.5,0.1993,0.5236,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,-0.02048,54.5,0.4612,0.7157,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,21,0.00136,38.1,0.9278,0.9278,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,21,0.20574,38.1,0.7673,0.7899,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,21,0.10844,47.6,0.6743,0.7401,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,21,-0.00854,61.9,0.1485,0.5236,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,21,0.00787,47.6,0.6228,0.7401,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low,22,-0.00137,59.1,0.2085,0.5236,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low,22,-0.33963,54.5,0.07201,0.5236,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low,22,-0.88185,68.2,0.02383,0.5236,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low,22,0.00335,45.5,0.5259,0.7401,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low,22,0.00617,45.5,0.6025,0.7401,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,22,0.00045,45.5,0.3247,0.5855,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,22,-0.73706,63.6,0.1817,0.5236,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,22,-0.74859,59.1,0.2276,0.5236,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,22,-0.01383,54.5,0.1817,0.5236,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,22,-0.02048,54.5,0.5,0.7401,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Mid,21,0.00057,47.6,0.6489,0.7401,ns
