response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,65,0.0389,0.0386,2.45,46.2,0.8776,0.9238, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,65,0.0388,0.0394,2.48,44.6,0.8365,0.9097, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,65,0.0345,0.0363,0.33,49.2,0.6597,0.8395, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.0342,0.0347,0.57,46.2,0.6903,0.8452, ns
ETmax,Anomaly / 24m,C vs C+D,65,0.0393,0.0403,1.68,49.2,0.7496,0.8486, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,65,0.0396,0.0403,1.98,46.2,0.6645,0.8395, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,65,0.0348,0.0347,1.6,41.5,0.9754,0.9754, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.0366,0.0352,1.8,43.1,0.9327,0.9649, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,65,0.0281,0.0282,2.11,35.4,0.9535,0.9696, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.0261,0.027,1.06,49.2,0.7433,0.8486, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,65,0.0262,0.0254,0.08,49.2,0.7496,0.8486, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.0254,0.0249,-0.2,52.3,0.7777,0.8642, ns
GPPsat,Anomaly / 12m,C vs C+D,65,5.1405,4.8878,-5.19,53.8,0.2402,0.6783, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,65,5.1264,4.8658,-2.49,52.3,0.2546,0.6783, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,65,5.1776,4.6692,-3.61,55.4,0.09341,0.556, ns
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,65,5.1066,4.7078,-5.3,63.1,0.06898,0.556, ns
GPPsat,Anomaly / 24m,C vs C+D,65,5.0705,4.6181,-2.9,53.8,0.1159,0.556, ns
GPPsat,Anomaly / 24m,C+M vs C+M+D,65,4.9837,4.5473,-3.48,56.9,0.1184,0.556, ns
GPPsat,Anomaly / 24m,C+T vs C+T+D,65,5.4304,4.9366,-0.87,55.4,0.139,0.556, ns
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,65,5.4613,4.7994,-2.51,58.5,0.1024,0.556, ns
GPPsat,Raw-lag / 12m,C+M vs C+M+D,65,3.8603,3.8255,0.79,47.7,0.8491,0.9097, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.5186,3.576,1.51,46.2,0.7475,0.8486, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,65,3.5781,3.557,-0.09,50.8,0.5339,0.8008, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.4573,3.6042,-0.12,52.3,0.5803,0.8242, ns
NEPmax,Anomaly / 12m,C vs C+D,65,4.6225,4.6021,-7.18,58.5,0.1347,0.556, ns
NEPmax,Anomaly / 12m,C+M vs C+M+D,65,4.5781,4.2974,-9.13,60,0.09125,0.556, ns
NEPmax,Anomaly / 12m,C+T vs C+T+D,65,4.6001,4.1844,-4.23,60,0.04051,0.556, ns
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,4.6397,4.2291,-6.45,61.5,0.04782,0.556, ns
NEPmax,Anomaly / 24m,C vs C+D,65,4.2643,4.7748,-5.25,60,0.09672,0.556, ns
NEPmax,Anomaly / 24m,C+M vs C+M+D,65,4.5562,4.3614,-6.86,63.1,0.06812,0.556, ns
NEPmax,Anomaly / 24m,C+T vs C+T+D,65,4.4226,4.4902,-2.8,56.9,0.125,0.556, ns
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,4.4077,4.1881,-3.62,61.5,0.06392,0.556, ns
