unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,-0.00211,54.8,0.07769,0.1371,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,-0.05583,51.6,0.2685,0.33,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-0.68372,64.5,0.01518,0.04553,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,-0.02283,51.6,0.176,0.264,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.01219,51.6,0.197,0.2702,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,62,-1e-05,51.6,0.4304,0.4453,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,62,-0.86674,64.5,0.001286,0.00987,**
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,62,-0.91572,64.5,0.001316,0.00987,**
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,62,-0.028,58.1,0.02247,0.06129,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,62,-0.01518,58.1,0.05266,0.1102,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,0.00166,48.4,0.275,0.33,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.29122,61.3,0.05512,0.1102,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-0.45003,64.5,0.01518,0.04553,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,0.01334,48.4,0.3296,0.3532,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.01219,58.1,0.1428,0.2254,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,62,-0.00072,54.8,0.2505,0.3267,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,62,-0.75656,59.7,0.006037,0.02587,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,62,-0.81462,64.5,0.001145,0.00987,**
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,62,-0.04698,59.7,0.01266,0.04553,*
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,62,-0.01518,54.8,0.07047,0.1321,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,31,0.00176,45.2,0.3226,0.3532,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,31,-0.29122,58.1,0.08974,0.1496,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,31,-0.44381,64.5,0.0256,0.06399,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,31,0.0441,41.9,0.5195,0.5195,ns
