unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,-0.00079,59.5,0.1867,0.2435,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-0.25531,59.5,0.06193,0.1161,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-0.59376,62.2,0.04412,0.1103,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.05012,62.2,0.04006,0.1093,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,-0.06111,56.8,0.2164,0.2534,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,75,-0.00192,58.7,0.06123,0.1161,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,75,-0.77961,70.7,0.001229,0.03544,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,75,-1.07731,64,0.004797,0.03544,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,75,-0.02085,54.7,0.2454,0.2726,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,75,0.00197,46.7,0.6153,0.6592,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,-0.00222,62.2,0.09724,0.1504,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-0.73354,70.3,0.00563,0.03544,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-0.5032,64.9,0.0224,0.06721,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,-0.05012,59.5,0.05162,0.1161,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,-0.06111,56.8,0.1053,0.1504,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,75,-0.00121,57.3,0.102,0.1504,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,75,-0.66072,65.3,0.006781,0.03544,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,75,-1.07731,62.7,0.008316,0.03564,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,75,-0.02085,56,0.2196,0.2534,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,75,0.00197,46.7,0.7377,0.7632,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,37,-0.00167,56.8,0.2033,0.2534,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,37,-0.81051,70.3,0.004944,0.03544,*
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,37,-0.74288,67.6,0.01008,0.03781,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,37,-0.05012,59.5,0.08258,0.1457,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,37,-0.07179,59.5,0.09724,0.1504,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,75,-0.00186,60,0.05933,0.1161,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,75,-0.48736,65.3,0.007087,0.03544,*
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,75,-0.80917,61.3,0.01199,0.03997,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,75,-0.02085,56,0.184,0.2435,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,75,0.01601,45.3,0.7773,0.7773,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,106,-0.00193,61.3,0.01979,0.0742,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,106,-0.70576,69.8,0.0001594,0.004783,**
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,106,-0.94475,65.1,0.0004221,0.006332,**
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low+Mid,106,-0.02739,57.5,0.04835,0.1036,ns
