response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,65,0.0388,0.0399,2.34,36.9,0.8928,0.9398, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,65,0.0381,0.0393,1.79,46.2,0.7777,0.8727, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,65,0.037,0.0376,1.23,43.1,0.9301,0.954, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.0369,0.0376,0.31,49.2,0.704,0.8292, ns
ETmax,Anomaly / 24m,C vs C+D,65,0.0388,0.0404,1.32,46.2,0.6428,0.7911, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,65,0.0394,0.0404,2.57,46.2,0.6056,0.7818, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,65,0.0367,0.0383,-0.5,53.8,0.7152,0.8292, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.0362,0.0373,-0.9,56.9,0.2804,0.6912, ns
ETmax,Raw-lag / 12m,C vs C+D,65,0.0388,0.0399,2.34,36.9,0.8928,0.9398, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,65,0.0256,0.0257,0.77,47.7,0.6692,0.8112, ns
ETmax,Raw-lag / 12m,C+T vs C+T+D,65,0.037,0.0376,1.23,43.1,0.9301,0.954, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.0247,0.0248,-0.56,55.4,0.3919,0.7818, ns
ETmax,Raw-lag / 24m,C vs C+D,65,0.0388,0.0404,1.32,46.2,0.6428,0.7911, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,65,0.0275,0.0252,0.41,46.2,0.5546,0.7818, ns
ETmax,Raw-lag / 24m,C+T vs C+T+D,65,0.0367,0.0383,-0.5,53.8,0.7152,0.8292, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.0261,0.0255,-0.44,50.8,0.5675,0.7818, ns
GPPsat,Anomaly / 12m,C vs C+D,65,4.8214,4.5059,-2.47,56.9,0.2301,0.6137, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,65,4.8876,4.5887,-0.2,50.8,0.3621,0.7818, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,65,5.1405,4.1717,-2.16,56.9,0.07434,0.4294, ns
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,65,5.4294,4.1343,-2.11,53.8,0.1197,0.479, ns
GPPsat,Anomaly / 24m,C vs C+D,65,4.7024,4.4288,-4.75,60,0.1449,0.5039, ns
GPPsat,Anomaly / 24m,C+M vs C+M+D,65,4.6399,4.4069,-5.03,55.4,0.1767,0.5236, ns
GPPsat,Anomaly / 24m,C+T vs C+T+D,65,5.1281,4.1262,-2.41,55.4,0.1171,0.479, ns
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,65,4.9442,4.2515,-1.8,55.4,0.1449,0.5039, ns
GPPsat,Raw-lag / 12m,C vs C+D,65,4.8214,4.5059,-2.47,56.9,0.2301,0.6137, ns
GPPsat,Raw-lag / 12m,C+M vs C+M+D,65,3.5756,3.4181,0.07,49.2,0.6156,0.7818, ns
GPPsat,Raw-lag / 12m,C+T vs C+T+D,65,5.1405,4.1717,-2.16,56.9,0.07434,0.4294, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.4412,3.3072,0.29,49.2,0.5726,0.7818, ns
GPPsat,Raw-lag / 24m,C vs C+D,65,4.7024,4.4288,-4.75,60,0.1449,0.5039, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,65,3.5305,3.2815,1.58,43.1,0.8199,0.8985, ns
GPPsat,Raw-lag / 24m,C+T vs C+T+D,65,5.1281,4.1262,-2.41,55.4,0.1171,0.479, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.3452,3.2915,-0.69,52.3,0.5078,0.7818, ns
NEPmax,Anomaly / 12m,C vs C+D,65,4.352,4.511,-6.28,56.9,0.08807,0.4294, ns
NEPmax,Anomaly / 12m,C+M vs C+M+D,65,4.119,4.3588,-7.45,55.4,0.09125,0.4294, ns
NEPmax,Anomaly / 12m,C+T vs C+T+D,65,4.3458,4.2566,-5.36,64.6,0.008534,0.2276, ns
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,4.4073,4.545,-5.07,63.1,0.01453,0.2906, ns
NEPmax,Anomaly / 24m,C vs C+D,65,4.3749,4.4518,-8.72,63.1,0.04847,0.3525, ns
