SITE_ID,date,label,IGBP,start_time,end_time,longitude_min,longitude_max,latitude_min,latitude_max,t2mmax_mean,t2mmax_min,t2mmax_max,pei_30_mean,pei_30_min,pei_30_max,pei_90_mean,pei_90_min,pei_90_max,pei_180_mean,pei_180_min,pei_180_max,heat,drought30,drought90,drought180,compound,land_share,inth,intd30,intd90,intd180,volume,duration,area
AT-Neu,2013-08-02T02:00:00Z,47381,GRA,2013-08-02T00:00:00Z,2013-08-07T00:00:00Z,11.5,12,46.75,46.75,28.2850782831856,26.2375896994108,31.2282597845187,-0.769933828841174,-0.976083151967809,-0.410489951616891,1.51778332825143,1.12066938233881,2.06432514098026,1.86203374524742,1.64997198914325,2.22622863544432,100,100,0,0,100,100,-1218.42372641995,-1216.54007067725,-848.772348100008,-691.773625119867,12.3332937955856,6 days,2.05554896593094
AT-Neu,2013-08-03T02:00:00Z,47381,GRA,2013-08-02T00:00:00Z,2013-08-07T00:00:00Z,11.5,12,46.75,46.75,28.2850782831856,26.2375896994108,31.2282597845187,-0.769933828841174,-0.976083151967809,-0.410489951616891,1.51778332825143,1.12066938233881,2.06432514098026,1.86203374524742,1.64997198914325,2.22622863544432,100,100,0,0,100,100,-1218.42372641995,-1216.54007067725,-848.772348100008,-691.773625119867,12.3332937955856,6 days,2.05554896593094
AT-Neu,2013-08-04T02:00:00Z,47381,GRA,2013-08-02T00:00:00Z,2013-08-07T00:00:00Z,11.5,12,46.75,46.75,28.2850782831856,26.2375896994108,31.2282597845187,-0.769933828841174,-0.976083151967809,-0.410489951616891,1.51778332825143,1.12066938233881,2.06432514098026,1.86203374524742,1.64997198914325,2.22622863544432,100,100,0,0,100,100,-1218.42372641995,-1216.54007067725,-848.772348100008,-691.773625119867,12.3332937955856,6 days,2.05554896593094
AT-Neu,2013-08-05T02:00:00Z,47381,GRA,2013-08-02T00:00:00Z,2013-08-07T00:00:00Z,11.5,12,46.75,46.75,28.2850782831856,26.2375896994108,31.2282597845187,-0.769933828841174,-0.976083151967809,-0.410489951616891,1.51778332825143,1.12066938233881,2.06432514098026,1.86203374524742,1.64997198914325,2.22622863544432,100,100,0,0,100,100,-1218.42372641995,-1216.54007067725,-848.772348100008,-691.773625119867,12.3332937955856,6 days,2.05554896593094
AT-Neu,2013-08-06T02:00:00Z,47381,GRA,2013-08-02T00:00:00Z,2013-08-07T00:00:00Z,11.5,12,46.75,46.75,28.2850782831856,26.2375896994108,31.2282597845187,-0.769933828841174,-0.976083151967809,-0.410489951616891,1.51778332825143,1.12066938233881,2.06432514098026,1.86203374524742,1.64997198914325,2.22622863544432,100,100,0,0,100,100,-1218.42372641995,-1216.54007067725,-848.772348100008,-691.773625119867,12.3332937955856,6 days,2.05554896593094
AT-Neu,2013-08-07T02:00:00Z,47381,GRA,2013-08-02T00:00:00Z,2013-08-07T00:00:00Z,11.5,12,46.75,46.75,28.2850782831856,26.2375896994108,31.2282597845187,-0.769933828841174,-0.976083151967809,-0.410489951616891,1.51778332825143,1.12066938233881,2.06432514098026,1.86203374524742,1.64997198914325,2.22622863544432,100,100,0,0,100,100,-1218.42372641995,-1216.54007067725,-848.772348100008,-691.773625119867,12.3332937955856,6 days,2.05554896593094
AU-Tum,1965-03-02T01:00:00Z,13902,EBF,1965-03-02T00:00:00Z,1965-03-06T00:00:00Z,147.75,148.5,-36.25,-35.5,33.6582812237492,29.3513582103502,38.2878418350144,-2.6804551733467,-3.15631976011608,-2.06609964657671,-2.05388267739959,-2.66286526383721,-1.34004790309433,0.587280100440268,-0.333531133808073,1.02763268517379,100,48.24,100,0,100,100,-4799.46129516908,-4773.94613011712,-4792.05088323408,-3516.17250779001,48.6812680959702,5 days,9.73625361919403
AU-Tum,1965-03-03T01:00:00Z,13902,EBF,1965-03-02T00:00:00Z,1965-03-06T00:00:00Z,147.75,148.5,-36.25,-35.5,33.6582812237492,29.3513582103502,38.2878418350144,-2.6804551733467,-3.15631976011608,-2.06609964657671,-2.05388267739959,-2.66286526383721,-1.34004790309433,0.587280100440268,-0.333531133808073,1.02763268517379,100,48.24,100,0,100,100,-4799.46129516908,-4773.94613011712,-4792.05088323408,-3516.17250779001,48.6812680959702,5 days,9.73625361919403
AU-Tum,1965-03-04T01:00:00Z,13902,EBF,1965-03-02T00:00:00Z,1965-03-06T00:00:00Z,147.75,148.5,-36.25,-35.5,33.6582812237492,29.3513582103502,38.2878418350144,-2.6804551733467,-3.15631976011608,-2.06609964657671,-2.05388267739959,-2.66286526383721,-1.34004790309433,0.587280100440268,-0.333531133808073,1.02763268517379,100,48.24,100,0,100,100,-4799.46129516908,-4773.94613011712,-4792.05088323408,-3516.17250779001,48.6812680959702,5 days,9.73625361919403
AU-Tum,1965-03-05T01:00:00Z,13902,EBF,1965-03-02T00:00:00Z,1965-03-06T00:00:00Z,147.75,148.5,-36.25,-35.5,33.6582812237492,29.3513582103502,38.2878418350144,-2.6804551733467,-3.15631976011608,-2.06609964657671,-2.05388267739959,-2.66286526383721,-1.34004790309433,0.587280100440268,-0.333531133808073,1.02763268517379,100,48.24,100,0,100,100,-4799.46129516908,-4773.94613011712,-4792.05088323408,-3516.17250779001,48.6812680959702,5 days,9.73625361919403
