"site_id","year","forest_mean_pct_500m","loss_area_frac_500m","loss_mean_pp_500m","loss_sum_pp_500m"
"AR-SLu",2016,0.288130519383326,NA,NA,NA
"AR-SLu",2017,12.392705682782,0,0,0
"AR-SLu",2018,9.47178566082922,0,0,0
"AR-SLu",2019,4.84124133113805,0.000127226463104326,0.00279399291523225,21.9607843137255
"AR-SLu",2020,4.9443696053485,0,0,0
"AR-SLu",2021,7.91498278700793,0,0,0
"AR-SLu",2022,3.89911689866786,0,0,0
"AR-SLu",2023,4.35493688569575,0,0,0
"AR-SLu",2024,3.84588135508656,0,0,0
"AR-Vir",2017,81.8605997106222,NA,NA,NA
"AR-Vir",2018,91.4716359826373,0,0,0
"AR-Vir",2019,94.6862246170733,0,0,0
"AR-Vir",2020,96.2676744998254,0,0,0
"AR-Vir",2021,68.0535847926957,0.31793893129771,27.6385271665918,217238.823529412
"AR-Vir",2022,66.3992915232251,0.0150127226463104,0.370204061268273,2909.80392156863
"AR-Vir",2023,12.2307538791598,0.646055979643766,57.3149229157312,450495.294117647
"AR-Vir",2024,16.4316719054034,0.0648854961832061,4.08222322007683,32086.2745098039
"AR-Vir",2025,29.4332684727835,0.000636132315521629,0.0141695354986778,111.372549019608
"AT-Neu",2017,8.59532006186699,NA,NA,NA
"AT-Neu",2018,8.67370154168538,0.00114503816793893,0.0275906800379185,216.862745098039
"AT-Neu",2019,7.86908147482912,0.0278625954198473,1.15920770343761,9111.37254901961
"AT-Neu",2020,8.48380980891084,0.000127226463104326,0.00254452926208651,20
"AT-Neu",2021,8.51579104924413,0.00114503816793893,0.0312827421044754,245.882352941176
"AT-Neu",2022,9.33128773137754,0.000254452926208651,0.00962929701142544,75.6862745098039
"AT-Neu",2023,9.90615177368657,0.000763358778625954,0.022701192436262,178.43137254902
"AT-Neu",2024,10.6495534600609,0.00279898218829517,0.0951953300404131,748.235294117647
"AT-Neu",2025,10.3894626552911,0.000254452926208651,0.0055879858304645,43.921568627451
"AU-Boy",2016,8.57710921518735,NA,NA,NA
"AU-Boy",2017,24.9750037419548,0,0,0
"AU-Boy",2018,11.8837000449035,0.236132315521628,6.27006935089557,49282.7450980392
"AU-Boy",2019,9.65334530758869,0.00203562340966921,0.0432569974554707,340
"AU-Boy",2020,8.82936686124832,0.0304071246819338,0.739909195230255,5815.6862745098
"AU-Boy",2021,10.8127026892182,0.000127226463104326,0.00254452926208651,20
"AU-Boy",2022,22.5524622062565,0,0,0
"AU-Boy",2023,26.9521528713266,0.000381679389312977,0.00818240782318016,64.3137254901961
"AU-Boy",2024,19.0371201915881,0.0571246819338422,1.35882851868483,10680.3921568627
"AU-Emr",2017,1.53485007234446,NA,NA,NA
"AU-Emr",2018,3.16075437808711,0.00470737913486005,0.135508656388764,1065.09803921569
"AU-Emr",2019,1.38207853115801,0.00458015267175573,0.101681385022202,799.21568627451
"AU-Emr",2020,1.20830215037669,0.00101781170483461,0.0229506560894078,180.392156862745
"AU-Emr",2021,1.28892880307339,0,0,0
"AU-Emr",2022,2.29501571621015,0,0,0
"AU-Emr",2023,2.12163847727386,0.00101781170483461,0.0214039814399042,168.235294117647
"AU-Emr",2024,2.8589532505114,0,0,0
"AU-Emr",2025,3.28837998303647,0,0,0
"AU-Gin",2016,10.7865588983685,NA,NA,NA
"AU-Gin",2017,18.028388963728,0.0262086513994911,0.630743900613681,4957.64705882353
"AU-Gin",2018,21.1622012672754,0.000254452926208651,0.0056877712917228,44.7058823529412
"AU-Gin",2019,15.0299356383775,0.0320610687022901,0.707878062166342,5563.92156862745
"AU-Gin",2020,18.9859302499626,0.000508905852417303,0.0107269370852667,84.3137254901961
"AU-Gin",2021,21.1511250810757,0,0,0
"AU-Gin",2022,20.0437060320311,0.000254452926208651,0.00523873671606047,41.1764705882353
"AU-Gin",2023,15.6030035423839,0.00229007633587786,0.0495933742453724,389.803921568627
"AU-Gin",2024,10.3890136207155,0.0351145038167939,0.816744000399142,6419.60784313726
"AU-GWW",2016,12.9988025744649,NA,NA,NA
"AU-GWW",2017,17.2198772638827,0.00966921119592875,0.225515142443746,1772.54901960784
"AU-GWW",2018,19.5484707878062,0.000127226463104326,0.00294367110711969,23.1372549019608
"AU-GWW",2019,19.5364466397246,0,0,0
"AU-GWW",2020,21.1128573566831,0,0,0
"AU-GWW",2021,20.0880107768298,0,0,0
"AU-GWW",2022,18.3304395549568,0,0,0
"AU-GWW",2023,18.2003692062067,0,0,0
"AU-GWW",2024,15.666616773936,0.000127226463104326,0.00259442199271566,20.3921568627451
"AU-GWW",2025,15.4783216085416,0,0,0
"AU-Lon",2017,0,NA,NA,NA
"AU-Lon",2018,0,0,0,0
"AU-Lon",2019,0,0,0,0
"AU-Lon",2020,0,0,0,0
"AU-Lon",2021,0,0,0,0
"AU-Lon",2022,0,0,0,0
"AU-Lon",2023,0,0,0,0
"AU-Lon",2024,0,0,0,0
"AU-Lon",2025,0,0,0,0
"AU-Rgf",2016,0.647358179913187,NA,NA,NA
"AU-Rgf",2017,1.79993015017712,0,0,0
"AU-Rgf",2018,1.74908945766602,0.000254452926208651,0.00578755675298109,45.4901960784314
"AU-Rgf",2019,1.69740058873422,0.00330788804071247,0.0870628149478621,684.313725490196
"AU-Rgf",2020,2.1990719952103,0,0,0
"AU-Rgf",2021,2.3711021304196,0.000508905852417303,0.0124731826572868,98.0392156862745
"AU-Rgf",2022,2.75612433268473,0.00241730279898219,0.0672055081574615,528.235294117647
"AU-Rgf",2023,4.4748291173976,0.000127226463104326,0.00279399291523225,21.9607843137255
"AU-Rgf",2024,4.6519982038617,0.000254452926208651,0.00573766402235194,45.0980392156863
"AU-Rig",2016,1.09823878660879,NA,NA,NA
"AU-Rig",2017,2.25869380831213,0,0,0
"AU-Rig",2018,2.68722247168588,0.000636132315521629,0.0152172828418899,119.607843137255
"AU-Rig",2019,2.25954198473282,0.00432569974554707,0.118495235244225,931.372549019608
"AU-Rig",2020,2.07588684328693,0.000254452926208651,0.00658584044304745,51.7647058823529
"AU-Rig",2021,2.53360275407873,0,0,0
"AU-Rig",2022,2.96048495734172,0,0,0
"AU-Rig",2023,2.83111310682034,0.00127226463104326,0.0305343511450382,240
"AU-Rig",2024,2.67430025445293,0.000381679389312977,0.00932994062765055,73.3333333333333
"AU-Rig",2025,2.59512049094447,0.000381679389312977,0.00863144239884249,67.843137254902
"AU-Rob",2017,93.332435264182,NA,NA,NA
"AU-Rob",2018,95.8841490794791,0.000127226463104326,0.00314324202963628,24.7058823529412
"AU-Rob",2019,97.3930050391658,0.000636132315521629,0.0207054832110961,162.745098039216
"AU-Rob",2020,97.5340018959238,0,0,0
"AU-Rob",2021,98.153370253954,0,0,0
"AU-Rob",2022,98.2615875866886,0.000763358778625954,0.0212543032480168,167.058823529412
"AU-Rob",2023,98.3890635134461,0,0,0
"AU-Rob",2024,98.4577159107918,0.00114503816793893,0.0295364965324552,232.156862745098
"AU-Rob",2025,98.5955695255201,0,0,0
"AU-Wac",2016,67.7253904106172,NA,NA,NA
"AU-Wac",2017,83.1473831262785,0,0,0
"AU-Wac",2018,90.2308536646211,0,0,0
"AU-Wac",2019,92.8494237389612,0,0,0
"AU-Wac",2020,93.9062016664172,0,0,0
"AU-Wac",2021,94.8824028339071,0,0,0
"AU-Wac",2022,96.5427830165145,0,0,0
"AU-Wac",2023,96.8841989722097,0,0,0
"AU-Wac",2024,96.7423040463004,0,0,0
"AU-War",2016,2.69660230504416,NA,NA,NA
"AU-War",2017,19.7540288379983,0.000508905852417303,0.0123733971960285,97.2549019607843
"AU-War",2018,59.9339919173776,0,0,0
"AU-War",2019,63.8962231202914,0.124300254452926,3.99346405228758,31388.6274509804
"AU-War",2020,62.9247118694806,0.0376590330788804,0.994412014169536,7816.07843137255
"AU-War",2021,65.0354737314773,0.027735368956743,0.762909744050292,5996.47058823529
"AU-War",2022,66.6309434715362,0.00216284987277354,0.0489447687471935,384.705882352941
"AU-War",2023,67.3577807713416,0.00127226463104326,0.0295863892630844,232.549019607843
"AU-War",2024,74.4065758618969,0.00089058524173028,0.0232999052038118,183.137254901961
"AU-Whr",2016,11.7473931048246,NA,NA,NA
"AU-Whr",2017,43.3583794841092,0,0,0
"AU-Whr",2018,39.5413860200569,0.021882951653944,0.560245472234695,4403.52941176471
"AU-Whr",2019,25.5440802275109,0.178498727735369,4.61827071795639,36299.6078431373
"AU-Whr",2020,9.25280646609789,0.306743002544529,7.47273362271117,58735.6862745098
"AU-Whr",2021,16.547023898618,0,0,0
"AU-Whr",2022,18.1101631492292,0,0,0
"AU-Whr",2023,35.5736167240433,0,0,0
"AU-Whr",2024,40.218480267425,0,0,0
"AU-Wom",2016,15.9467644564187,NA,NA,NA
"AU-Wom",2017,18.8752182806965,0.0161577608142494,0.388664371601058,3054.90196078431
"AU-Wom",2018,90.433068901861,0,0,0
"AU-Wom",2019,92.1824078231802,0,0,0
"AU-Wom",2020,93.1000349249114,0,0,0
"AU-Wom",2021,94.183904605099,0,0,0
"AU-Wom",2022,93.0680037918475,0.00725190839694656,0.21473831262785,1687.8431372549
"AU-Wom",2023,92.3376241081674,0.000763358778625954,0.0176620266427182,138.823529411765
"AU-Wom",2024,87.8611984233897,0.00089058524173028,0.0185600957940428,145.882352941176
"AU-Wom",2025,90.4856059472135,0.00559796437659033,0.146485057127177,1151.37254901961
"AU-Ync",2016,0.00454023848725241,NA,NA,NA
"AU-Ync",2017,0.0105273661627501,0,0,0
"AU-Ync",2018,0,0,0,0
"AU-Ync",2019,0,0,0,0
"AU-Ync",2020,0,0,0,0
"AU-Ync",2021,0.0922017662026643,0,0,0
"AU-Ync",2022,6.01786159756523,0,0,0
"AU-Ync",2023,10.9100434066756,0.00203562340966921,0.0489946614778227,385.098039215686
"AU-Ync",2024,1.50042408821035,0.0765903307888041,1.76999451179963,13912.1568627451
"BR-CST",2017,5.11180960933992,NA,NA,NA
"BR-CST",2018,17.9114404031333,0,0,0
"BR-CST",2019,15.6239085965175,0.0539440203562341,1.49633288429876,11761.1764705882
"BR-CST",2020,29.9715611435414,0.000381679389312977,0.00783315870877613,61.5686274509804
"BR-CST",2021,26.4673951005339,0.139821882951654,4.45093049942623,34984.3137254902
"BR-CST",2022,28.3765903307888,0.00826972010178117,0.19253604749788,1513.33333333333
