learner,response,grp,median_pct,sites_improved,p,q,sig
XGBoost (Optuna),GPPsat,12m,-7.57,67.7,0.000106,0.000282,***
XGBoost (Optuna),GPPsat,24m,-7.5,65.6,0.000136,0.000312,***
LightGBM (Optuna),GPPsat,12m,-8.32,67.7,4.36e-05,0.00014,***
LightGBM (Optuna),GPPsat,24m,-7.61,65.6,0.000203,0.000405,***
XGBoost (Optuna),NEPmax,12m,-13.35,74.2,1.09e-06,7.15e-06,***
XGBoost (Optuna),NEPmax,24m,-13.12,68.8,1.34e-06,7.15e-06,***
LightGBM (Optuna),NEPmax,12m,-12.72,76.3,1.13e-06,7.15e-06,***
LightGBM (Optuna),NEPmax,24m,-12.52,72,1.84e-05,7.36e-05,***
XGBoost (Optuna),ETmax,12m,1.7,46.2,0.751,0.751,ns
XGBoost (Optuna),ETmax,24m,0.84,45.2,0.689,0.745,ns
LightGBM (Optuna),ETmax,12m,0.85,46.2,0.699,0.745,ns
LightGBM (Optuna),ETmax,24m,0.94,47.3,0.62,0.745,ns
XGBoost (Optuna),WUE,12m,-3.86,57,0.0133,0.0212,*
XGBoost (Optuna),WUE,24m,-4.13,55.9,0.0169,0.0246,*
LightGBM (Optuna),WUE,12m,-3.79,57,0.0211,0.0282,*
LightGBM (Optuna),WUE,24m,-6.59,59.1,0.00572,0.0102,*
