learner,response,Climate,Traits,Disturbance
Random forest (Optuna),GPPsat,31.7820757024483,40.9708737300568,27.2470505674949
Random forest (Optuna),NEPmax,28.2129735983356,45.4495446728454,26.337481728819
Random forest (Optuna),ETmax,52.5792596254528,38.427364271306,8.99337610324119
Random forest (Optuna),WUE,46.9293347949743,11.7757778269085,41.2948873781172
XGBoost (Optuna),GPPsat,43.2102868728682,25.6093101177884,31.1804030093435
XGBoost (Optuna),NEPmax,37.4507363518797,30.4535119768686,32.0957516712517
XGBoost (Optuna),ETmax,53.7066057162079,31.0763453413943,15.2170489423978
XGBoost (Optuna),WUE,50.4512834659167,11.818863418682,37.7298531154013
LightGBM (Optuna),GPPsat,45.9085095033538,24.5025168297213,29.5889736669249
LightGBM (Optuna),NEPmax,41.8179868094394,25.2405380808809,32.9414751096797
LightGBM (Optuna),ETmax,55.936083199709,30.3181890345873,13.7457277657037
LightGBM (Optuna),WUE,51.9168925412896,11.5657867078654,36.5173207508451
