metric,learner,response,window,n_low,n_high,med_low,med_high,p,q,sig
relative mortality,XGBoost (Optuna),GPPsat,12m,64,29,1.031,-1.032,6.52e-05,0.000174,***
relative mortality,XGBoost (Optuna),GPPsat,24m,64,29,1.138,-1.02,5.09e-05,0.000163,***
relative mortality,LightGBM (Optuna),GPPsat,12m,64,29,1.044,-0.988,0.00131,0.00175,**
relative mortality,LightGBM (Optuna),GPPsat,24m,64,29,0.931,-0.737,0.000473,0.000688,***
relative mortality,XGBoost (Optuna),NEPmax,12m,64,29,1.323,-1.582,0.000431,0.000688,***
relative mortality,XGBoost (Optuna),NEPmax,24m,64,29,1.286,-1.43,0.000392,0.000688,***
relative mortality,LightGBM (Optuna),NEPmax,12m,64,29,1.5,-1.783,0.000267,0.000535,***
relative mortality,LightGBM (Optuna),NEPmax,24m,64,29,1.409,-1.8,0.000267,0.000535,***
relative mortality,XGBoost (Optuna),ETmax,12m,64,29,0.001,-0.002,0.0947,0.0997,ns
relative mortality,XGBoost (Optuna),ETmax,24m,64,29,0.001,-0.002,0.0997,0.0997,ns
relative mortality,LightGBM (Optuna),ETmax,12m,64,29,0.001,-0.002,0.0314,0.0359,*
relative mortality,LightGBM (Optuna),ETmax,24m,64,29,0.001,-0.001,0.0187,0.023,*
relative mortality,XGBoost (Optuna),WUE,12m,64,29,0.172,-0.29,1.22e-05,9.72e-05,***
relative mortality,XGBoost (Optuna),WUE,24m,64,29,0.152,-0.281,2.96e-06,4.74e-05,***
relative mortality,LightGBM (Optuna),WUE,12m,64,29,0.184,-0.258,4.74e-05,0.000163,***
relative mortality,LightGBM (Optuna),WUE,24m,64,29,0.16,-0.269,2.3e-05,0.000123,***
relative disturbance,XGBoost (Optuna),GPPsat,12m,65,28,1,-1.154,5.52e-05,0.000147,***
relative disturbance,XGBoost (Optuna),GPPsat,24m,65,28,1.122,-1.191,4.78e-05,0.000147,***
relative disturbance,LightGBM (Optuna),GPPsat,12m,65,28,1.004,-0.917,0.00192,0.00255,**
relative disturbance,LightGBM (Optuna),GPPsat,24m,65,28,0.915,-0.732,0.000727,0.00106,**
relative disturbance,XGBoost (Optuna),NEPmax,12m,65,28,1.289,-1.805,0.000402,0.000644,***
relative disturbance,XGBoost (Optuna),NEPmax,24m,65,28,1.195,-1.853,0.000312,0.000554,***
relative disturbance,LightGBM (Optuna),NEPmax,12m,65,28,1.491,-2.117,0.000204,0.000466,***
relative disturbance,LightGBM (Optuna),NEPmax,24m,65,28,1.381,-1.867,0.000248,0.000496,***
relative disturbance,XGBoost (Optuna),ETmax,12m,65,28,0.001,-0.002,0.217,0.217,ns
relative disturbance,XGBoost (Optuna),ETmax,24m,65,28,0.001,-0.002,0.12,0.128,ns
relative disturbance,LightGBM (Optuna),ETmax,12m,65,28,0.001,-0.002,0.031,0.0355,*
relative disturbance,LightGBM (Optuna),ETmax,24m,65,28,0.001,-0.002,0.0124,0.0153,*
relative disturbance,XGBoost (Optuna),WUE,12m,65,28,0.173,-0.284,4.32e-07,3.45e-06,***
relative disturbance,XGBoost (Optuna),WUE,24m,65,28,0.173,-0.237,1.23e-07,1.97e-06,***
relative disturbance,LightGBM (Optuna),WUE,12m,65,28,0.206,-0.276,2.68e-06,1.07e-05,***
relative disturbance,LightGBM (Optuna),WUE,24m,65,28,0.18,-0.291,9.41e-07,5.02e-06,***
