response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,112,0.0385,0.0387,-1.7,55.4,0.1303,0.2234, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,112,0.0377,0.0385,-5.06,58,0.09946,0.1808, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,112,0.0316,0.0325,0.88,45.5,0.6876,0.6876, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.0334,0.0321,-0.7,53.6,0.6081,0.6634, ns
ETmax,Anomaly / 24m,C vs C+D,112,0.0359,0.0409,0.99,49.1,0.6647,0.6876, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,112,0.0367,0.04,-1.62,50.9,0.2318,0.3659, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,112,0.0326,0.0333,-0.38,51.8,0.3032,0.4664, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.0333,0.0327,1.38,45.5,0.6773,0.6876, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,112,0.0277,0.0256,0.55,48.2,0.3217,0.4753, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.0262,0.0268,0.63,49.1,0.5969,0.6634, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,112,0.0245,0.026,0.71,49.1,0.4647,0.5809, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.0247,0.0256,-4.39,58,0.03963,0.09512, ns
GPPsat,Anomaly / 12m,C vs C+D,112,5.6283,5.0159,-20.32,69.6,3.154e-06,3.784e-05,***
GPPsat,Anomaly / 12m,C+M vs C+M+D,112,5.8297,4.998,-21.55,72.3,1.135e-06,3.405e-05,***
GPPsat,Anomaly / 12m,C+T vs C+T+D,112,5.3338,4.4171,-17.16,70.5,1.103e-05,7.547e-05,***
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,112,5.5051,4.3527,-16.24,67.9,1.712e-06,3.425e-05,***
GPPsat,Anomaly / 24m,C vs C+D,112,5.5761,5.0488,-16.61,70.5,2.328e-06,3.493e-05,***
GPPsat,Anomaly / 24m,C+M vs C+M+D,112,5.8414,5.1625,-19.26,70.5,5.499e-07,3.299e-05,***
GPPsat,Anomaly / 24m,C+T vs C+T+D,112,5.2099,4.6361,-13.04,69.6,1.061e-05,7.547e-05,***
