unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,0.00015,48.6,0.2832,0.3186,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-1.09291,67.6,0.002753,0.01941,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-0.98383,62.2,0.006678,0.02724,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.05832,56.8,0.1289,0.1872,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,0.01933,48.6,0.2987,0.3279,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,37,-0.00383,67.6,0.0657,0.1232,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,37,-1.09029,70.3,0.01278,0.04109,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,37,-0.36308,56.8,0.1167,0.181,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,37,-0.00498,54.1,0.108,0.1749,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,37,-0.04558,59.5,0.07377,0.1328,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,38,8e-05,50,0.5058,0.5293,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,38,-0.92395,71.1,0.002238,0.01941,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,38,-0.9844,63.2,0.003978,0.02072,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,38,-0.0766,65.8,0.04352,0.1031,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,38,-0.06386,68.4,0.05533,0.1115,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,-0.00383,62.2,0.03397,0.08492,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-1.12505,70.3,0.0006912,0.01555,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-0.64504,64.9,0.004944,0.02225,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,-0.00498,54.1,0.1787,0.2234,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,-0.02478,54.1,0.1597,0.2114,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,37,-0.00081,56.8,0.1561,0.2114,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,37,-1.36389,78.4,0.001554,0.01748,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,37,-1.27398,59.5,0.007263,0.02724,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,37,-0.06792,64.9,0.02866,0.0806,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,37,-0.07343,62.2,0.03069,0.08125,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low,38,0.00046,47.4,0.8079,0.8079,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low,38,-0.51527,60.5,0.05697,0.1115,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low,38,-0.36889,57.9,0.09347,0.1618,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low,38,-0.08843,57.9,0.1384,0.1946,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low,38,-0.03736,60.5,0.2342,0.2773,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,37,-0.00162,64.9,0.02322,0.06966,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,37,-1.312,67.6,0.001408,0.01748,*
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,37,-1.56797,64.9,0.003019,0.01941,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,37,-0.0023,51.4,0.3643,0.3903,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,37,-0.02326,51.4,0.1709,0.2198,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Mid,37,-0.00081,54.1,0.2439,0.2814,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Mid,37,-1.36389,83.8,0.0004517,0.01555,*
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Mid,37,-1.27398,64.9,0.004144,0.02072,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Mid,37,-0.07571,64.9,0.01278,0.04109,*
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Mid,37,-0.05078,62.2,0.1289,0.1872,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low,38,0.00096,47.4,0.7476,0.7646,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low,38,-0.46317,57.9,0.1088,0.1749,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low,38,-0.22132,52.6,0.2211,0.2689,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low,38,-0.08843,60.5,0.05216,0.1115,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low,38,-0.05218,63.2,0.05063,0.1115,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Mid,52,-0.00033,53.8,0.2128,0.2992,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Mid,52,-1.10898,63.5,0.008411,0.03785,*
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Mid,52,-0.65795,59.6,0.01957,0.05504,ns
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Mid,52,-0.0753,59.6,0.01393,0.04847,*
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Mid,52,-0.04614,59.6,0.0422,0.07912,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low,54,-0.00277,55.6,0.262,0.3573,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low,54,-1.07814,75.9,8.7e-05,0.003915,**
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low,54,-0.87287,63,0.001119,0.01117,*
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low,54,-0.04476,59.3,0.114,0.1761,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low,54,-0.03736,59.3,0.1174,0.1761,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,6,-0.00253,66.7,0.417,0.4938,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,6,-0.4593,66.7,0.1473,0.2138,ns
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,6,0.07374,50,0.417,0.4938,ns
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,6,-0.02838,50,0.583,0.6201,ns
