response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,112,0.0371,0.0403,-0.33,50.9,0.6059,0.6377, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,112,0.0381,0.0404,0.74,49.1,0.3852,0.4717, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,112,0.0346,0.0351,0.18,49.1,0.3611,0.4609, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.0344,0.0359,1.02,49.1,0.7629,0.7892, ns
ETmax,Anomaly / 24m,C vs C+D,112,0.0371,0.0411,-4.57,55.4,0.08064,0.1728, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,112,0.0383,0.039,0.81,48.2,0.1899,0.308, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,112,0.0337,0.0368,3.48,41.1,0.8132,0.8132, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.0343,0.0348,-2.75,54.5,0.3248,0.4318, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,112,0.0277,0.0292,0.67,49.1,0.5629,0.614, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.0271,0.029,-0.42,50.9,0.3964,0.4757, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,112,0.026,0.0261,-1.6,51.8,0.3311,0.4318, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.0278,0.0271,-4.07,55.4,0.05631,0.1424, ns
GPPsat,Anomaly / 12m,C vs C+D,112,5.6332,5.5159,-12.33,58.9,0.001739,0.008695,**
GPPsat,Anomaly / 12m,C+M vs C+M+D,112,5.6942,5.1679,-14.11,67,2.637e-06,7.912e-05,***
GPPsat,Anomaly / 12m,C+T vs C+T+D,112,5.4915,4.6219,-10.85,67,2.461e-06,7.912e-05,***
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,112,5.539,4.7535,-10.21,63.4,0.0001565,0.001565,**
GPPsat,Anomaly / 24m,C vs C+D,112,5.4875,5.741,-11.88,61.6,0.0009801,0.005881,**
GPPsat,Anomaly / 24m,C+M vs C+M+D,112,5.6457,5.5677,-13.57,61.6,0.0004505,0.003163,**
GPPsat,Anomaly / 24m,C+T vs C+T+D,112,5.0523,5.0687,-7.09,59.8,0.01404,0.0437,*
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,112,5.1468,4.9148,-7.39,60.7,0.007581,0.03033,*
GPPsat,Raw-lag / 12m,C+M vs C+M+D,112,3.5136,3.3972,-1.36,53.6,0.1891,0.308, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,112,3.243,3.3612,0.78,49.1,0.2247,0.3538, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,112,3.2686,3.2934,0.67,48.2,0.5754,0.6165, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,112,3.2878,3.18,0.04,49.1,0.4567,0.5074, ns
NEPmax,Anomaly / 12m,C vs C+D,112,5.1621,4.5774,-17.03,68.8,2.643e-05,0.0004828,***
NEPmax,Anomaly / 12m,C+M vs C+M+D,112,5.1179,4.7126,-14.65,59.8,0.001179,0.00643,**
NEPmax,Anomaly / 12m,C+T vs C+T+D,112,4.8536,4.4887,-10,60.7,0.002017,0.009308,**
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,4.7168,4.2094,-8.74,60.7,0.0004745,0.003163,**
NEPmax,Anomaly / 24m,C vs C+D,112,5.0466,4.7206,-17.76,66.1,3.219e-05,0.0004828,***
NEPmax,Anomaly / 24m,C+M vs C+M+D,112,5.0353,4.6598,-16.76,60.7,0.0002134,0.001829,**
NEPmax,Anomaly / 24m,C+T vs C+T+D,112,4.8813,4.5649,-9.72,58.9,0.005608,0.02404,*
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,4.9095,4.8447,-13.87,69.6,0.000109,0.001308,**
NEPmax,Raw-lag / 12m,C+M vs C+M+D,112,3.0797,2.8428,1.64,48.2,0.4189,0.4834, ns
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,2.8697,2.8588,0.86,46.4,0.4371,0.4949, ns
NEPmax,Raw-lag / 24m,C+M vs C+M+D,112,2.9012,2.8758,-3.98,54.5,0.05123,0.1397, ns
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,2.9331,2.7325,-2.19,54.5,0.1837,0.308, ns
WUE,Anomaly / 12m,C vs C+D,112,0.7506,0.7079,-0.17,50,0.2677,0.3824, ns
WUE,Anomaly / 12m,C+M vs C+M+D,112,0.7677,0.6935,-11.4,59.8,0.0207,0.05915, ns
WUE,Anomaly / 12m,C+T vs C+T+D,112,0.6999,0.7246,-5.73,55.4,0.1372,0.2506, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.7344,0.7703,-3.42,57.1,0.1378,0.2506, ns
WUE,Anomaly / 24m,C vs C+D,112,0.7305,0.7322,-2.43,54.5,0.1806,0.308, ns
WUE,Anomaly / 24m,C+M vs C+M+D,112,0.7303,0.7562,-2.89,50.9,0.23,0.3538, ns
WUE,Anomaly / 24m,C+T vs C+T+D,112,0.7712,0.7846,-7.04,56.2,0.06763,0.1561, ns
WUE,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.7096,0.7493,-0.6,50.9,0.3742,0.4677, ns
WUE,Raw-lag / 12m,C+M vs C+M+D,112,0.4743,0.5037,2.7,45.5,0.7839,0.7971, ns
WUE,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.4721,0.4656,-4.25,58,0.05697,0.1424, ns
WUE,Raw-lag / 24m,C+M vs C+M+D,112,0.4373,0.4366,-1.72,51.8,0.238,0.357, ns
WUE,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.451,0.4426,-2.67,53.6,0.2489,0.3643, ns
uWUE,Anomaly / 12m,C vs C+D,112,0.7332,0.6781,-3.57,51.8,0.1201,0.2325, ns
uWUE,Anomaly / 12m,C+M vs C+M+D,112,0.7216,0.6627,-7.78,58,0.01038,0.03892,*
uWUE,Anomaly / 12m,C+T vs C+T+D,112,0.7491,0.7224,-3.73,54.5,0.1173,0.2325, ns
uWUE,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.7329,0.7152,-4.69,59.8,0.01182,0.04171,*
uWUE,Anomaly / 24m,C vs C+D,112,0.7576,0.7107,-3.77,55.4,0.08021,0.1728, ns
uWUE,Anomaly / 24m,C+M vs C+M+D,112,0.7198,0.6611,-0.26,50.9,0.1031,0.2132, ns
uWUE,Anomaly / 24m,C+T vs C+T+D,112,0.6996,0.6591,-3.12,55.4,0.06688,0.1561, ns
uWUE,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.7102,0.7026,-5.56,58.9,0.01393,0.0437,*
uWUE,Raw-lag / 12m,C+M vs C+M+D,112,0.4747,0.4966,1.53,46.4,0.4178,0.4834, ns
uWUE,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.5012,0.4758,-4.8,59.8,0.01457,0.0437,*
uWUE,Raw-lag / 24m,C+M vs C+M+D,112,0.4441,0.4642,-2.64,54.5,0.2783,0.3883, ns
uWUE,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.4493,0.479,-1.53,53.6,0.329,0.4318, ns
