unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,0.00075,45.9,0.6128,0.6566,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-0.41041,56.8,0.0849,0.2122,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-0.81678,67.6,0.01182,0.04098,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.04179,51.4,0.2033,0.363,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,-0.02977,51.4,0.2731,0.3901,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,75,-0.00075,53.3,0.5949,0.6566,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,75,-0.66424,60,0.003512,0.01699,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,75,-1.28388,69.3,0.0004694,0.01392,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,75,0.00137,49.3,0.4444,0.5332,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,75,-0.02978,52,0.1572,0.317,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,-0.00075,59.5,0.3419,0.4662,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-0.69089,64.9,0.003963,0.01699,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-0.90959,75.7,0.001479,0.01392,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,0.00481,43.2,0.4341,0.5332,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,0.00026,48.6,0.2164,0.363,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,75,0.00079,46.7,0.7077,0.7077,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,75,-0.29696,56,0.03024,0.08248,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,75,-1.06526,65.3,0.001856,0.01392,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,75,-0.03135,53.3,0.2589,0.3883,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,75,-0.03502,53.3,0.1585,0.317,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,37,-0.00051,56.8,0.4282,0.5332,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,37,-0.66424,59.5,0.01229,0.04098,*
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,37,-1.1129,75.7,0.001275,0.01392,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,37,0.00481,43.2,0.4639,0.5353,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,37,0.00026,48.6,0.2299,0.363,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,75,0.00046,48,0.6588,0.6815,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,75,-0.47147,58.7,0.02063,0.06189,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,75,-0.88439,65.3,0.002344,0.01406,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,75,-0.03135,53.3,0.2259,0.363,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,75,-0.03502,53.3,0.1401,0.317,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,106,-0.00023,51.9,0.575,0.6389,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,106,-0.55662,59.4,0.002771,0.02079,*
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,106,-1.08908,69.8,3.62e-05,0.001086,**
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low+Mid,106,-0.00855,50.9,0.2789,0.4403,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low+Mid,106,-0.02977,51.9,0.1224,0.2623,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,6,0.00141,33.3,0.6625,0.7098,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,6,-0.1725,50,0.2647,0.4403,ns
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,6,-0.31636,50,0.417,0.5957,ns
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,6,0.0323,33.3,0.5,0.625,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,6,-0.00399,50,0.417,0.5957,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Low+Mid,104,-0.00036,52.9,0.4916,0.625,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Low+Mid,104,-0.42216,56.7,0.004945,0.02967,*
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Low+Mid,104,-0.93002,67.3,0.0001171,0.001756,**
M1vsM2_12m,equal_width,Relative Mortality,WUE,Low+Mid,104,0.00931,47.1,0.4851,0.625,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,Low+Mid,104,-0.02486,51,0.2177,0.4082,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,High,8,0.00383,25,0.883,0.883,ns
