response,model,min_data_in_leaf,num_leaves,cv_rmse,cv_r2
GPPsat,M2_12m,5,7,6.67463776672095,0.448072211982155
GPPsat,M2_12m,5,15,6.7543128800233,0.43481684900621
GPPsat,M2_12m,5,31,6.8002354743014,0.427105358596527
GPPsat,M2_12m,10,7,6.64199262761622,0.453457881828873
GPPsat,M2_12m,10,15,6.68086233999236,0.447042308335577
GPPsat,M2_12m,10,31,6.78381446322369,0.429868836654994
GPPsat,M2_12m,20,7,6.60545421161957,0.459454532616235
GPPsat,M2_12m,20,15,6.53450851151801,0.471003604090647
GPPsat,M2_12m,20,31,6.53450851151801,0.471003604090647
GPPsat,M2_12m,40,7,6.7876340223562,0.429226642575108
GPPsat,M2_12m,40,15,6.7876340223562,0.429226642575108
GPPsat,M2_12m,40,31,6.7876340223562,0.429226642575108
GPPsat,M6_raw_12m,5,7,4.96589183498516,0.694492857187093
GPPsat,M6_raw_12m,5,15,4.90404750295753,0.702054936773697
GPPsat,M6_raw_12m,5,31,5.0231869450864,0.687402471595419
GPPsat,M6_raw_12m,10,7,4.92038086042862,0.700066967742788
GPPsat,M6_raw_12m,10,15,4.9642444554865,0.694695520773284
GPPsat,M6_raw_12m,10,31,4.8912267396492,0.703610749570527
GPPsat,M6_raw_12m,20,7,4.96884448849448,0.694129448179073
GPPsat,M6_raw_12m,20,15,4.88667967255272,0.704161562461896
GPPsat,M6_raw_12m,20,31,4.88667967255272,0.704161562461896
GPPsat,M6_raw_12m,40,7,5.08197973745532,0.680042190067948
GPPsat,M6_raw_12m,40,15,5.08197973745532,0.680042190067948
GPPsat,M6_raw_12m,40,31,5.08197973745532,0.680042190067948
NEPmax,M2_12m,5,7,6.18607191566492,0.519749361503579
NEPmax,M2_12m,5,15,6.39012415006115,0.487543963101286
NEPmax,M2_12m,5,31,6.4888184765395,0.47159213658063
NEPmax,M2_12m,10,7,6.15228483275333,0.524981100174678
NEPmax,M2_12m,10,15,6.31271038795657,0.499885147359938
NEPmax,M2_12m,10,31,6.32647927813204,0.497701129483872
NEPmax,M2_12m,20,7,6.14207635279534,0.52655618907143
NEPmax,M2_12m,20,15,6.30184790029113,0.501604794595917
NEPmax,M2_12m,20,31,6.30184790029113,0.501604794595917
NEPmax,M2_12m,40,7,6.22543237081403,0.513618485181122
NEPmax,M2_12m,40,15,6.22543237081403,0.513618485181122
NEPmax,M2_12m,40,31,6.22543237081403,0.513618485181122
NEPmax,M6_raw_12m,5,7,4.19413052590912,0.779239227074596
NEPmax,M6_raw_12m,5,15,4.37873853216472,0.759377603615207
NEPmax,M6_raw_12m,5,31,4.41697378026351,0.755157015705404
NEPmax,M6_raw_12m,10,7,4.22291939083625,0.77619818473577
NEPmax,M6_raw_12m,10,15,4.25040805799321,0.773275071129644
NEPmax,M6_raw_12m,10,31,4.27264029476188,0.770897047679045
NEPmax,M6_raw_12m,20,7,4.25017823306887,0.773299589072471
NEPmax,M6_raw_12m,20,15,4.33670418621954,0.763975209805574
NEPmax,M6_raw_12m,20,31,4.33670418621954,0.763975209805574
NEPmax,M6_raw_12m,40,7,4.44595569477318,0.751933406506694
NEPmax,M6_raw_12m,40,15,4.44595569477318,0.751933406506694
NEPmax,M6_raw_12m,40,31,4.44595569477318,0.751933406506694
ETmax,M2_12m,5,7,0.0537570760848642,0.404623268880417
ETmax,M2_12m,5,15,0.054543837154428,0.387068482039635
ETmax,M2_12m,5,31,0.0539735447312468,0.399818696465054
ETmax,M2_12m,10,7,0.0543151844355573,0.392196639786775
ETmax,M2_12m,10,15,0.0544434974184622,0.389321525477861
ETmax,M2_12m,10,31,0.0544177845870113,0.389898217478149
ETmax,M2_12m,20,7,0.0543377559864946,0.391691369842954
ETmax,M2_12m,20,15,0.0545223452800532,0.387551412929268
ETmax,M2_12m,20,31,0.0545223452800532,0.387551412929268
ETmax,M2_12m,40,7,0.0546855754792898,0.383878799408064
ETmax,M2_12m,40,15,0.0546855754792898,0.383878799408064
ETmax,M2_12m,40,31,0.0546855754792898,0.383878799408064
ETmax,M6_raw_12m,5,7,0.0371798900379073,0.715202100739282
ETmax,M6_raw_12m,5,15,0.037912212841121,0.703872427003545
ETmax,M6_raw_12m,5,31,0.0387095586285585,0.691285506996803
ETmax,M6_raw_12m,10,7,0.0373675637989342,0.712319682801955
ETmax,M6_raw_12m,10,15,0.0380298507206598,0.702031866233685
ETmax,M6_raw_12m,10,31,0.0376809353493599,0.707474366229028
ETmax,M6_raw_12m,20,7,0.0378407606854618,0.704987582938459
ETmax,M6_raw_12m,20,15,0.0379884206462937,0.702680731133959
ETmax,M6_raw_12m,20,31,0.0379884206462937,0.702680731133959
ETmax,M6_raw_12m,40,7,0.0385783849298963,0.693374221565203
ETmax,M6_raw_12m,40,15,0.0385783849298963,0.693374221565203
ETmax,M6_raw_12m,40,31,0.0385783849298963,0.693374221565203
uWUE,M2_12m,5,7,1.07709385534547,0.0421490121821728
uWUE,M2_12m,5,15,1.09267790243627,0.0142309571684424
uWUE,M2_12m,5,31,1.08906479534737,0.0207393719044725
uWUE,M2_12m,10,7,1.07253586058794,0.0502386361229668
uWUE,M2_12m,10,15,1.09692490856694,0.00655311668838798
uWUE,M2_12m,10,31,1.07965678544251,0.03758520222347
uWUE,M2_12m,20,7,1.08123036095383,0.0347777619266677
uWUE,M2_12m,20,15,1.09500292291036,0.0100314183814646
uWUE,M2_12m,20,31,1.09500292291036,0.0100314183814646
uWUE,M2_12m,40,7,1.08577515883753,0.0266463596610186
uWUE,M2_12m,40,15,1.08577515883753,0.0266463596610186
uWUE,M2_12m,40,31,1.08577515883753,0.0266463596610186
uWUE,M6_raw_12m,5,7,0.741067848470663,0.546573604707191
uWUE,M6_raw_12m,5,15,0.772403687707168,0.507416872324791
uWUE,M6_raw_12m,5,31,0.769595333510199,0.510992290422971
uWUE,M6_raw_12m,10,7,0.748327387725615,0.537646515529022
uWUE,M6_raw_12m,10,15,0.757686803177052,0.52600877568774
uWUE,M6_raw_12m,10,31,0.760893088373458,0.521988733141131
uWUE,M6_raw_12m,20,7,0.768182907953442,0.512785578799923
uWUE,M6_raw_12m,20,15,0.771843270827565,0.508131399609243
uWUE,M6_raw_12m,20,31,0.771843270827565,0.508131399609243
uWUE,M6_raw_12m,40,7,0.817430582328985,0.448313167469773
uWUE,M6_raw_12m,40,15,0.817430582328985,0.448313167469773
uWUE,M6_raw_12m,40,31,0.817430582328985,0.448313167469773
WUE,M2_12m,5,7,1.15414837618643,0.118488621628189
WUE,M2_12m,5,15,1.20086480892709,0.0456825416560821
WUE,M2_12m,5,31,1.21208538739082,0.0277654201942037
WUE,M2_12m,10,7,1.18297678501519,0.0739017218430839
WUE,M2_12m,10,15,1.16887957018165,0.0958423341571768
WUE,M2_12m,10,31,1.17310644122656,0.0892913292038214
WUE,M2_12m,20,7,1.15818065318617,0.11231834517363
WUE,M2_12m,20,15,1.16681399697269,0.0990350560433588
