response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,65,0.0416,0.0418,0.9,47.7,0.7262,0.8516, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,65,0.041,0.0429,-0.67,52.3,0.5052,0.7773, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,65,0.035,0.0355,3.62,41.5,0.921,0.9366, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.0351,0.0359,1.84,46.2,0.7835,0.8516, ns
ETmax,Anomaly / 24m,C vs C+D,65,0.0374,0.0454,-0.31,50.8,0.7911,0.8516, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,65,0.0434,0.046,-1.92,50.8,0.6156,0.8144, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,65,0.035,0.0357,1.4,44.6,0.9446,0.9446, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.0358,0.0336,0.6,47.7,0.6281,0.8144, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,65,0.0276,0.0274,0.84,47.7,0.4974,0.7773, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.029,0.0275,0.67,44.6,0.3944,0.7395, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,65,0.0282,0.0291,5.59,43.1,0.8904,0.9366, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.0248,0.028,1.93,44.6,0.7558,0.8516, ns
GPPsat,Anomaly / 12m,C vs C+D,65,5.1328,4.9567,0.58,49.2,0.4974,0.7773, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,65,5.0441,4.568,2.13,43.1,0.4713,0.7773, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,65,4.909,4.986,-3.27,55.4,0.06475,0.2988, ns
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,65,5.1679,4.8664,-0.89,52.3,0.09672,0.3627, ns
GPPsat,Anomaly / 24m,C vs C+D,65,4.7754,4.7805,-0.55,52.3,0.2938,0.6078, ns
GPPsat,Anomaly / 24m,C+M vs C+M+D,65,5.3823,4.8144,-1.47,50.8,0.2674,0.5729, ns
GPPsat,Anomaly / 24m,C+T vs C+T+D,65,4.8278,5.6654,0.25,49.2,0.2033,0.5082, ns
