unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,-0.00048,54.5,0.6149,0.9702,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.42145,59.1,0.2179,0.9702,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-0.4778,59.1,0.06352,0.8837,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,-0.00074,50,0.6635,0.9702,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,-0.02162,54.5,0.6983,0.9702,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,21,0.00047,47.6,0.4723,0.9702,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,21,0.1484,47.6,0.4447,0.9702,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,21,0.41219,42.9,0.8433,0.9702,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,21,-0.00142,52.4,0.569,0.9702,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,21,-0.00243,52.4,0.5553,0.9702,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,22,0.00056,40.9,0.8429,0.9702,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,22,0.53882,40.9,0.8788,0.9702,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,22,-0.64834,59.1,0.1279,0.8837,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,22,0.01697,45.5,0.6149,0.9702,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,22,0.02449,36.4,0.9655,0.9702,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,-0.00048,54.5,0.5899,0.9702,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.42145,63.6,0.1571,0.8837,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-0.35832,54.5,0.1571,0.8837,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,-0.00507,54.5,0.5772,0.9702,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,-0.02825,59.1,0.5517,0.9702,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,21,0.00085,38.1,0.7673,0.9702,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,21,0.44168,33.3,0.9124,0.9702,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,21,0.41219,38.1,0.8881,0.9702,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,21,0.01373,47.6,0.6489,0.9702,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,21,0.02434,47.6,0.9008,0.9702,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low,22,-2e-05,50,0.5645,0.9702,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low,22,-0.0129,50,0.4612,0.9702,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low,22,-0.8278,68.2,0.02383,0.8837,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low,22,0.01959,45.5,0.6635,0.9702,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low,22,0.01873,36.4,0.928,0.9702,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,22,-0.00125,59.1,0.3975,0.9702,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,22,-0.49311,68.2,0.1148,0.8837,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,22,-0.4778,59.1,0.1212,0.8837,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,22,-0.00734,59.1,0.4101,0.9702,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,22,-0.02825,59.1,0.5645,0.9702,ns
